player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0024334,Brandon Marshall,WR,13,288.2,22.17,63.9,161.2,0.715,1.752
00-0019596,Thomas Brady,QB,13,279.4,21.49,37.1,152.9,0.419,1.684
00-0025394,Adrian Peterson,RB,13,275.1,21.16,54.7,150.3,0.621,1.651
00-0029665,Robert Griffin,QB,13,277.9,21.38,37.5,151.1,0.401,1.628
00-0025389,Calvin Johnson,WR,13,276.6,21.28,52.3,148.1,0.554,1.577
00-0027939,Cameron Newton,QB,13,269.4,20.72,29.3,143.3,0.291,1.527
00-0026796,Arian Foster,RB,13,259.4,19.95,41.7,135.1,0.47,1.496
00-0023459,Aaron Rodgers,QB,13,256.3,19.71,15.9,129.5,0.187,1.419
00-0029613,Douglas Martin,RB,13,260.2,20.02,41.9,135.3,0.44,1.415
00-0020531,Drew Brees,QB,13,253.6,19.51,13.6,127.6,0.161,1.413
00-0027942,Adriel Green,WR,13,256.9,19.76,30.6,128.8,0.333,1.401
00-0010346,Peyton Manning,QB,13,251.1,19.31,8.6,124.0,0.115,1.391
00-0026195,Raymell Rice,RB,13,246.7,18.98,29.0,122.4,0.309,1.345
00-0027656,Robert Gronkowski,TE,10,212.3,21.23,46.5,119.6,0.53,1.3
00-0006101,Anthony Gonzalez,TE,13,246.6,18.97,30.7,120.2,0.308,1.257
00-0026498,John Stafford,QB,13,237.0,18.23,-5.4,109.7,-0.052,1.221
00-0027874,Demaryius Thomas,WR,13,237.7,18.28,12.2,109.3,0.155,1.221
00-0020498,Reginald Wayne,WR,13,237.5,18.27,14.7,111.0,0.159,1.221
00-0026143,Matthew Ryan,QB,13,236.9,18.22,-5.6,109.8,-0.065,1.199
00-0022127,Christopher Witten,TE,13,232.0,17.85,14.9,105.7,0.154,1.131
00-0029668,Andrew Luck,QB,13,225.0,17.31,-14.7,99.5,-0.155,1.114
00-0022427,Wesley Welker,WR,13,227.6,17.51,2.4,100.8,0.03,1.111
00-0027265,Victor Cruz,WR,13,230.4,17.72,5.5,101.6,0.049,1.091
00-0029675,Trenton Richardson,RB,13,223.7,17.21,6.6,98.5,0.073,1.087
00-0027902,Desmond Bryant,WR,13,227.2,17.48,2.9,98.7,0.036,1.064
00-0027973,Andrew Dalton,QB,13,223.2,17.17,-19.4,96.6,-0.224,1.06
