player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0023459,Aaron Rodgers,QB,GB,2014,16,13,32.5,2.69,0.0,0.0,0.0,0.0,520,0.6558,8.43,0.0731,0.0096,0.0511,0.3102,3.086,1.042,0.4212,0.1135,43,6.26,0.0465,0.4396,0.4651,0.2791,0,0,,,,,,,,,,,1,354.1,318.3,354.1,35.9,19.89,0.2534,286.1,32.1,0.0,39.49,40.0,0.51
00-0029668,Andrew Luck,QB,IND,2014,16,13,38.5,4.0,0.0,0.0,0.0,0.0,616,0.6169,7.73,0.0649,0.026,0.042,0.1315,1.154,0.869,0.3799,0.1185,64,4.27,0.0469,-0.1373,0.2969,0.1719,0,0,,,,,,,,,,,2,351.7,360.9,359.7,-1.1,22.55,0.2493,313.6,47.3,0.0,40.09,43.0,2.91
00-0029263,Russell Wilson,QB,SEA,2014,16,13,28.25,7.38,0.06,0.0019,0.004,0.0056,452,0.6305,7.69,0.0442,0.0155,0.085,0.0834,3.965,0.939,0.3518,0.1195,118,7.19,0.0508,0.2388,0.3814,0.2797,1,1,1.0,17.0,17.0,15.0,1.133,2.0,1.0823,0.0,1.0,1.0,0,328.6,277.3,326.6,49.3,17.33,0.2621,188.0,87.2,2.1,24.28,26.0,1.72
00-0010346,Peyton Manning,QB,DEN,2014,16,13,37.31,1.5,0.0,0.0,0.0,0.0,597,0.6616,7.92,0.0653,0.0251,0.0277,0.1984,3.325,0.932,0.3769,0.1106,24,-1.0,0.0,-1.0339,0.0,0.0,0,0,,,,,,,,,,,1,312.7,301.7,314.7,13.0,18.86,0.227,302.1,-0.4,0.0,37.07,39.0,1.93
00-0022924,Ben Roethlisberger,QB,PIT,2014,16,13,38.0,2.06,0.0,0.0,0.0,0.0,608,0.6711,8.14,0.0526,0.0148,0.0515,0.2458,5.495,0.953,0.3947,0.0905,33,0.82,0.0,-0.7788,0.1515,0.0,0,0,,,,,,,,,,,2,306.2,296.7,311.4,14.8,18.54,0.2339,290.8,5.8,0.0,34.45,32.0,-2.45
00-0020531,Drew Brees,QB,NO,2014,16,13,41.19,1.69,0.06,0.0016,0.0,0.0025,659,0.692,7.51,0.0501,0.0258,0.0422,0.1484,3.401,0.976,0.3915,0.0789,27,2.52,0.037,-0.1119,0.2222,0.037,1,1,1.0,1.0,1.0,0.0,,1.0,-0.5436,0.0,0.0,0.0,0,304.0,323.9,310.0,-13.9,20.24,0.2285,305.2,17.3,1.4,33.51,34.0,0.49
00-0026143,Matt Ryan,QB,ATL,2014,16,13,39.25,1.81,0.0,0.0,0.0,0.0,628,0.6608,7.47,0.0446,0.0223,0.047,0.1106,1.43,0.967,0.3662,0.0955,29,5.0,0.0,0.0423,0.3448,0.1724,0,0,,,,,,,,,,,0,284.3,293.7,288.3,-5.5,18.36,0.2285,275.5,18.2,0.0,28.27,28.0,-0.27
00-0029701,Ryan Tannehill,QB,MIA,2014,16,13,36.88,3.5,0.06,0.0018,-0.0018,0.0015,590,0.6644,6.86,0.0458,0.0203,0.0723,0.0447,2.255,0.899,0.3797,0.0695,56,5.55,0.0179,-0.0742,0.3214,0.1964,1,1,1.0,-4.0,-4.0,-7.0,0.571,3.0,-0.7939,0.0,0.0,0.0,1,279.5,291.8,281.4,-10.3,18.23,0.2376,259.0,31.6,1.1,33.16,28.0,-5.16
00-0019596,Tom Brady,QB,NE,2014,16,13,36.38,2.25,0.0,0.0,0.0,0.0,582,0.6409,7.06,0.0567,0.0155,0.0348,0.1821,1.585,0.876,0.378,0.0756,36,1.58,0.0,-0.1213,0.3056,0.0556,0,0,,,,,,,,,,,0,278.1,304.8,284.1,-20.8,19.05,0.2233,285.1,19.7,0.0,34.24,33.0,-1.24
00-0022803,Eli Manning,QB,NYG,2014,16,13,37.56,0.75,0.0,0.0,0.0,0.0,601,0.6306,7.34,0.0499,0.0233,0.0445,0.1056,0.822,0.89,0.3594,0.0865,12,2.58,0.0833,0.1552,0.25,0.1667,0,0,,,,,,,,,,,0,269.5,304.1,277.5,-26.6,19.01,0.2303,296.4,7.8,0.0,38.18,31.0,-7.18
00-0021678,Tony Romo,QB,DAL,2014,15,12,29.0,1.73,0.0,0.0,0.0,0.0,435,0.6989,8.52,0.0782,0.0207,0.0625,0.314,6.725,0.944,0.4345,0.1126,26,2.35,0.0,-0.1778,0.1538,0.1154,0,0,,,,,,,,,,,1,266.3,222.1,270.3,48.2,14.81,0.2088,216.6,5.5,0.0,24.03,34.0,9.97
00-0022942,Philip Rivers,QB,LAC,2014,16,13,35.62,2.31,0.0,0.0,0.0,0.0,570,0.6649,7.52,0.0544,0.0316,0.0594,0.1283,4.944,0.883,0.3737,0.1,37,2.76,0.0,-0.0581,0.2432,0.0811,0,0,,,,,,,,,,,0,265.6,273.1,269.6,-3.5,17.07,0.2353,256.3,16.9,0.0,31.25,31.0,-0.25
00-0026158,Joe Flacco,QB,BAL,2014,16,13,34.62,2.44,0.0,0.0,0.0,0.0,554,0.6209,7.19,0.0487,0.0217,0.0332,0.1263,-0.607,0.862,0.3502,0.0903,39,1.79,0.0513,-0.2026,0.4359,0.0769,0,0,,,,,,,,,,,0,262.4,284.0,262.4,-21.6,17.75,0.2322,260.7,23.3,0.0,32.67,29.0,-3.67
00-0024226,Jay Cutler,QB,CHI,2014,15,13,37.4,2.6,0.0,0.0,0.0,0.0,561,0.6595,6.8,0.0499,0.0321,0.0634,-0.0408,0.291,0.928,0.3226,0.0695,39,4.9,0.0513,0.2609,0.359,0.2821,0,0,,,,,,,,,,,0,255.6,269.0,267.6,-1.4,17.93,0.2349,248.1,20.9,0.0,29.06,30.0,0.94
