player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0033246,John Mundt,TE,2,0.0,0.0,-31.1,-18.8,-0.351,-0.216
00-0033413,De'Veon Smith,RB,2,0.0,0.0,-36.6,-19.8,-0.388,-0.217
00-0031375,Terrance West,RB,5,28.1,5.62,-57.2,-21.3,-0.616,-0.224
00-0031953,Geremy Davis,WR,2,0.0,0.0,-32.1,-19.1,-0.367,-0.224
00-0033885,Chief Njoku,TE,13,101.1,7.78,-110.4,-19.8,-1.257,-0.229
00-0032577,Darryll Foster,RB,4,17.6,4.4,-50.1,-20.4,-0.551,-0.229
00-0033951,Marlon Mack,RB,11,81.7,7.43,-99.4,-20.7,-1.131,-0.23
00-0028957,Austin Davis,QB,2,-0.1,-0.05,-38.5,-20.3,-0.426,-0.233
00-0023645,Derek Anderson,QB,2,0.5,0.24,-39.9,-22.3,-0.41,-0.237
00-0031373,Martavis Bryant,WR,12,94.3,7.86,-105.3,-20.8,-1.188,-0.24
00-0032972,Devontae Booker,RB,10,69.8,6.98,-96.7,-22.7,-1.083,-0.245
00-0027796,Joseph Webb,QB,3,4.8,1.6,-50.3,-21.6,-0.554,-0.245
00-0030108,Ryan Griffin,TE,7,43.3,6.19,-65.6,-19.2,-0.779,-0.248
00-0032371,Robert Kelley,RB,7,43.2,6.17,-69.8,-21.5,-0.809,-0.249
00-0032362,Maurice Harris,WR,4,16.2,4.05,-52.3,-22.3,-0.582,-0.254
00-0033293,Aaron Jones,RB,10,72.4,7.24,-99.3,-24.2,-1.078,-0.256
00-0031609,Alexander Derby,TE,9,60.9,6.77,-81.0,-23.3,-0.918,-0.262
00-0033118,Kenyan Drake,RB,13,101.3,7.79,-116.3,-21.4,-1.31,-0.264
00-0033288,George Kittle,TE,12,86.1,7.18,-108.5,-24.3,-1.212,-0.265
00-0029384,Bobby Rainey,RB,4,13.0,3.25,-51.6,-22.0,-0.612,-0.267
00-0031299,Jordan Matthews,TE,10,69.7,6.97,-92.8,-24.3,-1.057,-0.278
00-0032964,Byron Marshall,RB,4,12.8,3.2,-54.9,-25.2,-0.598,-0.28
00-0028091,Jeremy Kerley,WR,8,49.7,6.21,-80.4,-23.7,-0.926,-0.281
00-0031064,Thomas Savage,QB,8,49.7,6.21,-100.4,-25.4,-1.115,-0.286
00-0027325,LeGarrette Blount,RB,13,97.2,7.48,-120.4,-25.2,-1.368,-0.289
00-0029004,Lance Dunbar,RB,3,3.1,1.03,-44.8,-25.5,-0.503,-0.292
00-0033950,Wayne Gallman,RB,10,68.9,6.89,-98.9,-24.6,-1.132,-0.293
00-0032355,Chester Rogers,WR,8,48.7,6.09,-83.2,-24.6,-0.954,-0.294
00-0029708,Kendall Wright,WR,13,96.7,7.44,-118.4,-26.0,-1.341,-0.302
00-0031939,Matthew Jones,RB,3,1.4,0.47,-50.5,-27.2,-0.549,-0.302
00-0030542,Terrance Williams,WR,13,94.7,7.28,-121.4,-26.9,-1.365,-0.303
00-0032404,Tyler Ervin,RB,4,13.0,3.25,-56.2,-27.5,-0.611,-0.303
00-0030091,Tavarres King,WR,7,39.3,5.61,-76.8,-26.2,-0.879,-0.304
00-0033104,Cody Kessler,QB,3,2.9,0.98,-54.4,-26.7,-0.599,-0.304
00-0033384,LeShun Daniels,RB,3,1.2,0.4,-51.1,-27.7,-0.547,-0.306
00-0032782,Wendell Smallwood,RB,7,40.7,5.81,-75.1,-25.2,-0.87,-0.307
00-0027873,Jermaine Gresham,TE,12,84.9,7.07,-108.0,-26.6,-1.223,-0.309
00-0033871,Corey Davis,WR,8,48.6,6.08,-85.4,-27.4,-0.967,-0.313
00-0032760,Joshua Doctson,WR,13,95.8,7.37,-119.8,-26.7,-1.372,-0.314
00-0029697,Jacoby Fleener,TE,11,74.5,6.77,-100.5,-28.4,-1.131,-0.317
00-0032245,Sean Mannion,QB,3,-0.4,-0.14,-56.3,-26.7,-0.644,-0.317
00-0031744,Matthew LaCosse,TE,3,0.0,0.0,-45.0,-26.8,-0.523,-0.318
00-0032804,Daniel Lasco,RB,3,0.0,0.0,-47.7,-27.3,-0.543,-0.318
00-0033373,Taquan Mizzell,RB,3,0.0,0.0,-47.1,-26.9,-0.545,-0.318
00-0031332,Fitzgerald Toussaint,RB,3,0.0,0.0,-52.3,-28.9,-0.559,-0.318
00-0032689,Jason Vander Laan,TE,3,0.0,0.0,-52.5,-29.0,-0.563,-0.319
00-0029048,Joseph Banyard,RB,3,0.0,0.0,-46.9,-26.3,-0.557,-0.32
00-0033573,Shelton Gibson,WR,3,0.0,0.0,-51.8,-29.1,-0.556,-0.32
00-0032959,Charone Peake,WR,3,1.3,0.43,-49.7,-28.9,-0.541,-0.323
00-0025418,Greg Olsen,TE,4,9.8,2.45,-57.5,-28.6,-0.638,-0.323
00-0026625,Brian Hoyer,QB,9,61.8,6.86,-104.1,-25.8,-1.183,-0.325
00-0033760,Justin Davis,RB,3,0.1,0.03,-50.1,-29.5,-0.539,-0.325
00-0033460,John Ross,WR,3,-0.8,-0.27,-49.7,-27.9,-0.573,-0.33
00-0033117,Bronson Kaufusi,TE,3,0.0,0.0,-46.0,-28.7,-0.522,-0.332
00-0030456,Giovani Bernard,RB,13,95.6,7.35,-120.0,-27.0,-1.384,-0.338
00-0031326,Bruce Ellington,WR,11,74.7,6.79,-107.1,-27.7,-1.244,-0.342
00-0027675,Edward Dickson,TE,13,89.5,6.88,-121.0,-30.7,-1.353,-0.342
00-0033581,De'Angelo Henderson,RB,3,0.1,0.03,-50.8,-30.7,-0.553,-0.343
00-0033958,Nathan Peterman,QB,4,7.5,1.89,-66.5,-31.5,-0.722,-0.355
00-0033633,Tanner Gentry,WR,4,6.5,1.62,-56.6,-29.6,-0.667,-0.357
00-0033315,Cole Hikutini,TE,4,4.5,1.12,-55.8,-29.9,-0.66,-0.36
00-0033526,Samaje Perine,RB,13,91.2,7.02,-126.2,-32.1,-1.428,-0.376
00-0029205,Travaris Cadet,RB,7,32.7,4.67,-87.4,-33.5,-0.969,-0.377
00-0029273,Robert Turbin,RB,6,25.9,4.32,-77.3,-33.1,-0.871,-0.378
00-0030710,Lawrence Burton,TE,12,78.4,6.53,-113.6,-31.3,-1.305,-0.379
00-0032393,Calvin Prosise,RB,5,17.0,3.4,-66.1,-32.8,-0.746,-0.384
00-0032048,Mack Brown,RB,4,5.0,1.25,-68.0,-34.9,-0.731,-0.385
00-0027321,Jeffrey Cumberland,TE,4,3.2,0.8,-64.5,-34.8,-0.704,-0.389
00-0032725,Stephen Anderson,TE,12,75.8,6.32,-116.8,-34.5,-1.318,-0.391
00-0028825,Terrelle Pryor,WR,9,50.0,5.56,-96.7,-33.9,-1.104,-0.394
00-0033717,Travis Rudolph,WR,5,12.6,2.52,-69.7,-33.7,-0.797,-0.394
00-0029000,Cole Beasley,WR,13,85.7,6.59,-130.4,-35.9,-1.458,-0.399
00-0032009,Adam Humphries,WR,13,87.5,6.73,-128.5,-34.1,-1.465,-0.399
00-0029567,Nicholas Foles,QB,4,-0.8,-0.19,-72.7,-34.8,-0.81,-0.402
00-0027006,Kenneth Britt,WR,9,53.3,5.92,-97.7,-34.0,-1.109,-0.404
00-0032940,DeAndre Washington,RB,12,76.9,6.41,-124.6,-36.6,-1.387,-0.407
00-0029388,Deonte Thompson,WR,13,85.0,6.54,-131.1,-36.6,-1.462,-0.409
00-0031339,Donte Moncrief,WR,12,77.1,6.43,-119.9,-34.8,-1.375,-0.409
00-0033567,Brian Hill,RB,4,2.0,0.5,-68.4,-36.6,-0.743,-0.41
00-0031277,Branden Oliver,RB,5,13.1,2.62,-70.9,-35.3,-0.805,-0.414
00-0031834,Larry Pinkard,WR,4,1.5,0.38,-67.4,-37.1,-0.734,-0.415
00-0027690,Eric Decker,WR,13,86.9,6.68,-129.0,-36.6,-1.455,-0.416
00-0033725,Corey Clement,RB,13,86.6,6.66,-131.0,-35.8,-1.478,-0.417
00-0033266,Bruce Natson,WR,4,0.9,0.23,-67.9,-37.8,-0.735,-0.42
00-0031315,Matthew Hazel,WR,4,1.1,0.28,-68.2,-38.6,-0.736,-0.428
00-0030668,Charcandrick West,RB,11,65.8,5.98,-119.0,-37.7,-1.343,-0.429
00-0027996,James Smith,WR,13,85.5,6.58,-128.9,-36.0,-1.475,-0.429
00-0032112,Jamarcus Nelson,WR,13,84.4,6.49,-131.5,-39.1,-1.455,-0.429
00-0032705,Lloyd Eagan,WR,4,0.0,0.0,-64.6,-36.6,-0.739,-0.43
00-0033968,Stacy Coley,WR,4,0.0,0.0,-62.1,-35.7,-0.733,-0.431
00-0024243,Marcedes Lewis,TE,13,87.0,6.69,-123.5,-34.6,-1.414,-0.431
00-0030300,Jaron Brown,WR,13,86.6,6.66,-129.3,-36.9,-1.467,-0.433
00-0033933,Chad Williams,WR,5,9.4,1.88,-78.0,-40.4,-0.834,-0.443
00-0029394,Brenton Bersin,WR,5,7.7,1.54,-77.5,-39.4,-0.856,-0.446
00-0033292,Trent Taylor,WR,12,74.2,6.18,-123.1,-37.8,-1.411,-0.448
00-0033080,Seth DeValve,TE,13,81.1,6.24,-130.4,-39.8,-1.479,-0.452
00-0032450,Dwayne Washington,RB,5,7.8,1.56,-70.6,-38.0,-0.827,-0.453
00-0028411,Dontrelle Inman,WR,9,45.5,5.06,-107.4,-41.5,-1.173,-0.457
00-0030521,Justin Hunter,WR,5,4.8,0.96,-77.2,-40.4,-0.862,-0.459
00-0033925,D'Onta Foreman,RB,10,56.0,5.6,-108.9,-38.1,-1.258,-0.46
00-0031806,Malcolm Brown,RB,8,34.9,4.36,-101.5,-40.7,-1.151,-0.466
00-0030578,Cordarrelle Patterson,RB,13,81.6,6.28,-136.0,-40.8,-1.537,-0.467
00-0032745,William Cross,TE,5,6.9,1.38,-78.5,-43.3,-0.841,-0.474
00-0033094,Marvin Hall,WR,6,14.0,2.33,-85.1,-41.5,-0.959,-0.476
00-0032724,Bryce Treggs,WR,6,13.5,2.25,-83.7,-40.7,-0.964,-0.477
00-0030470,Vance McDonald,TE,8,32.6,4.07,-95.1,-42.1,-1.061,-0.478
00-0033421,Antony Auclair,TE,5,2.6,0.52,-81.2,-42.4,-0.895,-0.478
00-0027531,Christopher Ivory,RB,13,80.5,6.19,-138.1,-43.8,-1.532,-0.484
00-0033025,Jalen Richard,RB,13,78.8,6.06,-138.8,-43.6,-1.551,-0.484
