player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0023459,Aaron Rodgers,QB,GB,2016,16,13,38.12,4.19,0.0,0.0,0.0,0.0,610,0.6574,7.26,0.0656,0.0115,0.0543,0.2055,3.494,0.838,0.3639,0.0934,67,5.51,0.0597,0.2694,0.3731,0.2388,0,0,,,,,,,,,,,2,16,0,,,,380.0,359.0,384.0,25.0,22.44,0.2714,308.2,50.8,0.0,41.78,44.0,2.22
00-0026143,Matt Ryan,QB,ATL,2016,16,13,33.38,2.19,0.0,0.0,0.0,0.0,534,0.6985,9.26,0.0712,0.0131,0.0648,0.3023,6.879,1.07,0.4457,0.1292,35,3.34,0.0,-0.1732,0.3714,0.1714,0,0,,,,,,,,,,,0,16,0,,,,347.5,309.5,351.5,42.0,19.34,0.245,292.3,17.2,0.0,36.14,38.0,1.86
00-0020531,Drew Brees,QB,NO,2016,16,13,42.06,1.44,0.0,0.0,0.0,0.0,673,0.6999,7.74,0.055,0.0223,0.0386,0.1591,4.208,1.086,0.3923,0.104,23,0.87,0.087,-0.2489,0.3043,0.0,0,0,,,,,,,,,,,0,16,0,,,,332.3,337.1,340.3,3.2,21.07,0.2335,322.9,14.3,0.0,38.5,39.0,0.5
00-0029668,Andrew Luck,QB,IND,2016,15,12,36.33,4.27,0.0,0.0,0.0,0.0,545,0.6349,7.78,0.0569,0.0239,0.07,0.1041,1.236,0.948,0.378,0.1119,64,5.33,0.0312,0.0949,0.3125,0.2188,0,0,,,,,,,,,,,2,16,0,,,,307.7,298.1,313.8,15.8,19.87,0.2543,260.4,37.6,0.0,29.76,33.0,3.24
00-0029604,Kirk Cousins,QB,WAS,2016,16,13,37.88,2.12,0.0,0.0,0.0,0.0,606,0.67,8.11,0.0413,0.0198,0.0366,0.18,4.939,0.933,0.3713,0.1139,34,2.82,0.1176,-0.0824,0.4118,0.1471,0,0,,,,,,,,,,,1,16,0,,,,300.3,298.0,304.2,6.2,18.63,0.239,275.7,22.4,0.0,32.56,29.0,-3.56
00-0033077,Dak Prescott,QB,DAL,2016,16,13,28.69,3.56,0.0,0.0,0.0,0.0,459,0.6776,7.99,0.0501,0.0087,0.0517,0.2498,4.185,0.98,0.3965,0.0828,57,4.95,0.1053,0.3164,0.3684,0.2105,0,0,,,,,,,,,,,0,16,0,,,,286.9,263.6,294.9,31.2,16.48,0.2348,218.7,45.0,0.0,27.3,29.0,1.7
00-0026498,Matthew Stafford,QB,DET,2016,16,13,37.12,2.31,0.0,0.0,0.0,0.0,594,0.6532,7.28,0.0404,0.0168,0.0586,0.1173,0.176,0.979,0.3653,0.0875,37,5.59,0.0541,0.6362,0.4054,0.2162,0,0,,,,,,,,,,,0,16,0,,,,279.8,295.4,283.8,-11.6,18.46,0.2442,263.1,32.3,0.0,31.52,26.0,-5.52
00-0031407,Blake Bortles,QB,JAX,2016,16,13,39.06,3.62,0.06,0.0016,0.0029,0.0044,625,0.5888,6.25,0.0368,0.0256,0.0516,-0.0738,-4.474,0.76,0.3296,0.0688,58,6.19,0.0517,0.3702,0.3448,0.2241,1,1,1.0,20.0,20.0,15.0,1.333,5.0,2.7149,1.0,1.0,1.0,1,16,0,,,,271.1,295.8,281.1,-14.7,18.49,0.2427,242.0,51.3,2.5,26.63,27.0,0.37
00-0028118,Tyrod Taylor,QB,BUF,2016,15,13,29.07,6.33,0.0,0.0,0.0,0.0,436,0.617,6.93,0.039,0.0138,0.0879,0.0713,2.352,0.738,0.3372,0.0757,95,6.11,0.0632,0.1833,0.3263,0.2316,0,0,,,,,,,,,,,1,16,0,,,,270.9,274.5,272.0,-2.4,18.3,0.2643,178.5,96.0,0.0,25.12,23.0,-2.12
00-0029263,Russell Wilson,QB,SEA,2016,16,13,34.12,4.5,0.12,0.0038,0.0008,0.0062,546,0.6465,7.73,0.0385,0.0201,0.0698,0.0852,4.586,0.895,0.3535,0.0934,72,3.6,0.0139,-0.1196,0.2222,0.0833,2,2,1.0,7.0,7.0,3.0,2.333,4.0,0.1618,0.5,0.5,0.0,2,16,0,,,,270.1,300.6,270.1,-30.6,18.79,0.252,245.0,51.2,4.4,30.96,23.0,-7.96
00-0031280,Derek Carr,QB,LV,2016,15,13,37.33,2.6,0.0,0.0,0.0,0.0,560,0.6375,7.03,0.05,0.0107,0.0278,0.1365,-0.006,0.907,0.3375,0.0893,39,1.79,0.0,-0.5521,0.1282,0.0513,0,0,,,,,,,,,,,1,16,0,,,,268.5,294.9,270.5,-24.5,19.66,0.2399,280.2,14.7,0.0,34.84,28.0,-6.84
00-0027973,Andy Dalton,QB,CIN,2016,16,13,35.19,2.88,0.0,0.0,0.0,0.0,563,0.6465,7.47,0.032,0.0142,0.0679,0.1054,2.9,0.952,0.3623,0.0941,46,4.0,0.087,-0.0014,0.3696,0.1957,0,0,,,,,,,,,,,2,16,0,,,,260.6,261.4,262.6,1.2,16.34,0.2206,225.2,36.3,0.0,25.28,22.0,-3.28
00-0032268,Marcus Mariota,QB,TEN,2016,15,13,30.07,4.0,0.07,0.0033,0.0055,0.0089,451,0.612,7.6,0.0576,0.02,0.0485,0.1206,1.308,0.789,0.3503,0.1109,60,5.82,0.0333,-0.0248,0.3167,0.2,1,0,0.0,0.0,,18.0,0.0,,-0.4525,0.0,0.0,0.0,3,15,1,,,,259.9,245.6,263.9,18.3,16.38,0.2306,203.5,40.1,2.1,23.21,28.0,4.79
00-0022942,Philip Rivers,QB,LAC,2016,16,13,36.12,0.88,0.0,0.0,0.0,0.0,578,0.6038,7.59,0.0571,0.0363,0.0586,0.0815,0.112,0.903,0.3702,0.0986,14,2.5,0.0,-0.2701,0.1429,0.1429,0,0,,,,,,,,,,,0,16,0,,,,258.9,283.5,268.9,-14.6,17.72,0.2321,276.1,7.4,0.0,34.81,33.0,-1.81
00-0019596,Tom Brady,QB,NE,2016,12,9,36.0,2.33,0.0,0.0,0.0,0.0,432,0.6736,8.23,0.0648,0.0046,0.0336,0.3274,3.606,1.06,0.3773,0.1042,28,2.29,0.0,-0.2042,0.3571,0.0714,0,0,,,,,,,,,,,0,13,0,,,,258.6,229.4,256.6,27.1,19.12,0.2257,211.1,18.4,0.0,25.47,28.0,2.53
00-0031503,Jameis Winston,QB,TB,2016,16,13,35.44,3.31,0.0,0.0,0.0,0.0,567,0.6085,7.21,0.0494,0.0317,0.0581,0.0885,1.642,0.708,0.3774,0.0758,53,3.11,0.0189,-0.0539,0.1887,0.0943,0,0,,,,,,,,,,,1,16,0,,,,256.1,291.2,266.1,-25.1,18.2,0.2377,263.9,27.3,0.0,29.83,29.0,-0.83
00-0027939,Cam Newton,QB,CAR,2016,15,12,34.0,6.0,0.0,0.0,0.0,0.0,510,0.5294,6.88,0.0373,0.0275,0.0659,-0.0463,-5.497,0.668,0.3373,0.0824,90,3.99,0.0556,0.0427,0.3111,0.0889,0,0,,,,,,,,,,,0,16,0,,,,254.3,304.5,256.1,-48.4,20.3,0.2604,230.5,74.0,0.0,29.28,24.0,-5.28
00-0022924,Ben Roethlisberger,QB,PIT,2016,14,12,36.36,1.14,0.0,0.0,0.0,0.0,509,0.6444,7.5,0.057,0.0255,0.0323,0.1595,1.994,0.866,0.3615,0.1159,16,0.88,0.0625,-0.2584,0.1875,0.0625,0,0,,,,,,,,,,,0,16,0,,,,252.2,255.9,256.2,0.2,18.28,0.2362,251.3,4.6,0.0,29.55,30.0,0.45
00-0021429,Carson Palmer,QB,ARI,2016,15,12,39.8,0.93,0.0,0.0,0.0,0.0,597,0.6097,7.09,0.0436,0.0235,0.0628,0.0519,0.402,0.751,0.3652,0.0804,14,2.71,0.0,-0.4859,0.2143,0.1429,0,0,,,,,,,,,,,1,16,0,,,,243.1,280.5,249.1,-31.4,18.7,0.2222,277.4,3.1,0.0,31.09,26.0,-5.09
00-0026158,Joe Flacco,QB,BAL,2016,16,13,42.0,1.31,0.0,0.0,0.0,0.0,672,0.6488,6.42,0.0298,0.0223,0.0468,-0.0343,-0.152,0.869,0.3036,0.0595,21,2.76,0.0952,0.0055,0.2857,0.0952,0,0,,,,,,,,,,,1,16,0,,,,242.5,278.2,244.5,-33.7,17.39,0.2178,259.3,18.9,0.0,26.61,22.0,-4.61
00-0023436,Alex Smith,QB,KC,2016,15,12,32.6,3.2,0.07,0.0027,0.0,0.004,489,0.6708,7.16,0.0307,0.0164,0.0542,0.0856,1.955,1.062,0.3701,0.0798,48,2.79,0.1042,0.0189,0.1875,0.1042,1,1,1.0,3.0,3.0,0.0,,3.0,-0.3479,0.0,0.0,0.0,1,16,0,,,,224.8,227.1,231.2,4.1,15.14,0.2093,194.6,31.1,1.4,22.07,20.0,-2.07
00-0022803,Eli Manning,QB,NYG,2016,16,13,37.38,1.31,0.0,0.0,0.0,0.0,598,0.6304,6.73,0.0435,0.0268,0.0339,-0.009,-1.623,0.856,0.3177,0.0769,21,-0.43,0.0,-0.6959,0.0952,0.0,0,0,,,,,,,,,,,0,16,0,,,,224.2,242.1,232.2,-9.9,15.13,0.2077,240.4,1.8,0.0,24.21,26.0,1.79
00-0027854,Sam Bradford,QB,MIN,2016,15,12,36.8,1.33,0.07,0.0017,0.0,0.0025,552,0.7156,7.02,0.0362,0.0091,0.0628,0.06,4.515,1.105,0.3569,0.0888,20,2.65,0.0,-0.8193,0.15,0.15,1,1,1.0,5.0,5.0,0.0,,5.0,-0.0147,0.0,0.0,0.0,0,16,0,,,,221.9,213.1,229.9,16.7,14.21,0.1989,208.0,3.8,1.3,22.27,20.0,-2.27
00-0032950,Carson Wentz,QB,PHI,2016,16,13,37.94,2.88,0.06,0.001,-0.001,0.0009,607,0.6244,6.23,0.0264,0.0231,0.0516,0.0138,-0.848,0.837,0.3147,0.0643,46,3.26,0.0435,-0.0354,0.3261,0.1522,1,1,1.0,7.0,7.0,-7.0,-1.0,14.0,0.35,0.0,0.0,0.0,1,16,0,,,,214.0,264.6,218.0,-46.7,16.54,0.2157,232.4,31.1,1.1,26.4,18.0,-8.4
00-0027974,Colin Kaepernick,QB,SF,2016,11,8,30.09,6.27,0.0,0.0,0.0,0.0,331,0.5921,6.77,0.0483,0.0121,0.0981,-0.0241,-4.805,0.842,0.3051,0.0755,69,6.78,0.029,0.3603,0.4058,0.3188,0,0,,,,,,,,,,,2,16,0,,,,200.4,167.1,200.4,33.4,15.19,0.2371,117.6,49.4,0.0,11.45,18.0,6.55
00-0032156,Trevor Siemian,QB,DEN,2016,14,11,34.71,2.0,0.0,0.0,0.0,0.0,486,0.5947,7.0,0.037,0.0206,0.06,0.0328,-0.603,0.832,0.3189,0.0761,28,2.04,0.0,-0.1909,0.2143,0.0714,0,0,,,,,,,,,,,0,16,0,,,,191.7,205.0,195.7,-9.3,14.64,0.2025,193.0,12.0,0.0,20.61,18.0,-2.61
00-0029701,Ryan Tannehill,QB,MIA,2016,13,13,29.92,3.0,0.0,0.0,0.0,0.0,389,0.671,7.7,0.0488,0.0308,0.0694,0.0265,5.329,0.98,0.3393,0.0951,39,4.21,0.0256,-0.3002,0.2564,0.2051,0,0,,,,,,,,,,,1,16,0,,,,190.2,164.4,194.2,29.8,12.65,0.2143,136.6,27.8,0.0,14.68,20.0,5.32
00-0029682,Brock Osweiler,QB,HOU,2016,15,13,34.0,2.0,0.07,0.0017,-0.0013,0.0017,510,0.5902,5.8,0.0294,0.0314,0.0503,-0.0864,-3.663,0.675,0.3,0.0569,30,4.37,0.0667,0.3039,0.4333,0.2333,1,1,1.0,-14.0,-14.0,-6.0,2.333,-8.0,-1.5276,0.0,0.0,0.0,0,16,0,,,,169.0,225.6,172.3,-53.2,15.04,0.2043,200.4,20.7,4.5,23.56,17.0,-6.56
00-0023682,Ryan Fitzpatrick,QB,NYJ,2016,14,11,28.79,2.36,0.0,0.0,0.0,0.0,403,0.5658,6.72,0.0298,0.0422,0.045,-0.043,-4.088,0.745,0.3176,0.0943,33,3.94,0.0,0.1696,0.2121,0.0909,0,0,,,,,,,,,,,0,16,0,,,,133.4,191.5,135.4,-56.1,13.68,0.1983,171.1,20.5,0.0,20.93,12.0,-8.93
00-0028986,Case Keenum,QB,LA,2016,10,9,32.2,2.0,0.0,0.0,0.0,0.0,322,0.6087,6.84,0.028,0.0342,0.0667,-0.1042,-3.682,0.892,0.3168,0.0963,20,2.55,0.05,-0.1079,0.35,0.05,0,0,,,,,,,,,,,0,16,0,,,,111.1,129.3,113.1,-16.2,12.93,0.1932,116.3,13.0,0.0,12.31,10.0,-2.31
00-0026625,Brian Hoyer,QB,CHI,2016,6,6,33.33,1.17,0.0,0.0,0.0,0.0,200,0.67,7.22,0.03,0.0,0.0196,0.1706,3.477,0.923,0.375,0.065,7,-0.29,0.0,-0.6424,0.0,0.0,0,0,,,,,,,,,,,0,7,9,,,,79.6,80.3,81.6,1.3,13.39,0.1851,79.3,1.0,0.0,8.4,6.0,-2.4
00-0033104,Cody Kessler,QB,CLE,2016,9,8,21.67,1.22,0.0,0.0,0.0,0.0,195,0.6564,7.08,0.0308,0.0103,0.0972,0.0984,4.773,0.963,0.3436,0.0872,11,1.64,0.0,-0.2587,0.0909,0.0,0,0,,,,,,,,,,,0,16,0,,,,77.0,76.6,79.0,2.4,8.51,0.1313,67.8,8.8,0.0,7.24,6.0,-1.24
