player_id,name,pos,gp,pts,WAA,WAR
00-0038976,Marvin Mims,WR,37,196.7,-4.779,-1.761
00-0029260,LaMichael James,RB,18,11.0,-3.191,-1.765
00-0032392,Austin Hooper,TE,123,1022.3,-10.908,-1.766
00-0038489,Ben VanSumeren,RB,17,1.0,-3.205,-1.77
00-0030272,Jacob Stoneburner,TE,20,24.2,-3.334,-1.772
00-0036919,Kenneth Gainwell,RB,63,432.8,-7.251,-1.773
00-0026182,William Royal,WR,60,441.7,-6.698,-1.774
00-0034317,Keith Kirkwood,WR,22,50.3,-3.559,-1.788
00-0030832,Asante-Jabari Cleveland,TE,17,1.6,-3.013,-1.79
00-0033117,Bronson Kaufusi,TE,17,0.0,-3.12,-1.79
00-0032115,Kaelin Clay,WR,19,22.5,-3.294,-1.794
00-0036860,Jake Funk,RB,17,3.8,-3.16,-1.794
00-0038705,Emari Demercado,RB,32,142.6,-4.557,-1.795
00-0030854,Erik Swoope,TE,24,71.7,-3.587,-1.797
00-0033306,Victor Bolden,WR,17,2.0,-3.094,-1.797
00-0037487,Deven Thompkins,WR,22,44.9,-3.633,-1.797
00-0034845,Sony Michel,RB,55,376.4,-6.556,-1.804
00-0033079,Ricardo Louis,WR,26,91.5,-3.842,-1.807
00-0032048,Mack Brown,RB,17,5.0,-3.142,-1.807
00-0038611,Chris Rodriguez,RB,28,98.7,-4.224,-1.807
00-0036671,Dax Milne,WR,20,27.8,-3.403,-1.81
00-0028238,Konrad Reuland,TE,20,23.2,-3.445,-1.817
00-0031315,Matthew Hazel,WR,17,1.1,-3.163,-1.817
00-0030400,Marlon Brown,WR,34,173.4,-4.624,-1.819
00-0033049,Darius Jackson,RB,17,0.0,-3.188,-1.819
00-0027531,Christopher Ivory,RB,83,636.0,-8.745,-1.82
00-0036247,Freddie Swain,WR,27,102.7,-3.938,-1.824
00-0032068,Malcolm Johnson,RB,19,13.1,-3.389,-1.825
00-0038824,Ryan Miller,WR,21,32.8,-3.536,-1.825
00-0033879,O'Terrius Howard,TE,63,442.4,-6.501,-1.827
00-0035273,Qadree Ollison,RB,20,24.9,-3.496,-1.827
00-0029151,Matthew Simms,QB,19,11.7,-3.638,-1.828
00-0028702,Christopher Matthews,WR,19,18.0,-3.323,-1.831
00-0035544,Tom Kennedy,WR,21,33.9,-3.524,-1.834
00-0036382,K.J. Hill,WR,18,13.4,-3.189,-1.834
00-0033968,Stacy Coley,WR,17,0.0,-3.137,-1.838
00-0033373,Taquan Mizzell,RB,19,16.6,-3.421,-1.846
00-0030000,Kenbrell Thompkins,WR,33,154.9,-4.625,-1.847
00-0035345,Christopher Myarick,TE,21,33.1,-3.294,-1.847
00-0037569,Peyton Hendershot,TE,22,44.4,-3.362,-1.847
00-0035040,David Blough,QB,20,25.1,-3.813,-1.851
00-0032188,Vincent Mayle,TE,18,6.2,-3.206,-1.856
00-0035689,Dawson Knox,TE,79,587.9,-7.636,-1.858
00-0036414,Cam Akers,RB,45,265.7,-5.606,-1.858
00-0037120,Tyler Goodson,RB,23,48.3,-3.779,-1.862
00-0028838,Larry Donnell,TE,47,286.0,-5.63,-1.868
00-0036999,Anthony Schwartz,WR,21,39.7,-3.484,-1.869
00-0030758,Justin Perillo,TE,22,40.2,-3.509,-1.878
00-0033953,Jordan Leggett,TE,21,31.5,-3.451,-1.884
00-0034652,Cameron Batson,WR,23,54.1,-3.658,-1.89
00-0034829,Michael Gesicki,TE,100,793.4,-9.132,-1.892
00-0035432,Jason Moore,WR,19,7.8,-3.398,-1.897
00-0033095,Garrett Griffin,TE,19,8.9,-3.29,-1.901
00-0038619,Andrei Iosivas,WR,38,188.6,-5.052,-1.901
