player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0029668,Andrew Luck,QB,13,315.2,24.25,69.9,187.2,1.259,3.098
00-0027793,Antonio Brown,WR,13,314.6,24.2,84.3,188.5,1.397,3.006
00-0028009,DeMarco Murray,RB,13,296.8,22.83,71.5,172.3,1.213,2.834
00-0030496,Le'Veon Bell,RB,13,311.4,23.95,87.4,188.2,1.263,2.83
00-0023459,Aaron Rodgers,QB,13,302.9,23.3,59.6,174.4,1.002,2.805
00-0026184,Matthew Forte,RB,13,297.8,22.91,72.9,172.9,1.15,2.678
00-0010346,Peyton Manning,QB,13,276.8,21.29,36.2,149.5,0.735,2.562
00-0026176,Jordy Nelson,WR,13,276.5,21.27,46.4,149.4,0.799,2.396
00-0027874,Demaryius Thomas,WR,13,278.6,21.43,48.5,152.4,0.807,2.384
00-0027944,Quintorres Jones,WR,13,268.9,20.68,38.8,141.8,0.569,2.215
00-0029263,Russell Wilson,QB,13,264.6,20.35,24.0,137.3,0.309,2.177
00-0020531,Drew Brees,QB,13,253.3,19.49,12.3,128.3,0.25,2.156
00-0027656,Robert Gronkowski,TE,13,269.2,20.71,46.1,143.3,0.529,2.153
00-0026796,Arian Foster,RB,10,231.4,23.14,55.4,134.8,0.892,2.1
00-0027685,Emmanuel Sanders,WR,13,254.2,19.55,24.1,128.0,0.353,2.063
00-0025399,Marshawn Lynch,RB,13,244.6,18.82,19.2,121.2,0.266,1.914
00-0022924,Benjamin Roethlisberger,QB,13,260.6,20.05,17.0,131.8,-0.043,1.84
00-0026143,Matthew Ryan,QB,13,236.6,18.2,-6.7,108.1,-0.19,1.81
00-0027902,Desmond Bryant,WR,13,236.4,18.18,5.4,109.0,0.125,1.797
00-0026995,Jeremy Maclin,WR,13,244.9,18.84,14.3,118.3,0.096,1.792
00-0029608,Eugene Hilton,WR,13,247.5,19.04,17.1,119.2,0.124,1.789
00-0026201,Martellus Bennett,TE,13,235.6,18.12,10.6,109.7,0.082,1.781
00-0025418,Greg Olsen,TE,13,226.5,17.42,0.6,102.7,0.051,1.779
00-0019596,Thomas Brady,QB,13,242.4,18.65,-2.9,114.4,-0.153,1.775
00-0024226,Jay Cutler,QB,13,228.0,17.54,-15.3,99.5,-0.245,1.751
00-0028002,Randall Cobb,WR,13,228.6,17.58,-1.5,101.5,-0.012,1.737
00-0022942,Philip Rivers,QB,13,221.0,17.0,-24.3,93.0,-0.224,1.727
00-0026213,Jamaal Charles,RB,12,223.2,18.6,16.1,109.9,0.152,1.617
00-0027696,Jimmy Graham,TE,13,223.5,17.19,-1.3,100.5,0.091,1.571
00-0026373,Justin Forsett,RB,13,217.4,16.72,-7.9,92.9,-0.144,1.565
00-0029137,Alshon Jeffery,WR,13,218.2,16.78,-11.9,91.1,-0.193,1.546
00-0026158,Joseph Flacco,QB,13,216.9,16.69,-28.3,88.8,-0.412,1.53
00-0029701,Ryan Tannehill,QB,13,217.9,16.76,-24.9,91.9,-0.461,1.528
00-0027891,Golden Tate,WR,13,222.1,17.08,-8.0,95.0,-0.288,1.483
00-0027939,Cameron Newton,QB,12,204.0,17.0,-21.7,86.8,-0.341,1.453
00-0031235,Odell Beckham,WR,9,181.4,20.16,23.1,98.0,0.233,1.431
00-0030485,Eddie Lacy,RB,13,221.8,17.06,-3.1,96.9,-0.255,1.386
00-0028067,Julius Thomas,TE,10,173.6,17.36,0.5,79.1,0.09,1.375
00-0031408,Michael Evans,WR,12,210.5,17.54,-3.4,93.2,-0.212,1.362
00-0027150,Julian Edelman,WR,13,205.2,15.78,-25.2,76.9,-0.414,1.332
00-0026498,John Stafford,QB,13,209.8,16.14,-33.6,81.3,-0.676,1.291
00-0021678,Antonio Romo,QB,12,198.3,16.53,-28.8,77.7,-0.543,1.27
00-0027942,Adriel Green,WR,10,180.2,18.02,5.2,83.8,-0.054,1.254
00-0025389,Calvin Johnson,WR,10,181.2,18.12,6.1,83.9,-0.002,1.245
00-0031359,Kelvin Benjamin,WR,13,195.8,15.06,-34.5,69.7,-0.505,1.243
00-0030564,DeAndre Hopkins,WR,13,207.0,15.92,-23.4,78.7,-0.474,1.175
00-0031299,Jordan Matthews,TE,13,196.9,15.15,-29.0,72.7,-0.487,1.172
00-0027974,Colin Kaepernick,QB,13,187.3,14.41,-54.1,61.6,-0.857,1.165
00-0022803,Elisha Manning,QB,13,198.0,15.23,-43.4,72.3,-0.829,1.133
00-0027973,Andrew Dalton,QB,13,192.7,14.83,-47.9,65.5,-0.845,1.116
00-0022084,Anquan Boldin,WR,13,186.1,14.32,-41.8,60.0,-0.742,1.024
00-0030287,Andre Ellington,RB,12,177.5,14.79,-28.5,63.8,-0.62,1.011
00-0021547,Antonio Gates,TE,13,191.8,14.75,-31.3,65.9,-0.546,1.006
00-0023436,Alexander Smith,QB,13,183.6,14.12,-57.5,58.5,-0.984,1.004
00-0025637,Ahmad Bradshaw,RB,10,153.5,15.35,-18.8,57.3,-0.359,0.993
00-0027966,Mark Ingram,RB,10,150.4,15.04,-22.3,55.9,-0.303,0.983
00-0020337,Stevonne Smith,WR,13,183.9,14.15,-47.1,56.5,-0.725,0.977
00-0024334,Brandon Marshall,WR,13,179.1,13.78,-51.0,52.0,-0.738,0.957
00-0023462,Sharod White,WR,11,164.4,14.95,-28.6,58.6,-0.519,0.956
00-0023682,Ryan Fitzpatrick,QB,11,173.9,15.81,-37.5,61.0,-0.659,0.944
00-0023541,Kyle Orton,QB,9,142.3,15.81,-26.5,57.3,-0.532,0.894
00-0026189,DeSean Jackson,WR,12,171.0,14.25,-40.6,52.0,-0.737,0.866
00-0029632,Mohamed Sanu,WR,13,172.7,13.28,-57.4,46.5,-0.879,0.863
00-0027155,Rashad Jennings,RB,9,129.8,14.42,-27.4,41.2,-0.378,0.844
00-0026901,Burnell Wallace,WR,13,167.6,12.89,-63.3,41.0,-1.011,0.834
00-0024389,Hubert Walker,TE,12,165.0,13.75,-45.5,47.6,-0.709,0.816
00-0029615,Lamar Miller,RB,13,168.9,12.99,-54.2,45.1,-0.946,0.803
00-0030456,Giovani Bernard,RB,10,136.1,13.61,-41.7,36.9,-0.516,0.779
00-0027029,LeSean McCoy,RB,13,157.9,12.15,-66.1,34.4,-1.027,0.734
00-0024204,Fredrick Jackson,RB,11,146.3,13.3,-44.5,39.9,-0.797,0.726
00-0021429,Carson Palmer,QB,6,101.5,16.92,-9.7,43.6,-0.184,0.714
00-0031236,Brandin Cooks,WR,10,139.3,13.93,-34.9,43.3,-0.649,0.698
00-0026898,Mark Sanchez,QB,6,89.3,14.88,-19.9,37.6,-0.288,0.688
00-0027218,Joique Bell,RB,12,159.2,13.27,-47.4,43.5,-0.905,0.674
00-0030279,Keenan Allen,WR,13,172.5,13.27,-57.9,44.2,-0.996,0.673
00-0028838,Larry Donnell,TE,13,164.9,12.68,-58.0,41.2,-1.039,0.673
00-0027681,Brandon LaFell,WR,13,172.3,13.25,-58.1,44.0,-0.994,0.67
00-0030506,Travis Kelce,TE,13,164.3,12.64,-60.5,41.3,-1.096,0.653
00-0029567,Nicholas Foles,QB,8,118.3,14.79,-33.2,35.9,-0.584,0.652
00-0029141,Alfred Morris,RB,13,158.5,12.19,-68.1,33.1,-1.119,0.61
00-0029604,Kirk Cousins,QB,6,88.4,14.73,-25.9,26.1,-0.38,0.565
00-0031373,Martavis Bryant,WR,7,108.6,15.51,-16.9,45.2,-0.35,0.562
00-0029697,Jacoby Fleener,TE,13,161.0,12.38,-62.1,35.1,-1.046,0.556
00-0031407,Robby Bortles,QB,11,133.2,12.11,-77.2,27.8,-1.244,0.537
00-0031237,Theodore Bridgewater,QB,10,132.2,13.22,-59.6,37.0,-1.049,0.533
00-0030520,Michael Glennon,QB,6,87.6,14.6,-29.1,27.9,-0.503,0.517
00-0031301,Jeremy Hill,RB,13,150.0,11.54,-75.4,26.6,-1.256,0.495
00-0031280,Derek Carr,QB,13,154.6,11.9,-88.1,28.7,-1.522,0.46
00-0022044,Andre Johnson,WR,13,148.7,11.44,-81.7,20.4,-1.335,0.451
00-0031325,Samuel Watkins,WR,13,168.5,12.96,-61.6,41.4,-1.247,0.45
00-0031382,Jarvis Landry,WR,13,149.9,11.53,-81.0,23.3,-1.339,0.446
00-0031391,Trence Mason,RB,9,109.0,12.11,-45.8,26.9,-0.698,0.436
00-0026986,Michael Crabtree,WR,13,147.7,11.36,-80.2,21.6,-1.355,0.427
00-0023465,Earl Miller,TE,13,154.4,11.88,-71.5,30.6,-1.292,0.422
00-0027996,James Smith,WR,13,146.9,11.3,-84.1,19.5,-1.309,0.415
00-0029708,Kendall Wright,WR,12,146.7,12.22,-64.7,28.9,-1.206,0.413
00-0023496,Vincent Jackson,WR,13,156.1,12.01,-74.5,29.5,-1.409,0.408
00-0021206,Joshua McCown,QB,8,100.6,12.58,-44.2,21.6,-0.752,0.393
00-0029683,Ronnie Hillman,RB,7,94.5,13.5,-25.1,30.4,-0.517,0.392
00-0025465,James Jones,WR,13,141.9,10.92,-89.0,15.3,-1.418,0.383
00-0027918,Andrew Hawkins,WR,12,144.4,12.03,-68.4,25.8,-1.197,0.38
00-0027690,Eric Decker,WR,12,141.0,11.75,-73.3,22.9,-1.264,0.372
00-0026625,Brian Hoyer,QB,13,144.7,11.13,-95.9,17.4,-1.591,0.366
00-0030085,Kenneth Stills,WR,12,135.2,11.27,-76.5,21.8,-1.268,0.349
00-0023564,Darren Sproles,RB,12,128.8,10.73,-77.3,15.3,-1.278,0.337
00-0029854,Cortrelle Anderson,RB,12,141.2,11.77,-65.8,27.0,-1.096,0.318
00-0022921,Larry Fitzgerald,WR,11,129.2,11.75,-64.7,22.9,-1.13,0.317
00-0022414,Malcom Floyd,WR,13,146.3,11.25,-84.1,18.0,-1.452,0.315
00-0031428,Allen Robinson,WR,10,116.8,11.68,-59.3,18.6,-1.096,0.29
00-0030472,Jordan Reed,TE,8,91.7,11.46,-44.4,14.9,-0.633,0.285
00-0026182,William Royal,WR,13,136.6,10.51,-93.8,8.3,-1.46,0.265
00-0022127,Christopher Witten,TE,13,142.5,10.96,-84.8,17.5,-1.518,0.264
00-0027688,Daniel McCoy,QB,4,53.9,13.48,-25.9,13.1,-0.289,0.259
00-0027994,Shane Vereen,RB,13,146.6,11.28,-80.0,21.2,-1.462,0.257
00-0028198,Matthew Asiata,RB,12,135.1,11.26,-74.0,19.5,-1.263,0.247
00-0020498,Reginald Wayne,WR,12,131.1,10.92,-79.6,12.6,-1.384,0.233
00-0029689,Dwayne Allen,TE,11,119.4,10.85,-71.2,13.1,-1.191,0.215
00-0024813,Charles Thomas,RB,9,104.2,11.58,-54.3,14.6,-0.949,0.213
00-0029664,Joshua Gordon,WR,3,38.0,12.67,-16.9,8.8,-0.203,0.212
00-0029640,Brian Quick,WR,7,80.5,11.5,-43.4,8.4,-0.694,0.189
00-0025430,Drew Stanton,QB,8,89.1,11.13,-56.4,11.7,-1.029,0.184
00-0026153,Jonathan Stewart,RB,10,109.1,10.91,-63.1,13.9,-1.126,0.17
00-0031266,Zachary Mettenberger,QB,7,68.9,9.84,-63.0,5.6,-0.921,0.165
00-0024296,Charlie Whitehurst,QB,4,49.6,12.39,-29.0,10.4,-0.552,0.164
00-0030526,Erik Manuel,QB,5,57.7,11.54,-34.5,7.0,-0.645,0.148
00-0027864,Ryan Mathews,RB,6,65.9,10.98,-39.9,6.6,-0.694,0.143
00-0027061,Jared Cook,TE,13,132.9,10.22,-90.1,9.2,-1.595,0.131
00-0029262,Rueben Randle,WR,13,130.8,10.06,-97.1,4.7,-1.684,0.129
00-0028112,Charles Clay,TE,11,112.2,10.2,-80.6,7.5,-1.394,0.121
00-0027714,Dennis Pitta,TE,3,36.5,12.17,-18.2,4.5,-0.382,0.069
00-0024466,Marques Colston,WR,13,132.6,10.2,-96.6,7.4,-1.689,0.067
00-0031277,Branden Oliver,RB,11,107.7,9.79,-83.6,3.9,-1.302,0.057
00-0024313,Owen Daniels,TE,12,120.7,10.06,-87.7,5.5,-1.572,0.055
00-0027712,Joseph McKnight,RB,2,24.7,12.35,-10.3,2.6,-0.161,0.05
00-0026998,Percy Harvin,WR,11,121.0,11.0,-75.5,12.6,-1.429,0.045
00-0028957,Austin Davis,QB,10,105.6,10.56,-80.2,4.7,-1.392,0.044
00-0027873,Jermaine Gresham,TE,13,128.8,9.91,-94.2,5.1,-1.683,0.029
00-0022736,Steven Jackson,RB,13,131.5,10.12,-93.4,6.6,-1.712,0.024
00-0023921,Miles Austin,WR,12,115.8,9.65,-95.5,-1.1,-1.666,0.019
00-0030431,Robert Woods,WR,13,128.6,9.89,-101.5,1.5,-1.713,0.013
00-0026345,Pierre Garcon,WR,13,136.2,10.48,-94.2,7.9,-1.667,0.005
00-0025394,Adrian Peterson,RB,1,11.3,11.3,-6.8,-0.3,-0.134,-0.006
00-0024267,Gregory Jennings,WR,13,132.8,10.22,-97.6,4.5,-1.759,-0.013
00-0027265,Victor Cruz,WR,6,62.7,10.45,-42.1,0.0,-0.824,-0.021
00-0024217,Reginald Bush,RB,8,75.4,9.43,-63.1,-2.3,-1.051,-0.026
00-0020679,Shaun Hill,QB,6,53.7,8.95,-57.4,-1.7,-0.931,-0.029
00-0031051,John Brown,WR,13,125.3,9.64,-104.8,-0.9,-1.788,-0.03
00-0029104,Jonas Gray,RB,6,58.5,9.75,-46.6,3.0,-0.633,-0.031
00-0031260,Logan Thomas,TE,1,7.2,7.24,-9.2,-2.0,-0.166,-0.036
00-0028045,Kristopher Durham,WR,1,6.0,6.0,-12.7,-3.3,-0.141,-0.037
00-0026691,Wallace Williams,WR,1,5.2,5.2,-12.0,-2.4,-0.207,-0.043
00-0027531,Christopher Ivory,RB,13,125.8,9.68,-99.5,1.3,-1.763,-0.046
00-0030821,Allen Hurns,WR,13,132.6,10.2,-98.4,5.2,-1.727,-0.05
00-0027948,Blaine Gabbert,QB,1,6.0,6.02,-12.8,-3.4,-0.181,-0.05
00-0030419,Matthew McGloin,QB,1,5.5,5.46,-15.3,-3.3,-0.265,-0.061
00-0030514,Mychal Rivera,TE,13,138.4,10.65,-87.0,14.1,-1.728,-0.063
00-0030061,Zachary Ertz,TE,13,119.9,9.22,-106.0,-4.3,-1.851,-0.064
00-0030549,Tyler Eifert,TE,1,8.2,8.2,-10.7,-3.4,-0.204,-0.068
00-0027946,Jacob Locker,QB,6,59.9,9.99,-53.5,-6.0,-0.882,-0.074
00-0029384,Bobby Rainey,RB,12,111.1,9.26,-93.4,-2.7,-1.712,-0.079
