season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2023,1,00-0032765,Michael Thomas,WR,11.1,-5.92,1.9,-0.0964,0.0312,17.1,1
2023,1,00-0034855,Baker Mayfield,QB,16.02,-0.9,6.94,-0.0147,0.1127,17.1,1
2023,1,00-0036973,Travis Etienne,RB,21.4,5.99,12.1,0.0976,0.1912,17.1,1
2023,1,00-0038120,Breece Hall,RB,14.7,-0.71,5.4,-0.0117,0.0881,17.1,1
2023,1,00-0031345,James Garoppolo,QB,14.1,-2.82,5.02,-0.0462,0.082,17.1,1
2023,1,00-0033881,Evan Engram,TE,12.4,0.31,3.5,0.005,0.0574,17.1,1
2023,1,00-0036309,Darnell Mooney,WR,15.3,-1.72,6.1,-0.0282,0.0993,17.1,1
2023,1,00-0035676,Arthur Brown,WR,14.9,-2.12,5.7,-0.0348,0.0929,17.1,1
2023,1,00-0038994,Jordan Addison,WR,16.1,-0.92,6.9,-0.0151,0.112,17.1,1
2023,1,00-0034844,Saquon Barkley,RB,9.3,-6.11,0.0,-0.0995,0.0,17.1,0
2023,1,00-0039052,Trey Palmer,WR,8.8,-8.22,-0.4,-0.1327,-0.0066,17.1,0
2023,1,00-0036894,Patrick Freiermuth,TE,7.8,-4.29,-1.1,-0.0703,-0.0181,17.1,0
2023,1,00-0034272,Marquez Valdes-Scantling,WR,6.8,-10.22,-2.4,-0.1633,-0.0394,17.1,0
2023,1,00-0033077,Rayne Prescott,QB,6.32,-10.6,-2.76,-0.169,-0.0453,17.1,0
2023,1,00-0037744,Trey McBride,TE,5.3,-6.79,-3.6,-0.1103,-0.059,17.1,0
2023,1,00-0036754,Brock Wright,TE,4.7,-7.39,-4.2,-0.1198,-0.0688,17.1,0
2023,1,00-0038559,Michael Wilson,WR,3.9,-13.12,-5.3,-0.2058,-0.0865,17.1,0
2023,1,00-0037292,Andrew Ogletree,TE,3.5,-8.59,-5.4,-0.1385,-0.0881,17.1,0
2023,1,00-0033009,Tyler Boyd,WR,3.0,-14.02,-6.2,-0.2184,-0.1009,17.1,0
2023,1,00-0035973,Patrick Taylor,RB,2.2,-13.21,-7.1,-0.2071,-0.1152,17.1,0
2023,1,00-0038040,Zamir White,RB,1.7,-13.71,-7.6,-0.2141,-0.123,17.1,0
2023,1,00-0036275,D'Andre Swift,RB,1.3,-14.11,-8.0,-0.2197,-0.1293,17.1,0
2023,1,00-0035291,Trayveon Williams,RB,0.7,-14.71,-8.6,-0.228,-0.1386,17.1,0
2023,1,00-0037525,Jordan Mason,RB,0.0,-15.41,-9.3,-0.2375,-0.1494,17.1,0
2023,1,00-0037238,Drake London,WR,0.0,-17.02,-9.2,-0.2586,-0.1478,17.1,0
2023,1,00-0035140,Carey Hardman,WR,0.0,-17.02,-9.2,-0.2586,-0.1478,17.1,0
2023,1,00-0036556,Brevin Jordan,TE,0.0,-12.09,-8.9,-0.1911,-0.1432,17.1,0
2023,1,00-0036741,Jack Stoll,TE,0.0,-12.09,-8.9,-0.1911,-0.1432,17.1,0
2023,1,00-0024243,Marcedes Lewis,TE,0.0,-12.09,-8.9,-0.1911,-0.1432,17.1,0
2023,1,00-0037809,Chigoziem Okonkwo,TE,0.0,-12.09,-8.9,-0.1911,-0.1432,17.1,0
2023,1,00-0034487,Trent Sherfield,WR,0.0,-17.02,-9.2,-0.2586,-0.1478,17.1,0
2023,1,00-0033251,Zachary Pascal,WR,0.0,-17.02,-9.2,-0.2586,-0.1478,17.1,0
2023,1,00-0032398,Christopher Moore,WR,0.0,-17.02,-9.2,-0.2586,-0.1478,17.1,0
2023,1,00-0037011,Tre' McKitty,TE,0.0,-12.09,-8.9,-0.1911,-0.1432,17.1,0
