player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0033873,Patrick Mahomes,QB,13,327.3,25.18,57.9,190.3,0.608,1.939,,
00-0035228,Kyler Murray,QB,13,322.4,24.8,52.6,186.9,0.558,1.907,,
00-0023459,Aaron Rodgers,QB,13,312.8,24.06,45.0,178.3,0.48,1.847,,
00-0030506,Travis Kelce,TE,13,312.2,24.01,91.4,177.7,0.977,1.84,,
00-0031381,Davante Adams,WR,11,287.4,26.13,91.8,174.1,0.942,1.758,,
00-0029263,Russell Wilson,QB,13,307.7,23.67,39.8,173.0,0.392,1.756,,
00-0034857,Joshua Allen,QB,13,304.8,23.45,36.0,169.8,0.358,1.73,,
00-0033893,Dalvin Cook,RB,12,293.4,24.45,77.6,171.1,0.784,1.718,,
00-0033906,Alvin Kamara,RB,13,302.2,23.25,68.9,169.6,0.693,1.697,,
00-0033040,Tyreek Hill,WR,13,301.0,23.15,67.0,164.7,0.653,1.618,,
00-0033537,Derrick Watson,QB,13,289.3,22.26,19.5,153.8,0.229,1.608,,
00-0032764,Derrick Henry,RB,13,263.1,20.24,33.1,132.0,0.355,1.354,,
00-0034796,Lamar Jackson,QB,12,254.0,21.17,7.0,126.0,0.082,1.333,,
00-0029701,Ryan Tannehill,QB,13,258.6,19.89,-8.0,126.1,-0.084,1.327,,
00-0019596,Thomas Brady,QB,13,251.3,19.33,-15.8,119.3,-0.151,1.232,,
00-0036355,Justin Herbert,QB,13,251.2,19.32,-16.7,116.5,-0.146,1.211,,
00-0031588,Stefon Diggs,WR,13,246.8,18.98,14.2,111.3,0.152,1.171,,
00-0035640,DeKaylin Metcalf,WR,13,245.0,18.85,11.0,109.5,0.116,1.125,,
00-0031610,Darren Waller,TE,13,247.7,19.05,32.0,114.5,0.286,1.114,,
00-0030279,Keenan Allen,WR,13,241.5,18.58,7.5,106.0,0.087,1.108,,
00-0022924,Benjamin Roethlisberger,QB,13,232.0,17.84,-34.6,99.5,-0.358,1.061,,
00-0030564,DeAndre Hopkins,WR,13,237.5,18.27,4.9,101.7,0.044,1.053,,
00-0035831,James Robinson,RB,13,234.1,18.01,1.6,101.6,-0.005,1.037,,
00-0029604,Kirk Cousins,QB,13,226.9,17.46,-38.4,90.2,-0.369,0.987,,
00-0034837,Calvin Ridley,WR,12,221.3,18.44,5.9,95.4,0.05,0.977,,
00-0031237,Theodore Bridgewater,QB,12,212.0,17.66,-36.0,89.0,-0.375,0.943,,
00-0031428,Allen Robinson,WR,13,224.6,17.28,-8.0,89.1,-0.082,0.935,,
00-0026498,John Stafford,QB,13,221.0,17.0,-46.8,86.5,-0.491,0.917,,
00-0030035,Adam Thielen,WR,12,211.5,17.63,-1.6,87.4,-0.005,0.915,,
00-0031280,Derek Carr,QB,13,222.8,17.14,-45.1,88.1,-0.486,0.909,,
00-0036322,Justin Jefferson,WR,13,219.0,16.85,-12.1,84.9,-0.12,0.88,,
00-0033293,Aaron Jones,RB,11,200.8,18.25,3.9,88.7,-0.006,0.876,,
00-0035676,Arthur Brown,WR,11,191.7,17.43,-3.9,79.9,-0.048,0.846,,
00-0033106,Jared Goff,QB,13,212.1,16.31,-53.3,78.8,-0.578,0.819,,
00-0033127,William Fuller,WR,11,188.9,17.17,-7.6,75.3,-0.065,0.799,,
00-0027939,Cameron Newton,QB,12,196.6,16.38,-49.7,73.8,-0.517,0.771,,
00-0030431,Robert Woods,WR,13,206.0,15.85,-25.6,71.4,-0.254,0.765,,
00-0026143,Matthew Ryan,QB,13,211.0,16.23,-58.5,74.0,-0.611,0.763,,
00-0033077,Rayne Prescott,QB,5,135.6,27.13,28.3,78.3,0.269,0.749,,
00-0032211,Tyler Lockett,WR,13,216.6,16.66,-17.4,81.1,-0.255,0.744,,
00-0031544,Amari Cooper,WR,13,208.3,16.02,-25.7,72.0,-0.28,0.739,,
00-0036442,Joseph Burrow,QB,10,169.7,16.97,-36.5,70.5,-0.399,0.726,,
00-0022942,Philip Rivers,QB,13,200.8,15.44,-64.5,64.1,-0.648,0.713,,
00-0020531,Drew Brees,QB,9,159.9,17.77,-29.6,68.4,-0.315,0.711,,
00-0034791,Nicholas Chubb,RB,9,158.7,17.63,-6.7,65.9,-0.065,0.686,,
00-0034855,Baker Mayfield,QB,13,201.4,15.49,-64.0,68.1,-0.703,0.679,,
00-0035685,David Montgomery,RB,12,187.3,15.61,-29.2,63.7,-0.3,0.664,,
00-0032688,Robert Chosen,WR,13,196.2,15.09,-35.3,62.7,-0.394,0.654,,
00-0036328,Antonio Gibson,RB,12,183.2,15.27,-30.0,61.0,-0.294,0.646,,
00-0035700,Joshua Jacobs,RB,12,183.1,15.26,-33.1,61.2,-0.333,0.643,,
00-0033594,Christopher Carson,RB,9,156.7,17.41,-11.7,61.7,-0.117,0.635,,
00-0032950,Carson Wentz,QB,13,192.4,14.8,-73.0,59.1,-0.763,0.617,,
00-0035229,Thomas Hockenson,TE,13,190.7,14.67,-25.8,58.4,-0.277,0.617,,
00-0033923,Kareem Hunt,RB,13,191.4,14.72,-42.0,59.7,-0.461,0.615,,
00-0032063,Mike Davis,RB,13,189.6,14.58,-42.4,58.5,-0.455,0.605,,
00-0035659,Terry McLaurin,WR,13,192.1,14.78,-40.5,56.3,-0.428,0.59,,
00-0036261,Brandon Aiyuk,WR,10,158.1,15.81,-19.3,53.9,-0.186,0.584,,
00-0033045,Ezekiel Elliott,RB,13,189.7,14.59,-41.9,56.6,-0.447,0.58,,
00-0033280,Christian McCaffrey,RB,3,90.4,30.13,36.7,58.0,0.371,0.57,,
00-0033009,Tyler Boyd,WR,13,189.4,14.57,-42.2,54.9,-0.461,0.568,,
00-0033857,John Smith-Schuster,WR,13,187.5,14.42,-44.8,53.2,-0.477,0.563,,
00-0036223,Jonathan Taylor,RB,12,175.5,14.62,-37.5,54.0,-0.41,0.555,,
00-0033908,Cooper Kupp,WR,13,187.2,14.4,-44.4,52.6,-0.474,0.552,,
00-0027944,Quintorres Jones,WR,9,146.1,16.23,-15.7,51.5,-0.146,0.549,,
00-0033288,George Kittle,TE,6,116.6,19.43,17.2,56.2,0.149,0.535,,
00-0031408,Michael Evans,WR,13,183.9,14.15,-47.6,50.4,-0.504,0.535,,
00-0029000,Cole Beasley,WR,13,183.6,14.12,-49.0,48.1,-0.512,0.505,,
00-0034827,Denniston Moore,WR,12,168.5,14.04,-45.6,45.7,-0.474,0.494,,
00-0033871,Corey Davis,WR,11,161.5,14.68,-36.8,47.2,-0.385,0.49,,
00-0035216,Diontae Johnson,WR,12,168.7,14.06,-47.4,43.9,-0.489,0.46,,
00-0035289,Gardner Minshew,QB,9,143.7,15.97,-47.5,44.0,-0.479,0.459,,
00-0034816,Ronald Jones,RB,13,172.5,13.27,-59.5,41.4,-0.61,0.454,,
00-0033699,Austin Ekeler,RB,7,119.5,17.07,-13.4,44.9,-0.131,0.454,,
00-0033118,Kenyan Drake,RB,12,163.1,13.59,-53.7,40.7,-0.538,0.45,,
00-0033757,Robert Tonyan,TE,13,176.3,13.56,-40.2,44.0,-0.424,0.449,,
00-0034753,Mark Andrews,TE,11,151.7,13.79,-29.2,41.2,-0.29,0.447,,
00-0036275,D'Andre Swift,RB,10,141.6,14.16,-38.7,40.1,-0.375,0.444,,
00-0033282,Curtis Samuel,WR,12,163.4,13.62,-51.9,39.4,-0.534,0.43,,
00-0036326,Chase Claypool,WR,13,174.6,13.43,-57.7,40.3,-0.587,0.429,,
00-0035243,Miles Sanders,RB,10,141.0,14.1,-40.1,39.5,-0.425,0.411,,
00-0033921,Rod Godwin,WR,9,127.7,14.19,-32.8,36.6,-0.352,0.393,,
00-0036360,Clyde Edwards-Helaire,RB,13,166.7,12.82,-64.9,33.6,-0.668,0.363,,
00-0036410,Tamurice Higgins,WR,13,166.6,12.82,-65.0,32.0,-0.666,0.36,,
00-0033897,Joe Mixon,RB,6,99.6,16.6,-12.2,36.7,-0.132,0.354,,
00-0034367,Nyheim Hines,RB,13,162.7,12.52,-68.9,31.2,-0.693,0.352,,
00-0035311,Myles Gaskin,RB,8,112.6,14.07,-32.9,29.7,-0.336,0.319,,
00-0034351,Dallas Goedert,TE,9,121.2,13.47,-28.7,29.3,-0.291,0.313,,
00-0031236,Brandin Cooks,WR,12,153.4,12.78,-61.9,28.3,-0.63,0.313,,
00-0036358,Cedarian Lamb,WR,13,165.2,12.71,-68.8,28.9,-0.721,0.306,,
00-0031941,Jamison Crowder,WR,9,123.0,13.67,-37.7,29.3,-0.413,0.291,,
00-0034829,Michael Gesicki,TE,13,162.2,12.48,-54.7,30.1,-0.604,0.276,,
00-0035704,Paul Lock,QB,10,127.0,12.7,-79.6,24.5,-0.822,0.268,,
00-0035710,Daniel Jones,QB,12,145.8,12.15,-102.2,22.8,-1.047,0.265,,
00-0029293,Marvin Jones,WR,13,157.7,12.13,-74.7,23.2,-0.775,0.257,,
00-0033090,Hunter Henry,TE,13,155.3,11.95,-60.4,22.1,-0.615,0.251,,
00-0033553,James Conner,RB,11,133.8,12.16,-60.6,23.4,-0.645,0.242,,
00-0032144,Melvin Gordon,RB,12,145.4,12.12,-69.8,22.9,-0.742,0.23,,
00-0032241,Todd Gurley,RB,12,145.3,12.11,-67.7,22.2,-0.708,0.228,,
00-0031687,Dominique Mostert,RB,7,92.9,13.27,-34.0,20.3,-0.364,0.205,,
00-0031387,Herman Ebron,TE,13,151.6,11.66,-63.1,18.8,-0.667,0.202,,
00-0033375,Timothy Patrick,WR,12,143.3,11.94,-71.5,18.0,-0.744,0.198,,
00-0031260,Logan Thomas,TE,13,152.0,11.69,-65.5,18.6,-0.682,0.195,,
00-0031382,Jarvis Landry,WR,13,151.5,11.65,-80.2,16.9,-0.859,0.168,,
00-0033932,Kenneth Golladay,WR,5,65.8,13.16,-23.7,15.0,-0.258,0.149,,
00-0032765,Michael Thomas,WR,7,83.9,11.99,-41.2,12.2,-0.444,0.13,,
00-0031547,DeVante Parker,WR,13,146.7,11.28,-84.4,12.6,-0.905,0.127,,
00-0032187,David Johnson,RB,9,105.3,11.7,-56.7,11.3,-0.578,0.123,,
00-0034777,Darrell Chark,WR,11,128.1,11.65,-67.6,12.8,-0.717,0.122,,
00-0034681,Chase Edmonds,RB,13,143.1,11.01,-89.4,10.6,-0.93,0.12,,
00-0033858,Jonnu Smith,TE,12,132.2,11.02,-62.7,11.1,-0.679,0.098,,
00-0031235,Odell Beckham,WR,7,86.8,12.4,-39.4,11.8,-0.417,0.092,,
00-0027656,Robert Gronkowski,TE,13,136.7,10.52,-76.2,5.7,-0.767,0.09,,
00-0034383,Dalton Schultz,TE,13,143.5,11.04,-77.3,9.0,-0.817,0.088,,
00-0031549,Nelson Agholor,WR,13,143.5,11.04,-90.5,8.0,-0.945,0.086,,
00-0035719,Tyshun Samuel,WR,7,80.7,11.53,-44.3,6.9,-0.454,0.079,,
00-0033681,Keelan Cole,WR,13,140.3,10.79,-92.3,4.5,-0.942,0.067,,
00-0033881,Evan Engram,TE,13,139.7,10.75,-76.3,6.3,-0.802,0.064,,
