player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0033908,Cooper Kupp,WR,13,335.4,25.8,109.4,205.4,0.894,1.64
00-0036223,Jonathan Taylor,RB,13,306.4,23.57,72.7,179.9,0.594,1.423
00-0019596,Thomas Brady,QB,13,303.2,23.32,50.3,175.5,0.39,1.376
00-0034857,Joshua Allen,QB,13,302.1,23.24,50.1,172.9,0.39,1.358
00-0036355,Justin Herbert,QB,13,295.7,22.74,43.8,166.5,0.349,1.312
00-0026498,John Stafford,QB,13,274.8,21.14,21.7,145.5,0.18,1.171
00-0033699,Austin Ekeler,RB,13,275.5,21.19,38.9,146.5,0.298,1.148
00-0036322,Justin Jefferson,WR,13,262.2,20.17,36.1,132.5,0.301,1.06
00-0023459,Aaron Rodgers,QB,12,252.0,21.0,16.3,130.1,0.152,1.045
00-0031381,Davante Adams,WR,12,252.4,21.03,43.9,132.4,0.337,1.033
00-0033873,Patrick Mahomes,QB,13,259.7,19.98,4.6,131.5,0.019,1.027
00-0036389,Jalen Hurts,QB,12,250.9,20.91,15.4,130.0,0.111,1.027
00-0035719,Tyshun Samuel,WR,12,245.8,20.48,37.9,126.0,0.307,1.008
00-0029604,Kirk Cousins,QB,13,246.7,18.97,-5.3,117.5,-0.027,0.958
00-0034796,Lamar Jackson,QB,12,238.0,19.83,2.9,119.2,0.013,0.932
00-0033856,Leonard Fournette,RB,13,240.9,18.53,4.7,113.8,0.052,0.914
00-0033040,Tyreek Hill,WR,13,247.4,19.03,20.6,118.3,0.138,0.906
00-0034753,Mark Andrews,TE,13,244.1,18.78,24.9,117.2,0.18,0.906
00-0036893,Najee Harris,RB,13,241.0,18.54,4.4,112.0,0.031,0.897
00-0035228,Kyler Murray,QB,10,216.0,21.6,14.9,112.5,0.119,0.876
00-0033897,Joe Mixon,RB,13,232.8,17.91,-3.0,104.5,0.006,0.859
00-0030506,Travis Kelce,TE,13,231.4,17.8,13.4,104.5,0.111,0.835
00-0033921,Rod Godwin,WR,13,231.5,17.81,3.9,102.3,0.044,0.827
00-0035216,Diontae Johnson,WR,12,220.3,18.36,12.1,101.4,0.104,0.822
00-0033077,Rayne Prescott,QB,12,219.8,18.32,-14.1,101.2,-0.103,0.814
00-0032764,Derrick Henry,RB,8,192.3,24.04,46.1,110.1,0.334,0.812
00-0033288,George Kittle,TE,10,195.6,19.56,30.2,98.0,0.25,0.78
00-0036442,Joseph Burrow,QB,13,225.5,17.35,-30.0,95.5,-0.241,0.765
00-0033553,James Conner,RB,13,219.4,16.88,-14.8,91.8,-0.086,0.76
