season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2017,1,00-0031068,Ryan Grant,WR,10.1,-5.3,0.6,-0.0482,0.0055,30.9,1
2017,1,00-0022942,Philip Rivers,QB,17.68,-0.05,8.2,-0.0005,0.0743,30.9,1
2017,1,00-0030433,Michael Gillislee,RB,22.5,6.64,13.0,0.0603,0.1168,30.9,1
2017,1,00-0032241,Todd Gurley,RB,19.6,3.74,10.1,0.034,0.0913,30.9,1
2017,1,00-0019596,Thomas Brady,QB,10.68,-7.05,1.2,-0.064,0.0109,30.9,1
2017,1,00-0024389,Hubert Walker,TE,18.1,3.05,9.0,0.0278,0.0815,30.9,1
2017,1,00-0031544,Amari Cooper,WR,16.2,0.8,6.7,0.0073,0.0608,30.9,1
2017,1,00-0031236,Brandin Cooks,WR,11.8,-3.6,2.3,-0.0328,0.021,30.9,1
2017,1,00-0033908,Cooper Kupp,WR,17.6,2.2,8.1,0.0201,0.0734,30.9,1
2017,1,00-0032765,Michael Thomas,WR,9.5,-5.9,0.0,-0.0536,0.0,30.9,0
2017,1,00-0030669,Albert Wilson,WR,8.7,-6.7,-0.8,-0.0608,-0.0073,30.9,0
2017,1,00-0030821,Allen Hurns,WR,7.2,-8.2,-2.3,-0.0743,-0.021,30.9,0
2017,1,00-0031228,Taylor Gabriel,WR,6.6,-8.8,-2.9,-0.0797,-0.0264,30.9,0
2017,1,00-0031339,Donte Moncrief,WR,6.0,-9.4,-3.5,-0.085,-0.0319,30.9,0
2017,1,00-0031189,Tai-ler Jones,WR,5.2,-10.2,-4.3,-0.0921,-0.0391,30.9,0
2017,1,00-0027690,Eric Decker,WR,4.0,-11.4,-5.5,-0.1027,-0.05,30.9,0
2017,1,00-0031359,Kelvin Benjamin,WR,3.5,-11.9,-6.0,-0.1071,-0.0545,30.9,0
2017,1,00-0032371,Robert Kelley,RB,3.0,-12.86,-6.5,-0.1156,-0.059,30.9,0
2017,1,00-0030860,Orleans Darkwa,RB,2.3,-13.56,-7.2,-0.1217,-0.0653,30.9,0
2017,1,00-0033292,Trent Taylor,WR,1.8,-13.6,-7.7,-0.122,-0.0698,30.9,0
2017,1,00-0031315,Matthew Hazel,WR,1.1,-14.3,-8.4,-0.1281,-0.0761,30.9,0
2017,1,00-0033760,Justin Davis,RB,0.1,-15.76,-9.4,-0.1407,-0.085,30.9,0
2017,1,00-0027732,Michael Hoomanawanui,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0032475,Tanner McEvoy,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0031514,JaQuan Bray,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0033552,Brendan Langley,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0032256,Clive Walford,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0032398,Christopher Moore,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0033840,Timothy Hansen,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0030711,David Fluellen,RB,0.0,-15.86,-9.5,-0.1415,-0.0859,30.9,0
2017,1,00-0031260,Logan Thomas,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0027125,Zach Miller,TE,9.9,-5.15,0.8,-0.0469,0.0073,30.9,1
2017,1,00-0023436,Alexander Smith,QB,31.02,13.29,21.54,0.1193,0.1887,30.9,1
2017,1,00-0031375,Terrance West,RB,14.0,-1.86,4.5,-0.017,0.041,30.9,1
2017,1,00-0030656,Isaiah Crowell,RB,10.6,-5.26,1.1,-0.0479,0.01,30.9,1
2017,1,00-0029604,Kirk Cousins,QB,10.6,-7.13,1.12,-0.0647,0.0102,30.9,1
2017,1,00-0028112,Charles Clay,TE,17.3,2.25,8.2,0.0205,0.0743,30.9,1
2017,1,00-0026035,Daniel Amendola,WR,15.0,-0.4,5.5,-0.0036,0.05,30.9,1
2017,1,00-0028825,Terrelle Pryor,WR,12.6,-2.8,3.1,-0.0255,0.0282,30.9,1
2017,1,00-0027793,Antonio Brown,WR,28.2,12.8,18.7,0.1151,0.1654,30.9,1
2017,1,00-0023564,Darren Sproles,RB,9.5,-6.36,0.0,-0.0578,0.0,30.9,0
2017,1,00-0029263,Russell Wilson,QB,8.32,-9.41,-1.16,-0.0851,-0.0106,30.9,0
2017,1,00-0032881,Tommylee Lewis,WR,7.2,-8.2,-2.3,-0.0743,-0.021,30.9,0
2017,1,00-0032404,Tyler Ervin,RB,6.6,-9.26,-2.9,-0.0838,-0.0264,30.9,0
2017,1,00-0033594,Christopher Carson,RB,5.9,-9.96,-3.6,-0.0901,-0.0328,30.9,0
2017,1,00-0033079,Ricardo Louis,WR,5.2,-10.2,-4.3,-0.0921,-0.0391,30.9,0
2017,1,00-0032257,Randy Johnson,RB,4.0,-11.86,-5.5,-0.1068,-0.05,30.9,0
2017,1,00-0031373,Martavis Bryant,WR,3.4,-12.0,-6.1,-0.108,-0.0554,30.9,0
2017,1,00-0031598,Nicholas Boyle,TE,2.9,-12.15,-6.2,-0.1094,-0.0563,30.9,0
2017,1,00-0027654,Arrelious Benn,WR,2.2,-13.2,-7.3,-0.1185,-0.0662,30.9,0
2017,1,00-0025394,Adrian Peterson,RB,1.8,-14.06,-7.7,-0.126,-0.0698,30.9,0
2017,1,00-0032393,Calvin Prosise,RB,1.1,-14.76,-8.4,-0.1321,-0.0761,30.9,0
2017,1,00-0029141,Alfred Morris,RB,0.1,-15.76,-9.4,-0.1407,-0.085,30.9,0
2017,1,00-0027675,Edward Dickson,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0032166,Sammie Coates,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0033858,Jonnu Smith,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0033282,Curtis Samuel,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0032141,Geoffrey Swaim,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0033338,Cethan Carter,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0033581,De'Angelo Henderson,RB,0.0,-15.86,-9.5,-0.1415,-0.0859,30.9,0
2017,1,00-0031533,Randall Telfer,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0033943,Joshua Reynolds,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0030155,Demetrius Harris,TE,10.5,-4.55,1.4,-0.0414,0.0128,30.9,1
2017,1,00-0033899,DeShone Kizer,QB,18.58,0.85,9.1,0.0077,0.0824,30.9,1
2017,1,00-0027029,LeSean McCoy,RB,20.9,5.04,11.4,0.0458,0.1028,30.9,1
2017,1,00-0032780,Jordan Howard,RB,15.6,-0.26,6.1,-0.0024,0.0554,30.9,1
2017,1,00-0033106,Jared Goff,QB,16.44,-1.29,6.96,-0.0118,0.0632,30.9,1
2017,1,00-0030472,Jordan Reed,TE,11.1,-3.95,2.0,-0.036,0.0182,30.9,1
2017,1,00-0030035,Adam Thielen,WR,24.7,9.3,15.2,0.0842,0.1358,30.9,1
2017,1,00-0033871,Corey Davis,WR,12.9,-2.5,3.4,-0.0228,0.031,30.9,1
2017,1,00-0029269,Travis Benjamin,WR,13.3,-2.1,3.8,-0.0191,0.0346,30.9,1
2017,1,00-0030668,Charcandrick West,RB,9.5,-6.36,0.0,-0.0578,0.0,30.9,0
2017,1,00-0030431,Robert Woods,WR,8.3,-7.1,-1.2,-0.0644,-0.0109,30.9,0
2017,1,00-0030181,John Doyle,TE,7.1,-7.95,-2.0,-0.0721,-0.0182,30.9,0
2017,1,00-0029708,Kendall Wright,WR,6.4,-9.0,-3.1,-0.0814,-0.0282,30.9,0
2017,1,00-0028142,Virgil Green,TE,5.9,-9.15,-3.2,-0.0828,-0.0291,30.9,0
2017,1,00-0030068,Marquise Goodwin,WR,5.1,-10.3,-4.4,-0.093,-0.04,30.9,0
2017,1,00-0030516,Brice Butler,WR,4.0,-11.4,-5.5,-0.1027,-0.05,30.9,0
2017,1,00-0031301,Jeremy Hill,RB,3.4,-12.46,-6.1,-0.1121,-0.0554,30.9,0
2017,1,00-0030525,Tavon Austin,WR,2.8,-12.6,-6.7,-0.1133,-0.0608,30.9,0
2017,1,00-0032450,Dwayne Washington,RB,2.2,-13.66,-7.3,-0.1226,-0.0662,30.9,0
2017,1,00-0032211,Tyler Lockett,WR,1.8,-13.6,-7.7,-0.122,-0.0698,30.9,0
2017,1,00-0033308,Matthew Breida,RB,1.1,-14.76,-8.4,-0.1321,-0.0761,30.9,0
2017,1,00-0033069,Braxton Miller,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0032959,Charone Peake,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0033304,Devante Mays,RB,0.0,-15.86,-9.5,-0.1415,-0.0859,30.9,0
2017,1,00-0027215,James Paulsen,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0029689,Dwayne Allen,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0029336,Brittan Golden,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0033307,Kendrick Bourne,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0029793,Brandon Williams,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0032188,Vincent Mayle,TE,0.0,-15.05,-9.1,-0.1346,-0.0824,30.9,0
2017,1,00-0032543,Alex Erickson,WR,0.0,-15.4,-9.5,-0.1375,-0.0859,30.9,0
2017,1,00-0031257,Paul Richardson,WR,9.9,-5.5,0.4,-0.05,0.0036,30.9,1
2017,1,00-0026143,Matthew Ryan,QB,17.94,0.21,8.46,0.0019,0.0766,30.9,1
2017,1,00-0031045,Carlos Hyde,RB,13.7,-2.16,4.2,-0.0197,0.0382,30.9,1
