player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0034857,Josh Allen,QB,BUF,2025,16,13,28.75,7.0,0.0,0.0,0.0,0.0,460,0.6935,7.97,0.0543,0.0217,0.08,0.1427,3.537,1.092,0.3848,0.1217,112,5.17,0.125,0.3462,0.4107,0.1518,0,0,,,,,,,,,,,2,364.6,325.6,364.0,38.4,20.35,0.2789,215.5,110.1,0.0,32.45,39.0,6.55
00-0039851,Drake Maye,QB,NE,2025,17,13,28.94,6.06,0.06,0.0013,-0.0013,0.001,492,0.7195,8.93,0.063,0.0163,0.0872,0.3084,10.737,0.978,0.4126,0.1362,103,4.37,0.0388,0.1089,0.3689,0.1456,1,1,1.0,2.0,2.0,-8.0,-0.25,10.0,-1.3293,0.0,0.0,0.0,0,352.0,331.0,358.0,27.0,19.47,0.2685,253.6,76.3,1.1,35.78,35.0,-0.78
00-0026498,Matthew Stafford,QB,LA,2025,17,13,35.12,1.71,0.0,0.0,0.0,0.0,597,0.6499,7.88,0.0771,0.0134,0.0371,0.2427,1.544,0.851,0.3953,0.1206,29,0.03,0.0,-1.0978,0.0,0.0,0,0,,,,,,,,,,,1,350.4,353.1,354.4,1.3,20.77,0.2462,343.9,9.2,0.0,45.32,46.0,0.68
00-0036971,Trevor Lawrence,QB,JAX,2025,17,13,32.94,4.82,0.0,0.0,0.0,0.0,560,0.6089,7.16,0.0518,0.0214,0.0682,0.0639,-1.8,0.822,0.3464,0.1018,82,4.38,0.1098,0.3274,0.4878,0.1707,0,0,,,,,,,,,,,1,338.2,360.9,342.2,-18.8,21.23,0.2698,272.9,88.0,0.0,38.79,38.0,-0.79
00-0039918,Caleb Williams,QB,CHI,2025,17,13,33.41,4.53,0.12,0.0035,-0.0006,0.0048,568,0.581,6.94,0.0475,0.0123,0.0405,0.0713,-3.419,0.805,0.3292,0.1021,77,5.04,0.039,0.0701,0.3636,0.1818,2,2,1.0,11.0,11.0,-1.5,-7.333,12.5,2.6385,0.5,1.0,0.5,0,318.7,328.4,319.7,-8.7,19.32,0.2462,266.8,56.7,4.9,32.16,31.0,-1.16
00-0033077,Dak Prescott,QB,DAL,2025,17,13,35.29,3.12,0.0,0.0,0.0,0.0,600,0.6733,7.59,0.05,0.0167,0.0491,0.1812,2.198,0.947,0.3667,0.0883,53,3.34,0.0377,-0.1779,0.283,0.0943,0,0,,,,,,,,,,,1,313.8,355.9,315.8,-40.1,20.94,0.2437,322.4,33.6,0.0,43.35,32.0,-11.35
00-0039732,Bo Nix,QB,DEN,2025,17,13,36.0,4.88,0.06,0.0016,0.0004,0.0027,612,0.634,6.42,0.0408,0.018,0.0347,0.0999,-1.133,0.876,0.3203,0.0768,83,4.29,0.0602,0.1014,0.3012,0.1566,1,0,0.0,0.0,,2.0,0.0,,-0.4586,0.0,0.0,0.0,1,304.8,321.2,306.8,-14.4,18.89,0.2463,268.6,51.0,1.6,31.84,30.0,-1.84
00-0036389,Jalen Hurts,QB,PHI,2025,16,13,28.38,6.56,0.0,0.0,0.0,0.0,454,0.6476,7.1,0.0551,0.0132,0.0658,0.0706,3.157,0.792,0.3304,0.0881,105,4.01,0.0762,0.1589,0.381,0.1143,0,0,,,,,,,,,,,2,301.1,295.8,303.1,7.3,18.49,0.2734,196.9,98.9,0.0,27.99,33.0,5.01
00-0033106,Jared Goff,QB,DET,2025,17,13,34.0,1.12,0.0,0.0,0.0,0.0,578,0.6799,7.9,0.0588,0.0138,0.0617,0.1728,1.892,1.229,0.3858,0.1142,19,2.37,0.0,-0.7592,0.2632,0.0526,0,0,,,,,,,,,,,2,297.1,276.4,302.6,26.2,16.26,0.2091,272.5,4.0,0.0,29.66,34.0,4.34
00-0036355,Justin Herbert,QB,LAC,2025,16,13,32.0,5.19,0.0,0.0,0.0,0.0,512,0.6641,7.28,0.0508,0.0254,0.0954,0.0285,1.456,0.929,0.3418,0.084,83,6.0,0.0241,0.1915,0.4096,0.1928,0,0,,,,,,,,,,,1,286.9,300.4,288.9,-11.5,18.77,0.2525,236.7,63.6,0.0,31.66,28.0,-3.66
00-0033873,Patrick Mahomes,QB,KC,2025,14,13,35.86,4.57,0.07,0.0025,-0.002,0.0023,502,0.6275,7.15,0.0438,0.0219,0.0634,0.1273,0.252,0.886,0.3446,0.0976,64,6.59,0.0781,0.4557,0.4219,0.2812,1,1,1.0,-10.0,-10.0,-8.0,1.25,-2.0,-2.5389,0.0,0.0,0.0,0,285.7,297.9,285.7,-12.3,21.28,0.2627,242.2,54.7,1.1,33.16,27.0,-6.16
00-0034855,Baker Mayfield,QB,TB,2025,17,13,31.94,3.24,0.0,0.0,0.0,0.0,543,0.6317,6.8,0.0479,0.0203,0.0622,0.0012,-2.221,0.838,0.3168,0.0994,55,6.95,0.0182,0.6495,0.4909,0.2727,0,0,,,,,,,,,,,0,271.9,287.8,277.9,-9.8,16.93,0.2273,249.2,38.6,0.0,26.34,27.0,0.66
00-0040691,Jaxson Dart,QB,NYG,2025,14,10,24.21,6.14,0.0,0.0,0.0,0.0,339,0.6372,6.7,0.0442,0.0147,0.0936,0.0091,-0.098,0.819,0.3009,0.0737,86,5.66,0.1047,0.4433,0.4419,0.2093,0,0,,,,,,,,,,,1,241.6,220.0,243.6,23.6,15.71,0.2263,140.8,79.2,0.0,21.93,24.0,2.07
00-0034869,Sam Darnold,QB,SEA,2025,17,13,28.06,2.06,0.0,0.0,0.0,0.0,477,0.6771,8.49,0.0524,0.0294,0.0536,0.148,4.961,1.079,0.3732,0.1195,35,2.71,0.0,-0.3706,0.2857,0.0571,0,0,,,,,,,,,,,1,235.4,247.4,245.4,-2.0,14.55,0.2109,233.3,14.1,0.0,26.91,25.0,-1.91
00-0036264,Jordan Love,QB,GB,2025,15,13,29.27,3.13,0.0,0.0,0.0,0.0,439,0.6629,7.7,0.0524,0.0137,0.0457,0.2405,5.691,0.873,0.3622,0.1116,47,4.23,0.0,0.2625,0.2979,0.1489,0,0,,,,,,,,,,,0,235.1,230.0,239.1,9.1,15.33,0.2135,204.7,25.3,0.0,23.28,23.0,-0.28
00-0033119,Jacoby Brissett,QB,ARI,2025,14,10,34.64,2.71,0.0,0.0,0.0,0.0,485,0.6495,6.94,0.0474,0.0165,0.0814,-0.0061,1.773,0.91,0.3402,0.0845,38,4.42,0.0263,0.1964,0.4211,0.1316,0,0,,,,,,,,,,,0,227.4,247.1,235.4,-11.6,17.65,0.2199,216.5,30.6,0.0,27.05,24.0,-3.05
00-0023459,Aaron Rodgers,QB,PIT,2025,16,12,31.12,1.31,0.06,0.0019,-0.0027,0.001,498,0.6566,6.67,0.0482,0.0141,0.055,0.0537,-0.099,1.104,0.2871,0.0763,21,2.9,0.0476,-0.1405,0.1905,0.0952,1,1,1.0,-9.0,-9.0,-9.0,1.0,0.0,-1.534,0.0,0.0,0.0,0,227.1,230.7,229.1,-1.6,14.42,0.2071,212.7,16.9,1.1,26.2,25.0,-1.2
