player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0036997,Javonte Williams,RB,DEN,2024,17,13,0.0,8.18,4.12,0.1277,-0.02,0.1775,0,,,,,,,,,,,139,3.69,0.0288,-0.1719,0.2158,0.0935,70,52,0.7429,4.94,6.65,-0.41,-11.931,7.6,-0.0791,0.0,0.2,0.0429,2,17,0,0,0,0,157.9,194.1,157.9,-36.2,11.42,0.1589,0.0,90.9,103.2,6.76,4.0,-2.76
00-0033923,Kareem Hunt,RB,KC,2024,13,10,0.0,15.38,2.46,0.0671,-0.0176,0.0884,0,,,,,,,,,,,200,3.64,0.035,0.0107,0.21,0.055,32,23,0.7188,5.5,7.65,-1.81,-3.034,9.39,0.0943,0.0,0.3125,0.0938,0,14,0,0,0,1,155.4,189.5,155.4,-34.1,14.58,0.1777,0.0,135.7,53.8,11.04,7.0,-4.04
00-0034972,Alexander Mattison,RB,LV,2024,14,10,0.0,9.43,3.43,0.1009,-0.0033,0.1489,0,,,,,,,,,,,132,3.18,0.0303,-0.2332,0.1894,0.053,48,36,0.75,6.12,8.17,-0.08,-73.5,8.72,-0.1308,0.0208,0.2708,0.1042,1,14,0,3,3,0,137.4,159.4,137.4,-22.0,11.39,0.1635,0.0,93.1,66.3,6.59,5.0,-1.59
00-0037267,Jerome Ford,RB,CLE,2024,14,11,0.0,7.43,3.07,0.086,-0.0121,0.1206,0,,,,,,,,,,,104,5.43,0.0288,0.0484,0.2404,0.125,43,37,0.8605,5.23,6.08,-0.35,-15.0,7.95,-0.1137,0.0,0.2326,0.0698,0,14,1,2,3,0,134.0,115.4,134.0,18.6,8.24,0.1147,0.0,58.6,56.8,2.4,3.0,0.6
00-0033699,Austin Ekeler,RB,WAS,2024,12,11,0.0,6.42,3.42,0.1217,-0.0261,0.1643,0,,,,,,,,,,,77,4.77,0.0519,0.0649,0.2468,0.0909,41,35,0.8537,8.93,10.46,-1.44,-6.203,12.11,0.3367,0.0,0.3415,0.2439,0,12,4,1,5,0,132.3,119.6,132.3,12.7,9.97,0.1338,0.0,59.2,60.3,4.96,4.0,-0.96
00-0036973,Travis Etienne,RB,JAX,2024,15,11,0.0,10.0,3.47,0.1105,0.0004,0.166,0,,,,,,,,,,,150,3.72,0.0133,-0.1771,0.2067,0.1067,52,39,0.75,4.88,6.51,0.08,63.5,7.59,-0.0951,0.0,0.25,0.0385,1,15,0,2,2,0,130.2,162.0,130.2,-31.8,10.8,0.1569,0.0,84.1,77.9,4.76,2.0,-2.76
00-0038555,Tank Bigsby,RB,JAX,2024,15,11,0.0,11.2,0.8,0.0268,-0.0001,0.0401,0,,,,,,,,,,,168,4.56,0.0417,-0.005,0.2321,0.119,12,7,0.5833,4.5,7.71,-1.08,-4.154,9.14,-0.2375,0.0,0.0833,0.0833,1,16,0,1,1,1,129.0,123.5,129.0,5.5,8.23,0.1176,0.0,106.2,17.3,6.61,7.0,0.39
00-0034975,Justice Hill,RB,BAL,2024,15,13,0.0,3.13,3.4,0.1304,-0.0033,0.1933,0,,,,,,,,,,,47,4.85,0.0213,0.0153,0.2979,0.1277,51,42,0.8235,7.51,9.12,-0.67,-11.265,10.43,0.277,0.0588,0.3333,0.1961,0,15,0,2,2,0,127.1,107.2,126.6,19.4,7.15,0.0995,0.0,28.5,78.7,2.45,4.0,1.55
00-0032104,Ameer Abdullah,RB,LV,2024,13,10,0.0,5.08,3.62,0.0999,0.0097,0.1567,0,,,,,,,,,,,66,4.71,0.0303,-0.1149,0.2121,0.1212,47,40,0.8511,5.55,6.53,0.66,8.419,6.3,0.2522,0.0638,0.3404,0.0213,1,16,0,1,1,3,125.2,115.3,125.2,9.9,8.87,0.1212,0.0,45.1,70.2,4.25,5.0,0.75
00-0037228,Jaylen Warren,RB,PIT,2024,15,11,0.0,8.0,3.13,0.1175,-0.0037,0.1736,0,,,,,,,,,,,120,4.26,0.0083,-0.1187,0.2333,0.1167,47,38,0.8085,6.6,8.16,-0.09,-77.5,8.29,0.0362,0.0,0.3404,0.0638,1,15,0,2,2,0,124.1,132.8,124.1,-8.7,8.85,0.1374,0.0,66.5,66.4,3.3,1.0,-2.3
00-0039875,Ray Davis,RB,BUF,2024,16,12,0.0,7.06,1.19,0.0442,0.0045,0.0695,0,,,,,,,,,,,113,3.91,0.0265,-0.0494,0.2212,0.0973,19,17,0.8947,9.95,11.12,0.84,11.812,9.65,0.7831,0.1579,0.4211,0.1579,0,17,0,0,0,1,116.1,95.2,116.1,20.9,5.95,0.0814,0.0,62.9,32.3,3.59,6.0,2.41
00-0037525,Jordan Mason,RB,SF,2024,12,12,0.0,12.75,1.17,0.0409,0.0138,0.071,0,,,,,,,,,,,153,5.16,0.0196,-0.0356,0.2418,0.1503,14,11,0.7857,6.5,8.27,3.71,1.75,5.36,0.3306,0.0,0.3571,0.0714,1,12,5,0,5,0,115.0,118.4,114.9,-3.5,9.87,0.1367,0.0,96.5,21.9,5.56,3.0,-2.56
00-0039032,Tyjae Spears,RB,TEN,2024,12,9,0.0,7.0,2.92,0.0993,-0.0163,0.1375,0,,,,,,,,,,,84,3.71,0.0476,-0.0575,0.2262,0.1071,35,30,0.8571,6.4,7.47,-0.89,-7.226,8.5,-0.0434,0.0286,0.2571,0.1714,0,12,0,5,5,0,113.6,98.5,113.6,15.0,8.21,0.1348,0.0,53.0,45.5,2.99,5.0,2.01
00-0037263,Tyler Allgeier,RB,ATL,2024,17,13,0.0,8.06,0.76,0.0214,-0.0017,0.0309,0,,,,,,,,,,,137,4.7,0.0219,0.04,0.3139,0.1314,13,13,1.0,6.77,6.77,-0.38,-17.6,7.15,0.2639,0.0,0.1538,0.0,0,17,0,0,0,0,106.2,105.6,106.2,0.6,6.21,0.0846,0.0,86.2,19.4,4.62,3.0,-1.62
00-0036328,Antonio Gibson,RB,NE,2024,17,13,0.0,7.06,1.71,0.0587,0.0126,0.0968,0,,,,,,,,,,,120,4.48,0.0083,-0.0888,0.2,0.1167,29,23,0.7931,7.1,8.96,1.83,3.887,9.26,0.0831,0.0,0.3793,0.069,0,17,0,0,0,0,103.4,105.5,103.3,-2.2,6.21,0.0984,0.0,65.7,39.8,2.5,1.0,-1.5
00-0038794,Jaleel McLaughlin,RB,DEN,2024,16,13,0.0,7.06,1.69,0.0525,-0.0329,0.0557,0,,,,,,,,,,,113,4.39,0.0088,-0.0087,0.2212,0.1416,27,24,0.8889,2.81,3.17,-4.04,-0.697,6.96,-0.4172,0.0741,0.1111,0.0,1,16,0,1,1,0,97.2,105.9,97.2,-8.7,6.62,0.0929,0.0,68.2,37.7,3.54,3.0,-0.54
00-0035250,Devin Singletary,RB,NYG,2024,15,11,0.0,7.53,1.6,0.0489,-0.0232,0.057,0,,,,,,,,,,,113,3.87,0.0354,-0.0986,0.2124,0.0885,24,21,0.875,4.96,5.67,-2.83,-1.75,8.48,-0.4684,0.0,0.1667,0.0417,2,15,0,2,2,0,96.6,95.7,96.6,0.9,6.38,0.0986,0.0,64.2,31.5,3.0,4.0,1.0
00-0039363,Isaac Guerendo,RB,SF,2024,13,10,0.0,6.46,1.23,0.0437,0.0105,0.0729,0,,,,,,,,,,,84,5.0,0.0476,0.0578,0.2143,0.1071,16,15,0.9375,9.5,10.13,3.12,3.04,7.13,0.4084,0.0,0.4375,0.1875,0,16,0,1,1,3,96.2,76.3,96.2,19.9,5.87,0.0778,0.0,52.6,23.7,3.0,4.0,1.0
00-0038797,Emanuel Wilson,RB,GB,2024,17,13,0.0,6.06,0.82,0.0294,-0.0164,0.0326,0,,,,,,,,,,,103,4.87,0.0388,0.0894,0.2621,0.1262,14,11,0.7857,3.43,4.36,-4.5,-0.762,9.0,-0.2508,0.0714,0.2143,0.1429,0,17,0,0,0,0,96.0,86.2,96.0,9.8,5.07,0.0728,0.0,65.6,20.6,3.74,5.0,1.26
00-0036414,Cam Akers,RB,MIN,2024,15,11,0.0,6.93,1.2,0.0331,-0.0062,0.0453,0,,,,,,,,,,,104,4.27,0.0192,-0.1781,0.2019,0.1538,18,14,0.7778,3.78,4.86,-1.5,-2.519,5.93,-0.0568,0.1667,0.2222,0.0,1,17,0,1,1,2,93.2,89.7,93.2,3.5,5.98,0.0725,0.0,57.9,31.7,3.33,5.0,1.67
00-0035537,Ty Johnson,RB,BUF,2024,17,13,0.0,2.41,1.47,0.0506,0.0499,0.1109,0,,,,,,,,,,,41,5.2,0.0244,0.0163,0.3171,0.1707,25,18,0.72,11.36,15.78,8.16,1.392,9.44,0.9361,0.12,0.56,0.32,0,17,0,0,0,0,91.7,70.7,91.7,21.0,4.16,0.0559,0.0,26.4,44.2,3.41,4.0,0.59
00-0039794,Braelon Allen,RB,NYJ,2024,17,13,0.0,5.41,1.59,0.0447,-0.0012,0.0663,0,,,,,,,,,,,92,3.63,0.0217,-0.0828,0.2391,0.0543,27,19,0.7037,5.48,7.79,-0.19,-29.6,8.58,0.1755,0.037,0.2963,0.0,0,17,0,0,0,0,85.2,85.9,85.2,-0.7,5.05,0.0712,0.0,48.1,37.8,1.72,3.0,1.28
00-0036251,Zack Moss,RB,CIN,2024,8,8,0.0,9.25,3.38,0.1051,-0.0016,0.1565,0,,,,,,,,,,,74,3.27,0.027,-0.2702,0.1757,0.0676,27,23,0.8519,6.93,8.13,0.11,62.333,8.43,0.4691,0.037,0.4074,0.0741,1,8,8,1,9,0,81.9,96.9,81.9,-15.0,12.12,0.1675,0.0,54.5,42.4,4.92,3.0,-1.92
00-0033526,Samaje Perine,RB,KC,2024,17,13,0.0,1.18,2.06,0.0604,0.0032,0.0929,0,,,,,,,,,,,20,4.6,0.05,-0.0345,0.35,0.15,35,28,0.8,9.2,11.5,0.31,29.273,11.18,0.4217,0.0286,0.4286,0.2,0,17,0,0,0,0,81.4,68.1,78.9,10.8,4.01,0.052,0.0,11.8,56.3,2.13,2.0,-0.13
00-0039021,Roschon Johnson,RB,CHI,2024,12,9,0.0,4.58,1.67,0.0535,-0.0027,0.0783,0,,,,,,,,,,,55,2.73,0.1091,-0.081,0.3091,0.0,20,16,0.8,5.2,6.5,0.55,9.455,6.0,0.3305,0.0,0.3,0.05,0,14,0,3,3,2,77.4,76.0,77.4,1.4,6.33,0.0881,0.0,47.4,28.6,4.72,6.0,1.28
00-0035243,Miles Sanders,RB,CAR,2024,11,10,0.0,5.0,2.73,0.0883,-0.0082,0.1268,0,,,,,,,,,,,55,3.73,0.0364,-0.1575,0.2182,0.0545,30,24,0.8,4.93,6.17,1.37,3.61,6.25,-0.5844,0.0333,0.1667,0.1,0,11,6,0,6,0,77.3,77.4,77.3,-0.1,7.04,0.1038,0.0,33.6,43.8,2.18,3.0,0.82
00-0031687,Raheem Mostert,RB,MIA,2024,12,9,0.0,7.08,1.92,0.0581,0.0056,0.091,0,,,,,,,,,,,85,3.27,0.0235,-0.3553,0.1529,0.1059,23,19,0.8261,7.0,8.47,0.61,11.5,7.68,0.4803,0.0,0.4348,0.087,2,13,0,4,4,1,70.9,86.9,70.9,-16.0,7.24,0.0992,0.0,52.8,34.0,2.99,2.0,-0.99
00-0038951,Sean Tucker,RB,TB,2024,11,8,0.0,4.55,1.09,0.0308,0.0017,0.0474,0,,,,,,,,,,,50,6.16,0.04,0.2025,0.34,0.18,12,9,0.75,9.08,12.11,1.0,9.083,11.67,0.6183,0.0833,0.5,0.0833,0,17,0,0,0,6,68.7,48.2,68.7,20.5,4.38,0.0532,0.0,30.2,18.0,1.8,3.0,1.2
00-0034184,Gus Edwards,RB,LAC,2024,11,9,0.0,9.18,0.45,0.016,-0.0057,0.02,0,,,,,,,,,,,101,3.61,0.0396,-0.1393,0.1683,0.0594,5,3,0.6,1.2,2.0,-3.0,-0.4,3.67,-0.6202,0.0,0.0,0.0,0,11,4,2,6,0,64.1,72.5,64.1,-8.4,6.59,0.1066,0.0,65.7,6.8,3.96,4.0,0.04
00-0033955,Jeremy McNichols,RB,WAS,2024,14,11,0.0,3.93,0.86,0.027,0.0048,0.0439,0,,,,,,,,,,,55,4.75,0.0727,0.1634,0.2727,0.1091,12,9,0.75,2.25,3.0,1.67,1.35,3.67,-0.1069,0.0,0.0833,0.0,0,17,0,0,0,3,63.8,56.0,63.8,7.8,4.0,0.0499,0.0,37.0,19.0,2.39,4.0,1.61
00-0034791,Nick Chubb,RB,CLE,2024,8,7,0.0,12.75,1.38,0.0329,-0.0005,0.0491,0,,,,,,,,,,,102,3.25,0.0294,-0.2017,0.1667,0.049,11,5,0.4545,2.82,6.2,-0.45,-6.2,6.2,-1.4834,0.0909,0.2727,0.0909,1,8,9,0,9,0,63.3,79.7,63.3,-16.4,9.97,0.123,0.0,62.7,17.0,3.92,4.0,0.08
00-0036919,Kenny Gainwell,RB,PHI,2024,16,12,0.0,4.69,1.38,0.0529,0.0068,0.0841,0,,,,,,,,,,,75,3.87,0.0133,-0.1533,0.16,0.1467,22,16,0.7273,5.27,7.25,1.05,5.043,6.75,0.1068,0.0,0.2273,0.0455,0,17,0,0,0,1,62.6,82.6,62.6,-20.0,5.16,0.0716,0.0,50.5,32.1,3.41,1.0,-2.41
00-0033045,Ezekiel Elliott,RB,DAL,2024,15,12,0.0,4.93,1.0,0.0261,-0.0046,0.0359,0,,,,,,,,,,,74,3.05,0.0405,-0.2181,0.1892,0.0135,15,12,0.8,4.6,5.75,-1.8,-2.556,8.08,-0.0545,0.0,0.2,0.0,1,15,0,1,1,0,57.5,66.5,57.5,-9.0,4.44,0.0604,0.0,45.3,21.2,2.72,3.0,0.28
00-0037197,Isiah Pacheco,RB,KC,2024,7,4,0.0,11.86,2.29,0.0767,-0.0282,0.0953,0,,,,,,,,,,,83,3.73,0.012,-0.1647,0.1687,0.0361,16,12,0.75,4.94,6.58,-1.38,-3.591,9.92,-0.1157,0.0,0.25,0.0625,0,7,9,1,10,0,56.9,75.8,56.9,-18.9,10.82,0.1414,0.0,50.2,25.6,3.08,1.0,-2.08
00-0033854,Dare Ogunbowale,RB,HOU,2024,15,11,0.0,2.0,1.87,0.0565,0.0102,0.0919,0,,,,,,,,,,,30,3.73,0.0,-0.4564,0.1667,0.0667,28,19,0.6786,7.07,10.42,1.71,4.125,8.84,0.2003,0.0357,0.2857,0.1071,0,17,0,0,0,2,56.0,64.4,56.0,-8.4,4.29,0.0573,0.0,16.2,48.2,2.56,1.0,-1.56
