player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0033280,Christian McCaffrey,RB,13,326.5,25.12,99.9,204.3,0.823,1.664
00-0034857,Joshua Allen,QB,13,307.0,23.62,57.9,183.8,0.486,1.505
00-0036223,Jonathan Taylor,RB,13,308.0,23.69,83.6,186.8,0.667,1.485
00-0039139,Jahmyr Gibbs,RB,13,307.6,23.66,83.2,185.8,0.674,1.478
00-0038543,Jaxon Smith-Njigba,WR,13,285.4,21.95,67.0,165.3,0.565,1.366
00-0037744,Trey McBride,TE,13,281.2,21.63,76.1,162.2,0.642,1.345
00-0039040,De'Von Achane,RB,13,270.9,20.84,45.7,149.2,0.385,1.232
00-0039075,Puka Nacua,WR,12,258.9,21.58,58.2,147.1,0.472,1.202
00-0033873,Patrick Mahomes,QB,13,269.6,20.74,20.3,146.6,0.16,1.202
00-0038542,Bijan Robinson,RB,13,263.3,20.25,40.8,144.2,0.338,1.192
00-0039851,Drake Maye,QB,13,255.6,19.66,5.8,132.2,0.05,1.1
00-0033077,Rayne Prescott,QB,13,255.3,19.64,6.0,132.3,0.045,1.092
00-0026498,John Stafford,QB,13,257.2,19.78,9.0,132.5,0.066,1.088
00-0036389,Jalen Hurts,QB,13,246.9,18.99,0.2,124.3,0.007,1.036
00-0037247,George Pickens,WR,13,241.9,18.61,25.1,121.8,0.212,1.007
00-0039918,Caleb Williams,QB,13,233.6,17.97,-14.3,113.8,-0.115,0.947
00-0037248,James Cook,RB,13,231.5,17.81,7.8,110.1,0.074,0.925
00-0036963,Amon-Ra St. Brown,WR,13,232.5,17.88,14.1,112.4,0.098,0.907
00-0036900,Ja'Marr Chase,WR,12,221.9,18.49,21.6,109.9,0.151,0.869
00-0036355,Justin Herbert,QB,13,229.1,17.63,-21.3,105.4,-0.183,0.865
00-0039732,Bo Nix,QB,13,228.6,17.58,-21.9,104.9,-0.2,0.847
00-0033106,Jared Goff,QB,13,226.8,17.44,-21.4,102.1,-0.185,0.845
00-0035710,Daniel Jones,QB,13,221.4,17.03,-30.2,98.6,-0.251,0.817
00-0036264,Jordan Love,QB,13,215.4,16.57,-32.5,95.6,-0.274,0.798
00-0035700,Joshua Jacobs,RB,12,206.8,17.23,0.9,95.9,-0.005,0.785
00-0037238,Drake London,WR,9,177.0,19.67,25.1,94.1,0.208,0.766
00-0031381,Davante Adams,WR,13,211.8,16.29,-6.6,91.7,-0.064,0.755
00-0036971,William Lawrence,QB,13,214.3,16.48,-33.9,89.6,-0.286,0.747
00-0036997,Javonte Williams,RB,13,210.0,16.15,-14.6,88.9,-0.134,0.732
00-0038041,Jake Ferguson,TE,13,207.0,15.92,0.5,87.6,-0.012,0.714
00-0039338,Brock Bowers,TE,10,179.6,17.96,24.5,88.3,0.185,0.712
00-0037840,Kyren Williams,RB,13,202.9,15.61,-21.5,81.1,-0.181,0.676
00-0034855,Baker Mayfield,QB,13,203.4,15.64,-43.3,80.8,-0.372,0.667
00-0034796,Lamar Jackson,QB,10,174.1,17.41,-15.8,78.7,-0.139,0.649
00-0030506,Travis Kelce,TE,13,194.8,14.98,-11.7,75.4,-0.097,0.63
00-0039067,Rashee Rice,WR,7,136.0,19.43,21.0,73.9,0.175,0.619
00-0040691,Jaxson Dart,QB,10,172.9,17.29,-21.4,75.5,-0.169,0.617
00-0036554,Nico Collins,WR,12,184.1,15.34,-18.1,72.7,-0.141,0.616
00-0033119,Jacoby Brissett,QB,10,163.2,16.32,-28.1,69.1,-0.206,0.6
00-0036358,Cedarian Lamb,WR,10,161.7,16.17,-4.6,70.4,-0.04,0.591
00-0040128,Tyler Warren,TE,13,189.7,14.59,-16.6,71.1,-0.147,0.587
00-0036973,Travis Etienne,RB,13,189.8,14.6,-34.6,68.0,-0.279,0.579
00-0032764,Derrick Henry,RB,13,187.5,14.42,-36.2,66.1,-0.282,0.575
00-0035676,Arthur Brown,WR,12,177.9,14.83,-23.0,67.4,-0.178,0.567
00-0034844,Saquon Barkley,RB,13,187.1,14.39,-38.6,66.4,-0.325,0.552
00-0037239,Chris Olave,WR,13,184.8,14.22,-32.9,64.9,-0.275,0.543
00-0038597,Chase Brown,RB,13,183.6,14.12,-41.0,62.5,-0.33,0.536
00-0036252,Michael Pittman,WR,13,182.9,14.07,-34.8,63.0,-0.289,0.526
00-0034869,Sam Darnold,QB,13,187.7,14.44,-60.5,63.0,-0.51,0.515
00-0040122,Ashton Jeanty,RB,13,182.4,14.03,-42.0,60.6,-0.356,0.497
00-0036275,D'Andre Swift,RB,12,169.3,14.11,-37.2,59.4,-0.321,0.493
00-0036139,Rico Dowdle,RB,13,183.3,14.1,-43.3,61.1,-0.365,0.493
00-0038996,Tucker Kraft,TE,8,133.2,16.65,6.3,60.2,0.047,0.484
00-0036410,Tamurice Higgins,WR,12,168.7,14.06,-31.1,58.5,-0.262,0.48
00-0036945,Justin Fields,QB,9,141.7,15.74,-33.2,57.4,-0.268,0.472
00-0033288,George Kittle,TE,8,124.8,15.6,-1.0,54.3,0.006,0.468
00-0023459,Aaron Rodgers,QB,12,167.5,13.96,-62.3,55.8,-0.52,0.467
00-0036613,Jaylen Waddle,WR,13,176.6,13.59,-40.0,55.8,-0.332,0.467
00-0040124,Tetairoa McMillan,WR,13,175.6,13.51,-41.2,55.1,-0.336,0.466
00-0040663,Harold Fannin,TE,13,173.4,13.34,-33.3,54.7,-0.272,0.465
00-0034351,Dallas Goedert,TE,12,162.1,13.51,-29.0,53.4,-0.249,0.443
00-0026158,Joseph Flacco,QB,10,145.1,14.51,-46.7,53.2,-0.389,0.436
00-0038117,Wan'Dale Robinson,WR,13,173.0,13.31,-43.8,52.5,-0.364,0.435
00-0038120,Breece Hall,RB,13,172.8,13.29,-53.0,52.1,-0.443,0.433
00-0040129,Emeka Egbuka,WR,13,173.5,13.35,-42.1,54.2,-0.374,0.431
00-0037228,Derrell Warren,RB,12,158.9,13.24,-43.9,50.9,-0.38,0.427
00-0040715,Cameron Skattebo,RB,8,127.7,15.96,-15.8,51.1,-0.125,0.42
00-0035640,DeKaylin Metcalf,WR,13,164.5,12.65,-51.8,46.4,-0.432,0.394
00-0036040,Juwan Johnson,TE,13,164.4,12.65,-41.9,45.8,-0.345,0.389
00-0039910,Jayden Daniels,QB,7,113.3,16.18,-26.4,46.9,-0.222,0.382
00-0036970,Kyle Pitts,TE,13,162.1,12.47,-42.4,45.3,-0.364,0.377
00-0039361,Mar'Keise Irving,RB,6,104.2,17.37,2.4,45.3,0.017,0.376
00-0036912,DeVonta Smith,WR,13,165.9,12.76,-49.7,46.6,-0.427,0.376
00-0034348,Courtland Sutton,WR,13,165.3,12.72,-51.3,44.5,-0.426,0.372
00-0038933,Dalton Kincaid,TE,9,127.4,14.16,-16.9,44.5,-0.142,0.369
00-0035719,Tyshun Samuel,WR,12,158.0,13.17,-40.9,45.5,-0.353,0.369
00-0039163,Coleridge Stroud,QB,10,142.6,14.26,-53.4,45.4,-0.449,0.367
00-0037240,Jameson Williams,WR,13,162.4,12.49,-56.0,42.3,-0.45,0.364
00-0039064,Xavien Flowers,WR,13,163.5,12.58,-51.9,42.9,-0.436,0.36
00-0039065,Sam LaPorta,TE,9,126.9,14.1,-16.4,43.5,-0.133,0.359
00-0040784,Quinshon Judkins,RB,12,155.0,12.92,-54.3,43.8,-0.463,0.358
00-0039150,Bryce Young,QB,12,158.6,13.21,-70.9,42.4,-0.575,0.357
00-0033090,Hunter Henry,TE,13,158.5,12.19,-47.9,38.7,-0.385,0.331
00-0038124,Christian Watson,WR,7,100.5,14.36,-13.1,37.9,-0.106,0.33
00-0039915,Andrew McConkey,WR,13,158.5,12.19,-58.1,37.7,-0.482,0.314
00-0034383,Dalton Schultz,TE,13,156.4,12.03,-50.5,37.5,-0.431,0.306
00-0036322,Justin Jefferson,WR,13,157.4,12.11,-59.5,37.2,-0.512,0.298
00-0039919,Rome Odunze,WR,12,146.1,12.17,-53.9,36.4,-0.458,0.293
00-0039917,Michael Penix,QB,9,118.3,13.14,-54.4,32.8,-0.453,0.269
00-0037834,Brock Purdy,QB,5,78.2,15.64,-14.9,31.0,-0.128,0.264
00-0040666,Omarion Hampton,RB,6,90.7,15.12,-14.4,31.7,-0.114,0.263
00-0030061,Zachary Ertz,TE,13,150.4,11.57,-58.3,30.9,-0.482,0.262
00-0036972,Michael Jones,QB,10,128.3,12.83,-63.3,32.6,-0.533,0.26
00-0037740,Garrett Wilson,WR,7,98.5,14.07,-19.6,31.7,-0.16,0.259
00-0038559,Michael Wilson,WR,13,150.2,11.55,-68.2,30.1,-0.544,0.259
00-0031588,Stefon Diggs,WR,13,152.5,11.73,-64.3,32.0,-0.547,0.257
00-0039849,Marvin Harrison,WR,10,125.4,12.54,-44.9,30.8,-0.371,0.253
00-0040730,Robert Harvey,RB,13,151.1,11.62,-74.1,29.4,-0.606,0.252
00-0036919,Kenneth Gainwell,RB,13,148.7,11.44,-73.8,29.6,-0.613,0.247
00-0030279,Keenan Allen,WR,13,150.4,11.57,-66.2,29.6,-0.56,0.236
00-0034960,Jakobi Meyers,WR,12,137.8,11.48,-62.9,26.0,-0.518,0.23
00-0040734,TreVeyon Henderson,RB,13,148.4,11.42,-78.2,26.2,-0.634,0.227
00-0037664,Alec Pierce,WR,11,126.9,11.54,-56.6,27.1,-0.482,0.225
00-0031503,Jameis Winston,QB,2,43.3,21.64,8.4,26.2,0.073,0.223
00-0030565,Eugene Smith,QB,13,149.7,11.52,-98.5,25.0,-0.805,0.221
00-0035228,Kyler Murray,QB,5,77.8,15.56,-20.0,24.6,-0.162,0.203
00-0038544,Quentin Johnston,WR,12,136.0,11.33,-64.4,23.9,-0.547,0.185
00-0032268,Marcus Mariota,QB,9,105.1,11.67,-65.5,21.4,-0.536,0.185
00-0035685,David Montgomery,RB,13,142.8,10.99,-81.6,21.0,-0.677,0.177
00-0036158,J.K. Dobbins,RB,10,115.9,11.59,-60.8,21.3,-0.501,0.177
00-0036442,Joseph Burrow,QB,4,58.5,14.61,-19.3,20.1,-0.154,0.176
00-0040189,Oronde Gadsden,TE,11,122.6,11.15,-56.0,21.9,-0.473,0.173
00-0039923,Jonathan McCarthy,QB,7,82.6,11.8,-52.9,19.6,-0.441,0.166
00-0036898,Davis Mills,QB,5,65.0,12.99,-31.5,17.8,-0.247,0.161
00-0039376,Spencer Rattler,QB,8,97.1,12.14,-58.6,19.5,-0.488,0.156
00-0040668,Shedeur Sanders,QB,4,54.8,13.69,-17.0,18.6,-0.148,0.154
00-0039868,Troy Franklin,WR,13,140.0,10.77,-76.6,19.2,-0.644,0.151
00-0037261,Khalil Shakir,WR,13,138.0,10.62,-77.4,17.4,-0.648,0.148
00-0039391,Kimani Vidal,RB,10,108.0,10.8,-66.3,15.7,-0.53,0.147
00-0038134,Kenneth Walker,RB,13,138.6,10.66,-85.8,16.8,-0.714,0.144
00-0032950,Carson Wentz,QB,5,67.3,13.47,-29.2,17.7,-0.241,0.144
00-0039847,Theodore Johnson,TE,13,138.6,10.66,-67.8,18.8,-0.58,0.143
00-0036259,Bennie Jennings,WR,11,116.8,10.62,-66.1,16.6,-0.552,0.139
00-0039337,Malik Nabers,WR,4,57.1,14.28,-11.6,18.6,-0.105,0.136
00-0038563,Tre Tucker,WR,13,137.0,10.54,-81.4,16.9,-0.677,0.135
00-0040743,Tyler Shough,QB,7,79.1,11.3,-54.0,15.6,-0.456,0.134
00-0035261,Tony Pollard,RB,13,136.4,10.49,-88.2,15.3,-0.737,0.127
00-0038994,Jordan Addison,WR,10,107.6,10.76,-58.1,16.6,-0.499,0.127
00-0036212,Tuanigamanuolepola Tagovailoa,QB,13,139.5,10.73,-110.9,15.8,-0.925,0.124
00-0033040,Tyreek Hill,WR,4,53.5,13.38,-15.2,15.0,-0.126,0.123
00-0038935,Brenton Strange,TE,8,89.4,11.18,-35.9,13.4,-0.291,0.123
00-0040126,Colston Loveland,TE,12,120.0,10.0,-69.0,13.7,-0.583,0.112
00-0035659,Terry McLaurin,WR,6,69.0,11.5,-30.1,12.7,-0.255,0.109
00-0034753,Mark Andrews,TE,13,130.6,10.05,-75.0,11.2,-0.627,0.095
00-0033923,Kareem Hunt,RB,13,130.9,10.07,-93.7,9.8,-0.771,0.093
00-0038608,Kayshon Boutte,WR,11,113.1,10.28,-72.0,10.4,-0.587,0.092
00-0037816,Romeo Doubs,WR,13,130.2,10.02,-86.1,12.1,-0.743,0.079
00-0039893,Brian Thomas,WR,10,102.1,10.21,-68.1,7.9,-0.562,0.067
00-0035993,Tyler Huntley,QB,2,23.4,11.68,-15.3,7.6,-0.13,0.065
00-0039793,AJ Barner,TE,13,127.9,9.84,-77.2,8.9,-0.655,0.063
00-0036555,Chuba Hubbard,RB,11,109.7,9.97,-79.5,7.0,-0.666,0.058
00-0035229,Thomas Hockenson,TE,13,124.0,9.54,-82.9,5.1,-0.694,0.045
00-0034827,Denniston Moore,WR,13,123.6,9.51,-92.7,5.5,-0.778,0.043
00-0031610,Darren Waller,TE,6,61.6,10.27,-36.1,4.9,-0.305,0.032
00-0039165,Zachariah Charbonnet,RB,12,116.0,9.67,-91.9,3.7,-0.767,0.031
00-0040676,Cameron Ward,QB,13,124.4,9.57,-124.9,1.4,-1.026,0.025
00-0033553,James Conner,RB,3,32.3,10.77,-18.6,2.9,-0.156,0.023
00-0040583,Jo'Quavious Marks,RB,13,124.0,9.54,-99.7,2.8,-0.832,0.021
00-0028118,Tyrod Taylor,QB,6,59.5,9.91,-52.0,2.0,-0.428,0.021
00-0037545,Rashid Shaheed,WR,14,132.4,9.46,-100.7,3.5,-0.854,0.017
00-0033293,Aaron Jones,RB,9,82.6,9.18,-67.4,1.3,-0.571,0.015
00-0036423,Albert Okwuegbunam,TE,1,11.1,11.1,-6.7,0.3,-0.053,0.002
00-0035662,Marquise Brown,WR,13,120.4,9.26,-96.4,0.3,-0.81,-0.002
00-0037256,Rachaad White,RB,13,121.6,9.35,-104.1,0.9,-0.885,-0.005
00-0038606,Christopher Washington,WR,12,111.2,9.27,-90.9,-0.5,-0.758,-0.006
00-0040236,Kyle Monangai,RB,13,117.5,9.04,-105.0,-1.6,-0.879,-0.013
00-0033906,Alvin Kamara,RB,11,100.7,9.15,-92.6,-2.1,-0.769,-0.018
00-0039894,Xavier Worthy,WR,11,98.2,8.93,-83.6,-2.0,-0.706,-0.02
00-0036165,Isaiah Hodgins,WR,3,24.3,8.1,-24.5,-2.7,-0.212,-0.022
00-0031408,Michael Evans,WR,4,34.0,8.5,-35.0,-3.5,-0.284,-0.026
00-0040466,Raheim Sanders,RB,1,6.3,6.3,-10.1,-3.2,-0.086,-0.027
00-0039146,Jayden Reed,WR,3,22.8,7.6,-27.6,-5.3,-0.225,-0.039
00-0038728,Jared Wayne,WR,1,4.0,4.0,-10.7,-4.8,-0.092,-0.041
00-0039921,Trey Benson,RB,4,35.4,8.85,-35.3,-5.1,-0.291,-0.042
00-0040206,Riley Leonard,QB,2,10.4,5.2,-28.6,-5.2,-0.243,-0.044
00-0035100,Jake Browning,QB,5,47.7,9.55,-47.5,-4.8,-0.397,-0.049
00-0040317,Jacoby Jones,WR,1,3.5,3.5,-11.9,-5.5,-0.104,-0.049
00-0039032,Tyjae Spears,RB,9,73.8,8.2,-80.1,-6.8,-0.67,-0.052
00-0039916,Ricky Pearsall,WR,7,59.5,8.5,-58.0,-6.0,-0.49,-0.054
00-0033699,Austin Ekeler,RB,2,13.1,6.55,-21.3,-6.8,-0.173,-0.055
00-0038891,Shedrick Jackson,WR,2,9.5,4.75,-24.6,-7.2,-0.201,-0.057
