player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0033040,Tyreek Hill,WR,13,322.7,24.82,103.7,201.7,1.165,2.179,,
00-0033280,Christian McCaffrey,RB,13,310.4,23.88,88.7,194.5,0.957,2.081,,
00-0034857,Joshua Allen,QB,13,307.3,23.64,64.7,185.3,0.702,2.003,,
00-0036389,Jalen Hurts,QB,13,289.7,22.28,47.6,168.8,0.532,1.862,,
00-0036358,Cedarian Lamb,WR,13,282.7,21.75,61.8,162.7,0.667,1.745,,
00-0030279,Keenan Allen,WR,13,277.9,21.37,58.4,157.9,0.612,1.679,,
00-0033077,Rayne Prescott,QB,13,272.7,20.98,29.5,150.3,0.341,1.644,,
00-0035676,Arthur Brown,WR,13,255.8,19.68,36.8,134.8,0.397,1.468,,
00-0030506,Travis Kelce,TE,12,237.6,19.8,47.5,130.1,0.531,1.418,,
00-0034796,Lamar Jackson,QB,13,249.8,19.21,7.2,127.8,0.071,1.393,,
00-0037834,Brock Purdy,QB,13,245.9,18.92,1.9,124.5,0.023,1.381,,
00-0035229,Thomas Hockenson,TE,13,239.4,18.42,35.8,122.2,0.388,1.346,,
00-0036963,Amon-Ra St. Brown,WR,12,228.6,19.05,24.0,117.2,0.299,1.326,,
00-0037077,Sam Howell,QB,13,234.9,18.07,-6.7,114.2,-0.065,1.291,,
00-0033873,Patrick Mahomes,QB,13,234.8,18.06,-7.3,113.9,-0.069,1.282,,
00-0039163,Coleridge Stroud,QB,13,238.5,18.35,-4.6,116.1,-0.056,1.269,,
00-0033906,Alvin Kamara,RB,10,201.6,20.16,34.6,114.2,0.383,1.266,,
00-0031588,Stefon Diggs,WR,13,233.3,17.95,14.9,112.3,0.173,1.251,,
00-0031687,Dominique Mostert,RB,13,234.4,18.03,13.1,117.4,0.116,1.245,,
00-0036973,Travis Etienne,RB,13,226.9,17.45,5.2,111.0,0.065,1.231,,
00-0036355,Justin Herbert,QB,13,231.2,17.78,-10.3,110.1,-0.117,1.22,,
00-0036900,Ja'Marr Chase,WR,13,238.3,18.33,17.4,118.3,0.117,1.202,,
00-0036264,Jordan Love,QB,13,225.7,17.36,-19.9,104.7,-0.218,1.177,,
00-0031408,Michael Evans,WR,13,224.0,17.23,4.5,104.0,0.042,1.149,,
00-0034827,Denniston Moore,WR,13,231.2,17.78,12.8,110.2,0.084,1.143,,
00-0036252,Michael Pittman,WR,13,220.4,16.95,0.0,99.7,0.024,1.14,,
00-0036971,William Lawrence,QB,13,219.3,16.87,-24.7,97.9,-0.25,1.109,,
00-0037840,Kyren Williams,RB,9,183.0,20.33,28.2,101.5,0.312,1.102,,
00-0039075,Puka Nacua,WR,13,221.4,17.03,2.4,100.4,0.014,1.102,,
00-0036212,Tuanigamanuolepola Tagovailoa,QB,13,214.4,16.49,-27.7,93.5,-0.299,1.061,,
00-0033881,Evan Engram,TE,13,211.1,16.24,9.8,94.6,0.091,1.028,,
00-0029263,Russell Wilson,QB,13,212.9,16.37,-31.2,91.4,-0.37,1.02,,
00-0039065,Sam LaPorta,TE,13,209.6,16.12,8.3,93.1,0.063,1.004,,
00-0033106,Jared Goff,QB,13,210.1,16.16,-34.0,88.6,-0.377,0.997,,
00-0037256,Rachaad White,RB,13,203.4,15.65,-17.1,87.5,-0.192,0.985,,
00-0036261,Brandon Aiyuk,WR,12,195.3,16.27,-7.5,85.3,-0.064,0.974,,
