player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0033873,Patrick Mahomes,QB,13,350.5,26.96,86.4,222.8,0.921,2.275,,
00-0032241,Todd Gurley,RB,13,337.7,25.98,95.3,211.3,0.987,2.14,,
00-0034844,Saquon Barkley,RB,13,333.3,25.64,88.3,203.7,0.921,2.066,,
00-0033280,Christian McCaffrey,RB,13,321.7,24.75,80.9,195.3,0.842,1.988,,
00-0030506,Travis Kelce,TE,13,301.9,23.22,78.1,174.4,0.818,1.771,,
00-0033906,Alvin Kamara,RB,13,304.4,23.42,61.7,177.0,0.604,1.751,,
00-0033045,Ezekiel Elliott,RB,13,290.4,22.34,48.1,163.4,0.49,1.655,,
00-0022924,Benjamin Roethlisberger,QB,13,284.4,21.88,19.1,153.6,0.201,1.573,,
00-0031381,Davante Adams,WR,13,283.6,21.82,51.2,151.2,0.547,1.568,,
00-0030035,Adam Thielen,WR,13,283.4,21.8,52.2,150.8,0.528,1.543,,
00-0020531,Drew Brees,QB,13,281.1,21.62,18.0,151.7,0.203,1.538,,
00-0030061,Zachary Ertz,TE,13,284.6,21.89,61.1,154.2,0.594,1.525,,
00-0027939,Cameron Newton,QB,13,272.9,20.99,12.3,144.7,0.129,1.513,,
00-0033040,Tyreek Hill,WR,13,284.2,21.86,54.0,153.4,0.525,1.494,,
00-0026143,Matthew Ryan,QB,13,277.1,21.32,12.2,146.6,0.108,1.476,,
00-0029668,Andrew Luck,QB,13,270.6,20.81,6.9,139.2,0.067,1.427,,
00-0032765,Michael Thomas,WR,13,267.8,20.6,38.0,136.3,0.397,1.384,,
00-0033553,James Conner,RB,13,265.6,20.43,20.8,136.2,0.232,1.383,,
00-0027793,Antonio Brown,WR,13,264.3,20.33,31.9,131.9,0.35,1.375,,
00-0027944,Quintorres Jones,WR,13,264.1,20.32,33.3,132.6,0.347,1.362,,
00-0022942,Philip Rivers,QB,13,255.1,19.62,-9.8,124.6,-0.099,1.307,,
00-0023459,Aaron Rodgers,QB,13,252.2,19.4,-13.1,121.4,-0.127,1.271,,
00-0033106,Jared Goff,QB,13,254.5,19.57,-9.6,126.8,-0.109,1.268,,
00-0033923,Kareem Hunt,RB,11,230.2,20.93,23.2,123.4,0.256,1.259,,
00-0033857,John Smith-Schuster,WR,13,253.7,19.52,21.3,121.3,0.213,1.234,,
00-0032144,Melvin Gordon,RB,13,250.5,19.27,8.2,123.5,0.051,1.214,,
00-0030564,DeAndre Hopkins,WR,13,248.4,19.11,17.2,115.8,0.17,1.195,,
00-0033537,Derrick Watson,QB,13,244.9,18.84,-19.7,113.2,-0.217,1.157,,
00-0033288,George Kittle,TE,13,240.8,18.52,15.7,110.8,0.167,1.149,,
00-0029263,Russell Wilson,QB,13,239.0,18.39,-26.3,108.3,-0.248,1.147,,
00-0030279,Keenan Allen,WR,13,237.9,18.3,7.1,106.4,0.101,1.122,,
00-0031062,James White,RB,13,237.6,18.28,-6.9,108.1,-0.059,1.116,,
00-0019596,Thomas Brady,QB,13,235.1,18.08,-30.0,103.7,-0.306,1.088,,
00-0031235,Odell Beckham,WR,13,232.3,17.87,-0.8,98.8,0.016,1.034,,
00-0029604,Kirk Cousins,QB,13,233.6,17.97,-31.0,101.9,-0.364,1.02,,
00-0033077,Rayne Prescott,QB,13,225.5,17.35,-39.4,95.0,-0.412,0.993,,
00-0031387,Herman Ebron,TE,13,227.6,17.51,4.1,97.2,0.029,0.985,,
00-0031408,Michael Evans,WR,13,218.7,16.82,-12.4,87.3,-0.133,0.895,,
00-0031588,Stefon Diggs,WR,13,222.8,17.14,-8.4,90.2,-0.113,0.894,,
00-0030431,Robert Woods,WR,13,216.4,16.65,-13.8,85.6,-0.148,0.892,,
00-0033869,Mitchell Trubisky,QB,13,219.8,16.9,-45.8,91.9,-0.507,0.866,,
00-0034109,Phillip Lindsay,RB,13,206.7,15.9,-35.1,78.1,-0.349,0.832,,
00-0027061,Jared Cook,TE,13,210.0,16.15,-11.4,80.8,-0.143,0.808,,
00-0033556,Tarik Cohen,RB,13,205.3,15.8,-38.1,78.3,-0.402,0.796,,
00-0027685,Emmanuel Sanders,WR,12,198.2,16.52,-15.5,75.7,-0.165,0.78,,
00-0033009,Tyler Boyd,WR,13,207.3,15.95,-25.8,73.8,-0.285,0.745,,
00-0032187,David Johnson,RB,13,201.0,15.46,-44.0,71.4,-0.467,0.724,,
00-0031236,Brandin Cooks,WR,13,197.9,15.22,-32.3,67.1,-0.338,0.693,,
00-0033897,Joe Mixon,RB,13,194.9,14.99,-50.1,65.3,-0.494,0.691,,
00-0031544,Amari Cooper,WR,12,195.1,16.26,-19.6,73.1,-0.237,0.676,,
00-0027150,Julian Edelman,WR,9,152.1,16.9,-2.2,62.8,-0.027,0.669,,
00-0022803,Elisha Manning,QB,13,193.2,14.86,-70.4,61.8,-0.722,0.658,,
00-0029608,Eugene Hilton,WR,13,196.6,15.12,-36.5,63.1,-0.358,0.651,,
00-0033293,Aaron Jones,RB,11,170.6,15.51,-36.6,62.4,-0.375,0.647,,
00-0032950,Carson Wentz,QB,13,192.7,14.82,-71.0,61.3,-0.707,0.646,,
00-0031280,Derek Carr,QB,13,193.4,14.87,-72.0,62.6,-0.75,0.637,,
00-0027973,Andrew Dalton,QB,11,173.5,15.78,-53.4,62.5,-0.564,0.632,,
00-0032211,Tyler Lockett,WR,13,185.0,14.23,-47.4,52.6,-0.498,0.551,,
00-0034855,Baker Mayfield,QB,13,179.0,13.77,-86.1,47.6,-0.862,0.523,,
00-0032392,Austin Hooper,TE,13,177.7,13.67,-46.6,49.1,-0.493,0.514,,
00-0031503,Jameis Winston,QB,10,143.6,14.36,-57.7,47.4,-0.582,0.502,,
00-0033118,Kenyan Drake,RB,13,175.9,13.53,-68.6,46.4,-0.694,0.498,,
00-0031382,Jarvis Landry,WR,13,177.4,13.65,-53.4,44.2,-0.533,0.479,,
00-0026498,John Stafford,QB,13,174.8,13.44,-88.4,45.3,-0.941,0.465,,
00-0033879,O'Terrius Howard,TE,10,137.5,13.75,-30.4,39.2,-0.29,0.436,,
00-0032209,Timothy Yeldon,RB,13,171.0,13.15,-74.0,41.4,-0.772,0.427,,
00-0033932,Kenneth Golladay,WR,13,172.7,13.28,-57.1,41.2,-0.603,0.423,,
00-0028986,Casey Keenum,QB,13,171.1,13.16,-93.6,39.4,-0.976,0.422,,
00-0025394,Adrian Peterson,RB,13,165.2,12.71,-75.6,38.8,-0.795,0.408,,
00-0023436,Alexander Smith,QB,10,133.0,13.3,-70.4,37.1,-0.746,0.396,,
00-0034791,Nicholas Chubb,RB,13,167.0,12.85,-77.5,37.5,-0.786,0.38,,
00-0027891,Golden Tate,WR,12,161.0,13.42,-53.5,37.9,-0.577,0.367,,
00-0023682,Ryan Fitzpatrick,QB,13,163.8,12.6,-101.7,36.0,-1.041,0.329,,
00-0029615,Lamar Miller,RB,13,158.2,12.17,-83.6,29.6,-0.859,0.328,,
00-0032268,Marcus Mariota,QB,13,160.2,12.32,-104.7,29.7,-1.068,0.31,,
00-0027966,Mark Ingram,RB,9,114.5,12.72,-51.6,29.9,-0.563,0.306,,
00-0034837,Calvin Ridley,WR,13,164.4,12.65,-66.4,32.9,-0.71,0.305,,
00-0033699,Austin Ekeler,RB,13,157.0,12.08,-85.3,30.0,-0.898,0.305,,
00-0032058,Tevin Coleman,RB,13,153.6,11.82,-88.7,26.6,-0.916,0.277,,
00-0031407,Robby Bortles,QB,13,162.4,12.49,-101.2,31.0,-1.074,0.274,,
00-0033871,Corey Davis,WR,13,158.9,12.22,-71.9,27.4,-0.772,0.254,,
00-0032009,Adam Humphries,WR,13,152.9,11.76,-78.2,21.5,-0.783,0.25,,
00-0027942,Adriel Green,WR,12,148.4,12.37,-67.3,25.0,-0.705,0.238,,
00-0030669,Albert Wilson,WR,7,96.8,13.83,-31.9,22.5,-0.324,0.221,,
00-0033127,William Fuller,WR,8,106.3,13.29,-40.0,21.6,-0.404,0.217,,
