player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0034796,Lamar Jackson,QB,BAL,2019,15,13,26.73,11.73,0.0,0.0,0.0,0.0,401,0.6608,7.8,0.0898,0.015,0.0542,0.3396,4.007,0.882,0.4015,0.1047,176,6.85,0.0398,0.3119,0.4091,0.267,0,0,,,,,,,,,,,2,415.7,354.5,415.7,61.2,23.64,0.3035,219.1,135.4,0.0,35.34,43.0,7.66
00-0033077,Dak Prescott,QB,DAL,2019,16,13,37.25,3.25,0.0,0.0,0.0,0.0,596,0.651,8.22,0.0503,0.0185,0.0372,0.2014,0.976,0.873,0.3842,0.1141,52,5.33,0.0577,0.3227,0.3654,0.1538,0,0,,,,,,,,,,,0,337.8,303.0,341.8,38.8,18.94,0.2318,256.6,46.4,0.0,26.79,33.0,6.21
00-0029263,Russell Wilson,QB,SEA,2019,16,13,32.25,4.69,0.0,0.0,0.0,0.0,516,0.6609,7.97,0.0601,0.0097,0.0851,0.1558,6.912,0.851,0.3682,0.1066,75,4.56,0.04,-0.1166,0.2267,0.1867,0,0,,,,,,,,,,,2,328.6,321.3,328.6,7.3,20.08,0.2632,269.0,52.3,0.0,37.75,34.0,-3.75
00-0033537,Deshaun Watson,QB,HOU,2019,15,13,33.0,5.47,0.07,0.0026,0.0,0.0038,495,0.6727,7.78,0.0525,0.0242,0.0816,0.1413,1.95,0.871,0.3859,0.0949,82,5.04,0.0854,0.2972,0.3537,0.1829,1,1,1.0,6.0,6.0,0.0,,6.0,1.3034,1.0,1.0,0.0,1,321.0,312.0,325.0,13.0,20.8,0.2737,236.3,73.3,2.4,32.06,34.0,1.94
00-0031503,Jameis Winston,QB,TB,2019,16,13,39.12,3.69,0.0,0.0,0.0,0.0,626,0.607,8.16,0.0527,0.0479,0.0698,0.0654,0.666,0.788,0.3882,0.1198,59,4.24,0.0169,0.127,0.3051,0.1186,0,0,,,,,,,,,,,1,305.4,352.4,313.4,-39.0,22.02,0.2564,319.0,33.4,0.0,37.36,34.0,-3.36
00-0034857,Josh Allen,QB,BUF,2019,16,13,28.81,6.81,0.0,0.0,0.0,0.0,461,0.5879,6.7,0.0434,0.0195,0.0762,-0.0242,-1.655,0.725,0.3167,0.102,109,4.68,0.0826,0.1801,0.3853,0.156,0,0,,,,,,,,,,,2,288.6,271.0,292.6,21.6,16.93,0.2447,186.5,84.5,0.0,24.96,29.0,4.04
00-0033873,Patrick Mahomes,QB,KC,2019,14,11,34.57,3.07,0.0,0.0,0.0,0.0,484,0.6591,8.33,0.0537,0.0103,0.0339,0.2769,2.424,0.942,0.3636,0.1033,43,5.07,0.0465,0.283,0.3488,0.2326,0,0,,,,,,,,,,,0,287.0,275.0,290.1,15.1,19.64,0.2391,247.1,27.9,0.0,27.57,28.0,0.43
00-0035228,Kyler Murray,QB,ARI,2019,16,13,33.88,5.81,0.0,0.0,0.0,0.0,542,0.6439,6.87,0.0369,0.0221,0.0814,0.0085,-1.426,0.918,0.3192,0.0867,93,5.85,0.043,-0.0048,0.2903,0.1935,0,0,,,,,,,,,,,2,285.3,308.1,285.3,-22.8,19.26,0.2565,237.3,70.8,0.0,28.83,24.0,-4.83
00-0023459,Aaron Rodgers,QB,GB,2019,16,13,35.56,2.88,0.0,0.0,0.0,0.0,569,0.6204,7.03,0.0457,0.007,0.0595,0.0989,0.72,0.799,0.3322,0.0914,46,3.98,0.0217,0.0049,0.1957,0.1957,0,0,,,,,,,,,,,1,278.4,313.0,284.4,-28.6,19.56,0.2463,285.8,27.1,0.0,36.27,27.0,-9.27
00-0032950,Carson Wentz,QB,PHI,2019,16,13,37.94,3.88,0.0,0.0,0.0,0.0,607,0.6392,6.65,0.0445,0.0115,0.0575,0.066,-0.642,0.826,0.3509,0.0857,62,3.92,0.0161,-0.1711,0.3387,0.0968,0,0,,,,,,,,,,,3,275.9,300.2,281.9,-18.3,18.76,0.2297,257.8,42.4,0.0,29.87,28.0,-1.87
