player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0035298,Scott Miller,WR,11,40.5,3.68,-146.7,-64.3,-1.619,-0.717,,
00-0036365,Bryan Edwards,WR,7,4.5,0.64,-116.9,-65.2,-1.262,-0.722,,
00-0037317,Nicholas Muse,TE,7,0.0,0.0,-110.8,-63.4,-1.237,-0.723,,
00-0037834,Brock Purdy,QB,11,36.9,3.36,-164.9,-66.2,-1.776,-0.729,,
00-0031503,Jameis Winston,QB,11,40.9,3.72,-163.4,-63.6,-1.799,-0.73,,
00-0037077,Sam Howell,QB,7,0.0,0.0,-129.4,-64.2,-1.424,-0.731,,
00-0036654,Demetric Felton,RB,7,0.9,0.13,-120.7,-66.7,-1.302,-0.739,,
00-0036219,Marquez Callaway,WR,11,37.8,3.44,-149.0,-66.4,-1.641,-0.74,,
00-0034367,Nyheim Hines,RB,13,59.3,4.56,-166.5,-65.2,-1.844,-0.742,,
00-0032054,Breshad Perriman,WR,9,20.4,2.27,-134.3,-66.1,-1.477,-0.744,,
00-0036918,Jacob Harris,WR,7,1.6,0.23,-118.0,-67.3,-1.286,-0.752,,
00-0036635,Ihmir Smith-Marsette,WR,7,0.4,0.06,-120.7,-68.4,-1.3,-0.756,,
00-0034279,Equanimeous St. Brown,WR,13,56.4,4.34,-165.1,-68.3,-1.822,-0.764,,
00-0036534,Shane Zylstra,TE,9,14.3,1.59,-126.3,-69.4,-1.397,-0.774,,
00-0034845,Sony Michel,RB,10,24.9,2.49,-147.0,-68.8,-1.624,-0.774,,
00-0033932,Kenneth Golladay,WR,8,9.1,1.14,-128.8,-70.0,-1.393,-0.775,,
00-0032977,Rashard Higgins,WR,7,0.0,0.0,-121.8,-70.1,-1.312,-0.775,,
00-0034414,Boston Scott,RB,11,34.2,3.11,-152.3,-69.2,-1.691,-0.78,,
00-0033662,Cooper Rush,QB,13,54.6,4.2,-186.8,-69.7,-2.04,-0.787,,
00-0032063,Mike Davis,RB,8,3.2,0.4,-134.3,-71.3,-1.469,-0.796,,
00-0034975,Justice Hill,RB,11,33.4,3.04,-156.2,-71.0,-1.725,-0.798,,
00-0033217,Mohamed Alie-Cox,TE,13,53.8,4.14,-152.9,-69.6,-1.698,-0.8,,
00-0034419,Braxton Berrios,WR,13,51.9,3.99,-168.1,-71.9,-1.858,-0.806,,
00-0036630,Tylan Wallace,WR,8,5.1,0.64,-132.4,-74.0,-1.429,-0.818,,
00-0032208,Phillip Dorsett,WR,12,39.8,3.32,-162.2,-75.2,-1.775,-0.826,,
00-0034860,Dante Pettis,WR,13,49.9,3.84,-171.6,-74.8,-1.877,-0.829,,
00-0036959,Michael Bandy,WR,10,18.9,1.89,-146.4,-73.3,-1.633,-0.83,,
00-0037282,James Mitchell,TE,10,18.3,1.83,-141.9,-74.3,-1.56,-0.83,,
00-0036626,Dyami Brown,WR,11,31.3,2.85,-156.4,-73.2,-1.723,-0.834,,
00-0038041,Jake Ferguson,TE,13,49.9,3.84,-160.1,-75.4,-1.753,-0.836,,
00-0035146,Richard McSorley,QB,8,3.4,0.43,-146.5,-75.5,-1.574,-0.836,,
00-0027942,Adriel Green,WR,12,39.8,3.32,-162.9,-74.7,-1.799,-0.838,,
00-0032688,Robert Chosen,WR,13,49.9,3.84,-170.1,-74.2,-1.876,-0.838,,
00-0037805,Jeremy Ruckert,TE,8,0.0,0.0,-135.3,-77.0,-1.452,-0.845,,
00-0037666,Jalen Tolbert,WR,8,3.2,0.4,-132.0,-75.0,-1.453,-0.845,,
00-0036244,Colby Parkinson,TE,13,47.9,3.68,-159.6,-76.2,-1.76,-0.851,,
00-0033879,O'Terrius Howard,TE,12,37.4,3.12,-156.1,-76.1,-1.715,-0.854,,
00-0034386,Justin Watson,WR,13,47.1,3.62,-173.0,-76.4,-1.913,-0.856,,
00-0037261,Khalil Shakir,WR,11,26.8,2.44,-158.8,-75.7,-1.753,-0.856,,
00-0032134,Christopher Uzomah,TE,12,36.2,3.02,-156.7,-76.4,-1.737,-0.859,,
00-0034365,Ian Thomas,TE,13,46.1,3.55,-163.4,-76.5,-1.81,-0.859,,
00-0035806,JaMycal Hasty,RB,13,46.3,3.56,-179.3,-77.5,-1.962,-0.866,,
00-0035359,David Sills,WR,10,21.6,2.16,-151.9,-78.6,-1.648,-0.871,,
00-0029567,Nicholas Foles,QB,8,0.0,0.0,-148.4,-79.1,-1.589,-0.872,,
00-0037168,Armani Rogers,TE,10,16.3,1.63,-143.2,-79.2,-1.56,-0.878,,
00-0034613,Tanner Hudson,TE,11,28.2,2.56,-150.6,-78.7,-1.646,-0.88,,
00-0036251,Zaccheus Moss,RB,10,19.9,1.99,-154.1,-79.8,-1.66,-0.88,,
00-0034440,Justin Jackson,RB,13,44.8,3.45,-181.0,-79.7,-1.978,-0.881,,
00-0032975,Jonathan Williams,RB,9,7.7,0.86,-146.9,-78.9,-1.606,-0.883,,
00-0035547,Joseph Fortson,TE,12,36.3,3.03,-157.8,-78.7,-1.742,-0.884,,
00-0033246,John Mundt,TE,13,43.2,3.32,-166.2,-79.5,-1.844,-0.9,,
00-0032104,Ameer Abdullah,RB,13,44.0,3.38,-181.8,-80.5,-1.998,-0.903,,
00-0036620,D'Wayne Eskridge,WR,10,13.8,1.38,-157.9,-82.0,-1.718,-0.909,,
00-0035249,Josh Oliver,TE,13,41.5,3.19,-167.1,-81.1,-1.843,-0.911,,
00-0036032,Sean McKeon,TE,9,4.1,0.46,-138.3,-81.1,-1.534,-0.917,,
00-0034798,Durham Smythe,TE,12,33.1,2.76,-158.4,-81.9,-1.742,-0.918,,
00-0036527,Darryl Turner,WR,9,2.6,0.29,-147.5,-81.9,-1.634,-0.927,,
00-0036754,Brock Wright,TE,13,39.6,3.05,-168.1,-83.5,-1.844,-0.928,,
00-0034577,Kyle Allen,QB,10,12.9,1.29,-171.0,-82.7,-1.867,-0.928,,
00-0037005,Tommy Tremble,TE,13,38.6,2.97,-170.9,-84.0,-1.873,-0.931,,
00-0038090,Skyy Moore,WR,13,40.4,3.11,-179.7,-83.1,-1.989,-0.938,,
00-0038098,Pierre Strong,RB,11,17.5,1.59,-170.5,-84.1,-1.871,-0.942,,
00-0032980,Marcus Johnson,WR,10,12.3,1.23,-155.3,-84.2,-1.707,-0.947,,
00-0035510,Jeffrey Smith,WR,10,9.7,0.97,-159.6,-84.9,-1.747,-0.949,,
00-0036572,Shiyun Smith,WR,13,38.5,2.96,-181.5,-85.6,-1.99,-0.952,,
00-0037257,David Bell,WR,13,42.6,3.28,-179.7,-85.2,-1.97,-0.952,,
00-0034854,KhaDarel Hodge,WR,13,39.7,3.05,-181.8,-85.0,-2.001,-0.953,,
00-0037093,Dareke Young,WR,9,0.0,0.0,-151.2,-84.4,-1.673,-0.955,,
00-0037185,Raleigh Webb,WR,9,0.0,0.0,-151.8,-84.7,-1.671,-0.955,,
00-0034073,Ross Dwelley,TE,11,21.0,1.91,-157.8,-85.9,-1.72,-0.959,,
00-0034646,Brandon Powell,WR,13,36.8,2.83,-184.3,-86.9,-2.015,-0.96,,
00-0036424,Brycen Hopkins,TE,10,7.6,0.76,-148.3,-85.5,-1.649,-0.966,,
00-0033439,Pharaoh Brown,TE,12,29.7,2.48,-161.3,-86.2,-1.778,-0.966,,
00-0033114,Michael Thomas,WR,10,7.8,0.78,-161.5,-86.8,-1.766,-0.971,,
00-0033308,Matthew Breida,RB,13,38.0,2.92,-187.4,-87.7,-2.048,-0.973,,
00-0035956,Giovanni Ricci,TE,11,17.3,1.57,-159.2,-87.0,-1.749,-0.974,,
00-0037086,Grant Calcaterra,TE,11,15.6,1.42,-162.9,-86.6,-1.799,-0.975,,
00-0037267,Jerome Ford,RB,9,0.3,0.03,-151.1,-87.6,-1.645,-0.976,,
00-0036590,Quintin Morris,TE,11,15.5,1.41,-164.6,-87.1,-1.81,-0.979,,
00-0037744,Trey McBride,TE,12,24.4,2.03,-170.0,-87.7,-1.872,-0.979,,
00-0036628,John Bates,TE,13,36.8,2.83,-169.9,-86.6,-1.884,-0.98,,
00-0036438,Stephen Sullivan,TE,10,7.6,0.76,-155.4,-87.4,-1.703,-0.981,,
00-0036671,Dax Milne,WR,11,15.7,1.43,-171.2,-88.8,-1.866,-0.982,,
00-0036991,Amari Rodgers,WR,12,25.0,2.08,-180.1,-89.4,-1.965,-0.993,,
00-0033681,Keelan Cole,WR,11,15.6,1.42,-171.5,-88.9,-1.877,-0.994,,
00-0036999,Anthony Schwartz,WR,11,18.8,1.71,-171.1,-90.0,-1.853,-0.998,,
00-0037569,Peyton Hendershot,TE,13,35.5,2.73,-174.5,-89.8,-1.911,-0.999,,
00-0033251,Zachary Pascal,WR,13,34.4,2.65,-186.7,-89.3,-2.058,-1.005,,
00-0034407,Raymond McCloud,WR,13,37.2,2.86,-185.1,-90.6,-2.019,-1.008,,
00-0034899,John Wolford,QB,11,12.8,1.16,-191.4,-91.8,-2.061,-1.012,,
00-0035222,Zach Gentry,TE,13,34.4,2.65,-175.6,-90.9,-1.93,-1.018,,
00-0036133,James Proche,WR,11,12.2,1.11,-170.8,-90.9,-1.887,-1.023,,
00-0029239,Brandon Bolden,RB,12,24.1,2.01,-186.5,-90.9,-2.051,-1.026,,
00-0033576,Eric Saubert,TE,13,33.8,2.6,-176.2,-91.5,-1.94,-1.027,,
