player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0032187,David Johnson,RB,13,338.0,26.0,106.5,211.1,1.146,2.217,,
00-0030496,Le'Veon Bell,RB,10,267.6,26.76,91.0,172.6,0.972,1.789,,
00-0023459,Aaron Rodgers,QB,13,292.7,22.51,49.7,162.3,0.554,1.745,,
00-0026143,Matthew Ryan,QB,13,277.7,21.36,34.1,145.6,0.374,1.561,,
00-0033045,Ezekiel Elliott,RB,13,272.4,20.95,42.5,144.9,0.441,1.524,,
00-0027793,Antonio Brown,WR,13,272.9,20.99,46.1,141.7,0.482,1.496,,
00-0028009,DeMarco Murray,RB,13,261.8,20.14,31.8,136.0,0.349,1.472,,
00-0020531,Drew Brees,QB,13,266.9,20.53,23.5,134.5,0.224,1.408,,
00-0032144,Melvin Gordon,RB,13,250.6,19.28,18.4,124.2,0.193,1.304,,
00-0031408,Michael Evans,WR,13,254.0,19.54,28.0,122.6,0.277,1.278,,
00-0029604,Kirk Cousins,QB,13,244.3,18.79,1.7,113.2,0.025,1.237,,
00-0029668,Andrew Luck,QB,13,244.6,18.82,2.2,112.4,0.041,1.215,,
00-0032268,Marcus Mariota,QB,13,243.2,18.71,-0.8,112.7,-0.008,1.204,,
00-0031235,Odell Beckham,WR,13,240.9,18.53,14.1,109.7,0.132,1.154,,
00-0027029,LeSean McCoy,RB,13,235.3,18.1,4.4,107.7,0.048,1.146,,
00-0033077,Rayne Prescott,QB,13,237.4,18.26,-6.9,105.3,-0.077,1.139,,
00-0019596,Thomas Brady,QB,10,203.9,20.39,17.1,104.8,0.214,1.136,,
00-0026176,Jordy Nelson,WR,13,236.3,18.18,10.3,104.9,0.119,1.133,,
00-0026498,John Stafford,QB,13,236.2,18.17,-6.3,103.9,-0.077,1.12,,
00-0029608,Eugene Hilton,WR,13,234.3,18.02,8.8,102.5,0.118,1.107,,
00-0031280,Derek Carr,QB,13,233.4,17.95,-9.1,101.1,-0.103,1.079,,
00-0028118,Tyrod Taylor,QB,13,221.9,17.07,-20.5,89.7,-0.224,0.977,,
00-0031407,Robby Bortles,QB,13,222.1,17.08,-21.3,89.7,-0.237,0.975,,
00-0027944,Quintorres Jones,WR,13,227.3,17.48,-0.3,95.7,-0.021,0.969,,
00-0027973,Andrew Dalton,QB,13,218.1,16.78,-24.5,87.0,-0.261,0.959,,
00-0031503,Jameis Winston,QB,13,216.3,16.64,-26.2,85.9,-0.292,0.932,,
00-0030506,Travis Kelce,TE,13,216.1,16.62,-2.8,84.7,-0.026,0.923,,
00-0022924,Benjamin Roethlisberger,QB,13,216.2,16.63,-25.2,85.4,-0.287,0.891,,
00-0027939,Cameron Newton,QB,13,213.7,16.44,-30.6,81.6,-0.341,0.875,,
00-0031285,Devonta Freeman,RB,13,205.1,15.78,-27.1,78.7,-0.306,0.832,,
00-0022921,Larry Fitzgerald,WR,13,209.7,16.13,-17.2,77.6,-0.196,0.83,,
00-0026158,Joseph Flacco,QB,13,205.2,15.78,-36.1,74.4,-0.382,0.825,,
00-0022942,Philip Rivers,QB,13,208.0,16.0,-35.6,75.9,-0.393,0.822,,
00-0025418,Greg Olsen,TE,13,208.2,16.02,-12.9,75.7,-0.145,0.809,,
00-0031381,Davante Adams,WR,13,203.7,15.67,-22.3,72.3,-0.252,0.752,,
00-0027325,LeGarrette Blount,RB,13,194.7,14.98,-36.8,67.8,-0.399,0.74,,
00-0027685,Emmanuel Sanders,WR,13,200.2,15.4,-27.4,68.6,-0.302,0.723,,
00-0027874,Demaryius Thomas,WR,13,196.5,15.12,-31.1,64.9,-0.325,0.719,,
00-0031544,Amari Cooper,WR,13,200.0,15.38,-25.5,68.2,-0.289,0.719,,
00-0029263,Russell Wilson,QB,13,196.4,15.11,-47.0,64.0,-0.499,0.7,,
00-0030513,Latavius Murray,RB,13,189.4,14.57,-41.5,61.8,-0.431,0.676,,
00-0028434,Douglas Baldwin,WR,13,195.0,15.0,-30.5,62.6,-0.336,0.67,,
00-0026986,Michael Crabtree,WR,13,194.6,14.97,-30.9,62.8,-0.35,0.656,,
00-0027696,Jimmy Graham,TE,13,191.5,14.73,-27.4,60.1,-0.301,0.639,,
00-0031236,Brandin Cooks,WR,13,189.0,14.54,-36.5,56.6,-0.399,0.602,,
00-0031941,Jamison Crowder,WR,13,187.2,14.4,-39.7,55.1,-0.437,0.599,,
00-0023500,Franklin Gore,RB,13,180.7,13.9,-50.2,53.1,-0.536,0.596,,
00-0032765,Michael Thomas,WR,13,190.1,14.62,-35.4,57.7,-0.407,0.596,,
00-0022803,Elisha Manning,QB,13,185.7,14.28,-55.6,54.9,-0.618,0.594,,
00-0031382,Jarvis Landry,WR,13,185.0,14.23,-41.8,53.8,-0.455,0.59,,
00-0029701,Ryan Tannehill,QB,13,184.2,14.17,-57.1,53.4,-0.628,0.582,,
00-0027006,Kenneth Britt,WR,13,184.7,14.21,-42.1,53.5,-0.468,0.575,,
00-0032780,Jordan Howard,RB,13,180.5,13.88,-51.0,53.6,-0.546,0.575,,
00-0026184,Matthew Forte,RB,13,179.8,13.83,-52.4,53.4,-0.571,0.556,,
00-0027966,Mark Ingram,RB,13,180.5,13.88,-50.7,53.6,-0.566,0.553,,
00-0024389,Hubert Walker,TE,13,181.3,13.95,-36.3,50.9,-0.393,0.541,,
00-0026901,Burnell Wallace,WR,13,180.4,13.88,-46.4,49.2,-0.506,0.541,,
00-0032160,Tyrell Williams,WR,13,181.5,13.96,-46.1,49.9,-0.499,0.539,,
00-0027981,Kyle Rudolph,TE,13,180.3,13.87,-39.8,49.9,-0.443,0.538,,
00-0027942,Adriel Green,WR,13,186.4,14.34,-40.5,54.3,-0.457,0.531,,
00-0028825,Terrelle Pryor,WR,13,183.5,14.12,-44.5,51.6,-0.503,0.529,,
00-0030472,Jordan Reed,TE,13,184.0,14.15,-35.1,52.7,-0.404,0.519,,
00-0021429,Carson Palmer,QB,13,177.9,13.69,-64.7,46.8,-0.698,0.514,,
00-0029615,Lamar Miller,RB,13,173.2,13.32,-58.3,46.3,-0.631,0.501,,
00-0031588,Stefon Diggs,WR,13,177.1,13.62,-48.9,45.7,-0.523,0.486,,
00-0031045,Carlos Hyde,RB,13,171.2,13.17,-59.8,45.4,-0.639,0.484,,
00-0030414,Spencer Ware,RB,13,171.2,13.17,-60.0,44.3,-0.667,0.46,,
00-0031590,Jonathan Ajayi,RB,13,169.4,13.03,-61.6,43.6,-0.672,0.455,,
00-0027150,Julian Edelman,WR,13,172.2,13.25,-54.7,40.1,-0.582,0.453,,
00-0027125,Zach Miller,TE,10,143.1,14.31,-24.7,42.1,-0.271,0.448,,
00-0033040,Tyreek Hill,WR,13,172.6,13.28,-52.9,40.2,-0.571,0.431,,
00-0032950,Carson Wentz,QB,13,168.5,12.96,-74.4,38.1,-0.818,0.418,,
00-0032241,Todd Gurley,RB,13,163.2,12.55,-67.8,37.4,-0.739,0.417,,
00-0031273,Cameron Brate,TE,13,169.0,13.0,-51.1,38.6,-0.562,0.414,,
00-0027891,Golden Tate,WR,13,170.7,13.13,-54.8,38.9,-0.597,0.406,,
00-0030656,Isaiah Crowell,RB,13,162.7,12.52,-67.3,36.9,-0.734,0.403,,
00-0031301,Jeremy Hill,RB,13,163.4,12.57,-68.1,36.5,-0.732,0.399,,
