season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2018,1,00-0034367,Nyheim Hines,RB,12.2,-7.15,2.6,-0.0738,0.027,27.2,1
2018,1,00-0026158,Joseph Flacco,QB,20.74,0.24,11.7,0.0025,0.1195,27.2,1
2018,1,00-0028087,Dion Lewis,RB,22.0,2.65,12.4,0.0274,0.1265,27.2,1
2018,1,00-0031045,Carlos Hyde,RB,13.5,-5.85,3.9,-0.0605,0.0404,27.2,1
2018,1,00-0033839,Decrick Westbrook,WR,10.1,-8.4,0.7,-0.0865,0.0073,27.2,1
2018,1,00-0032135,Jesse James,TE,10.5,-5.96,1.9,-0.0616,0.0197,27.2,1
2018,1,00-0030564,DeAndre Hopkins,WR,15.1,-3.4,5.7,-0.0352,0.0589,27.2,1
2018,1,00-0031236,Brandin Cooks,WR,14.3,-4.2,4.9,-0.0435,0.0507,27.2,1
2018,1,00-0030663,Willie Snead,WR,14.9,-3.6,5.5,-0.0373,0.0569,27.2,1
2018,1,00-0031075,Alfred Blue,RB,9.6,-9.75,0.0,-0.1001,0.0,27.2,0
2018,1,00-0030107,Theodore Riddick,RB,8.5,-10.85,-1.1,-0.1111,-0.0114,27.2,0
2018,1,00-0028064,Bilal Powell,RB,7.5,-11.85,-2.1,-0.1211,-0.0218,27.2,0
2018,1,00-0032426,Alexander Collins,RB,6.9,-12.45,-2.7,-0.127,-0.028,27.2,0
2018,1,00-0025418,Greg Olsen,TE,6.3,-10.16,-2.3,-0.1042,-0.0238,27.2,0
2018,1,00-0033885,Chief Njoku,TE,5.8,-10.66,-2.8,-0.1092,-0.029,27.2,0
2018,1,00-0033881,Evan Engram,TE,4.8,-11.66,-3.8,-0.1191,-0.0394,27.2,0
2018,1,00-0026345,Pierre Garcon,WR,4.1,-14.4,-5.3,-0.146,-0.0548,27.2,0
2018,1,00-0034365,Ian Thomas,TE,3.4,-13.06,-5.2,-0.1329,-0.0538,27.2,0
2018,1,00-0027854,Samuel Bradford,QB,2.82,-17.68,-6.22,-0.1771,-0.0643,27.2,0
2018,1,00-0034829,Michael Gesicki,TE,2.6,-13.86,-6.0,-0.1407,-0.062,27.2,0
2018,1,00-0032760,Joshua Doctson,WR,2.1,-16.4,-7.3,-0.1651,-0.0753,27.2,0
2018,1,00-0034764,Michael Gallup,WR,1.9,-16.6,-7.5,-0.167,-0.0773,27.2,0
2018,1,00-0029141,Alfred Morris,RB,0.8,-18.55,-8.8,-0.1853,-0.0905,27.2,0
2018,1,00-0032475,Tanner McEvoy,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0032599,Joshua Perkins,TE,0.0,-16.46,-8.6,-0.1657,-0.0885,27.2,0
2018,1,00-0034339,David Quinn,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0034370,DaeSean Hamilton,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0028097,Joseph Smith,TE,0.0,-16.46,-8.6,-0.1657,-0.0885,27.2,0
2018,1,00-0033968,Stacy Coley,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0034765,Tre'Quan Smith,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0033658,Blake Jarwin,TE,0.0,-16.46,-8.6,-0.1657,-0.0885,27.2,0
2018,1,00-0030460,Markus Wheaton,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0026901,Burnell Wallace,WR,0.0,-18.5,-9.4,-0.1848,-0.0966,27.2,0
2018,1,00-0033958,Nathan Peterman,QB,-2.94,-23.44,-11.98,-0.2289,-0.1223,27.2,0
2018,1,00-0026986,Michael Crabtree,WR,12.8,-5.7,3.4,-0.0589,0.0352,27.2,1
2018,1,00-0020531,Drew Brees,QB,31.56,11.06,22.52,0.1132,0.221,27.2,1
2018,1,00-0030404,Christopher Thompson,RB,24.8,5.45,15.2,0.0563,0.1537,27.2,1
2018,1,00-0032144,Melvin Gordon,RB,27.6,8.25,18.0,0.0849,0.1801,27.2,1
2018,1,00-0029701,Ryan Tannehill,QB,13.6,-6.9,4.56,-0.0712,0.0472,27.2,1
2018,1,00-0030181,John Doyle,TE,14.5,-1.96,5.9,-0.0203,0.061,27.2,1
2018,1,00-0033908,Cooper Kupp,WR,17.8,-0.7,8.4,-0.0073,0.0865,27.2,1
2018,1,00-0032626,Geronimo Allison,WR,17.9,-0.6,8.5,-0.0062,0.0875,27.2,1
2018,1,00-0031382,Jarvis Landry,WR,17.6,-0.9,8.2,-0.0093,0.0844,27.2,1
2018,1,00-0033118,Kenyan Drake,RB,9.6,-9.75,0.0,-0.1001,0.0,27.2,0
2018,1,00-0033856,Leonard Fournette,RB,8.5,-10.85,-1.1,-0.1111,-0.0114,27.2,0
2018,1,00-0031228,Taylor Gabriel,WR,7.5,-11.0,-1.9,-0.1126,-0.0197,27.2,0
2018,1,00-0030288,Michael Burkhead,RB,6.9,-12.45,-2.7,-0.127,-0.028,27.2,0
2018,1,00-0032141,Geoffrey Swaim,TE,6.3,-10.16,-2.3,-0.1042,-0.0238,27.2,0
2018,1,00-0032009,Adam Humphries,WR,5.7,-12.8,-3.7,-0.1304,-0.0383,27.2,0
2018,1,00-0032355,Chester Rogers,WR,4.8,-13.7,-4.6,-0.1392,-0.0476,27.2,0
2018,1,00-0029567,Nicholas Foles,QB,4.08,-16.42,-4.96,-0.1653,-0.0513,27.2,0
2018,1,00-0034353,Anthony Miller,WR,3.4,-15.1,-6.0,-0.1527,-0.062,27.2,0
2018,1,00-0033950,Wayne Gallman,RB,2.8,-16.55,-6.8,-0.1666,-0.0702,27.2,0
2018,1,00-0032394,Nicholas Vannett,TE,2.6,-13.86,-6.0,-0.1407,-0.062,27.2,0
2018,1,00-0028237,Christopher Hogan,WR,2.1,-16.4,-7.3,-0.1651,-0.0753,27.2,0
2018,1,00-0030300,Jaron Brown,WR,1.7,-16.8,-7.7,-0.1689,-0.0794,27.2,0
2018,1,00-0032371,Robert Kelley,RB,0.7,-18.65,-8.9,-0.1862,-0.0915,27.2,0
2018,1,00-0033376,Patrick Ricard,RB,0.0,-19.35,-9.6,-0.1926,-0.0986,27.2,0
2018,1,00-0032864,Alexander Ellis,TE,0.0,-16.46,-8.6,-0.1657,-0.0885,27.2,0
2018,1,00-0034565,Jermine Newsome,RB,0.0,-19.35,-9.6,-0.1926,-0.0986,27.2,0
