season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2019,1,00-0030061,Zachary Ertz,TE,12.9,-5.36,2.7,-0.0383,0.0193,39.4,1
2019,1,00-0033537,Derrick Watson,QB,30.72,9.7,20.28,0.069,0.1419,39.4,1
2019,1,00-0034844,Saquon Barkley,RB,16.9,-3.55,5.5,-0.0254,0.0393,39.4,1
2019,1,00-0031806,Malcolm Brown,RB,17.3,-3.15,5.9,-0.0226,0.0421,39.4,1
2019,1,00-0027973,Andrew Dalton,QB,20.72,-0.3,10.28,-0.0022,0.0731,39.4,1
2019,1,00-0033288,George Kittle,TE,17.4,-0.86,7.2,-0.0061,0.0514,39.4,1
2019,1,00-0033857,John Smith-Schuster,WR,13.8,-6.78,2.1,-0.0484,0.015,39.4,1
2019,1,00-0027150,Julian Edelman,WR,16.38,-4.2,4.68,-0.03,0.0334,39.4,1
2019,1,00-0030279,Keenan Allen,WR,26.3,5.72,14.6,0.0408,0.1033,39.4,1
2019,1,00-0031382,Jarvis Landry,WR,11.7,-8.88,0.0,-0.0633,0.0,39.4,0
2019,1,00-0033553,James Conner,RB,10.5,-9.95,-0.9,-0.0708,-0.0064,39.4,0
2019,1,00-0025418,Greg Olsen,TE,9.6,-8.66,-0.6,-0.0617,-0.0043,39.4,0
2019,1,00-0034830,Hayden Hurst,TE,8.6,-9.66,-1.6,-0.0687,-0.0114,39.4,0
2019,1,00-0030456,Giovani Bernard,RB,7.3,-13.15,-4.1,-0.0932,-0.0293,39.4,0
2019,1,00-0034358,Derrius Guice,RB,6.8,-13.65,-4.6,-0.0967,-0.0329,39.4,0
2019,1,00-0034367,Nyheim Hines,RB,5.7,-14.75,-5.7,-0.1043,-0.0407,39.4,0
2019,1,00-0031687,Dominique Mostert,RB,5.0,-15.45,-6.4,-0.1091,-0.0457,39.4,0
2019,1,00-0032602,Joshua McKissic,RB,4.4,-16.05,-7.0,-0.1133,-0.0499,39.4,0
2019,1,00-0035243,Miles Sanders,RB,3.7,-16.75,-7.7,-0.1181,-0.0549,39.4,0
2019,1,00-0034960,Jakobi Meyers,WR,3.2,-17.38,-8.5,-0.1224,-0.0606,39.4,0
2019,1,00-0029587,Rhett Ellison,TE,2.3,-15.96,-7.9,-0.1126,-0.0563,39.4,0
2019,1,00-0033307,Kendrick Bourne,WR,1.9,-18.68,-9.8,-0.1312,-0.0697,39.4,0
2019,1,00-0028411,Dontrelle Inman,WR,1.5,-19.08,-10.2,-0.1339,-0.0726,39.4,0
2019,1,00-0032791,Jakeem Grant,WR,0.7,-19.88,-11.0,-0.1393,-0.0782,39.4,0
2019,1,00-0034449,Gregory Howell,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0033871,Corey Davis,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0035631,Drew Sample,TE,0.0,-18.26,-10.2,-0.1283,-0.0726,39.4,0
2019,1,00-0034487,Trent Sherfield,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0034551,Jordan Chunn,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0034928,Steven Sims,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0033251,Zachary Pascal,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0034798,Durham Smythe,TE,0.0,-18.26,-10.2,-0.1283,-0.0726,39.4,0
2019,1,00-0033266,Bruce Natson,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0031319,Diontae Spencer,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0030506,Travis Kelce,TE,13.3,-4.96,3.1,-0.0354,0.0222,39.4,1
2019,1,00-0022942,Philip Rivers,QB,22.92,1.9,12.48,0.0136,0.0885,39.4,1
2019,1,00-0030513,Latavius Murray,RB,12.7,-7.75,1.3,-0.0553,0.0093,39.4,1
2019,1,00-0033893,Dalvin Cook,RB,26.0,5.55,14.6,0.0396,0.1033,39.4,1
2019,1,00-0022803,Elisha Manning,QB,14.84,-6.18,4.4,-0.0441,0.0314,39.4,1
2019,1,00-0027696,Jimmy Graham,TE,13.5,-4.76,3.3,-0.034,0.0236,39.4,1
2019,1,00-0033932,Kenneth Golladay,WR,14.2,-6.38,2.5,-0.0456,0.0179,39.4,1
2019,1,00-0032128,Christian Conley,WR,21.7,1.12,10.0,0.008,0.0712,39.4,1
2019,1,00-0026189,DeSean Jackson,WR,35.4,14.82,23.7,0.1048,0.1646,39.4,1
2019,1,00-0033908,Cooper Kupp,WR,11.6,-8.98,-0.1,-0.064,-0.0007,39.4,0
2019,1,00-0031345,James Garoppolo,QB,10.44,-10.58,0.0,-0.0752,0.0,39.4,0
2019,1,00-0031045,Carlos Hyde,RB,9.5,-10.95,-1.9,-0.0779,-0.0136,39.4,0
2019,1,00-0033106,Jared Goff,QB,8.44,-12.58,-2.0,-0.0892,-0.0143,39.4,0
2019,1,00-0033854,Oluwadare Ogunbowale,RB,7.3,-13.15,-4.1,-0.0932,-0.0293,39.4,0
2019,1,00-0027061,Jared Cook,TE,6.7,-11.56,-3.5,-0.0821,-0.025,39.4,0
2019,1,00-0034184,Augustus Edwards,RB,5.6,-14.85,-5.8,-0.105,-0.0414,39.4,0
2019,1,00-0034981,Foster Moreau,TE,5.0,-13.26,-5.2,-0.094,-0.0371,39.4,0
2019,1,00-0031228,Taylor Gabriel,WR,4.4,-16.18,-7.3,-0.1142,-0.0521,39.4,0
2019,1,00-0034273,Damion Ratley,WR,3.7,-16.88,-8.0,-0.1189,-0.057,39.4,0
2019,1,00-0031549,Nelson Agholor,WR,3.1,-17.48,-8.6,-0.123,-0.0613,39.4,0
2019,1,00-0031387,Herman Ebron,TE,2.3,-15.96,-7.9,-0.1126,-0.0563,39.4,0
2019,1,00-0028142,Virgil Green,TE,1.9,-16.36,-8.3,-0.1154,-0.0592,39.4,0
2019,1,00-0032009,Adam Humphries,WR,1.5,-19.08,-10.2,-0.1339,-0.0726,39.4,0
2019,1,00-0029239,Brandon Bolden,RB,0.7,-19.75,-10.7,-0.1384,-0.0761,39.4,0
2019,1,00-0032393,Calvin Prosise,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0029492,Jamize Olawale,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0033375,Timothy Patrick,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0035594,Travis Homer,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0034317,Keith Kirkwood,WR,0.0,-20.58,-11.7,-0.144,-0.0831,39.4,0
2019,1,00-0034383,Dalton Schultz,TE,0.0,-18.26,-10.2,-0.1283,-0.0726,39.4,0
2019,1,00-0032782,Wendell Smallwood,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
2019,1,00-0034073,Ross Dwelley,TE,0.0,-18.26,-10.2,-0.1283,-0.0726,39.4,0
2019,1,00-0034365,Ian Thomas,TE,0.0,-18.26,-10.2,-0.1283,-0.0726,39.4,0
2019,1,00-0032794,Dan Vitale,RB,0.0,-20.45,-11.4,-0.1431,-0.081,39.4,0
