player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0034796,Lamar Jackson,QB,13,319.4,24.57,74.6,187.5,0.638,1.547
00-0036900,Ja'Marr Chase,WR,13,317.4,24.42,93.5,191.1,0.734,1.488
00-0034844,Saquon Barkley,RB,13,299.0,23.0,72.2,176.5,0.582,1.411
00-0034857,Joshua Allen,QB,13,301.6,23.2,55.2,172.7,0.43,1.364
00-0036389,Jalen Hurts,QB,13,278.5,21.42,34.9,148.2,0.296,1.222
00-0036442,Joseph Burrow,QB,13,279.0,21.46,32.7,150.1,0.272,1.221
00-0032764,Derrick Henry,RB,13,252.2,19.4,27.0,127.5,0.22,1.044
00-0039910,Jayden Daniels,QB,13,257.8,19.83,13.0,125.9,0.096,1.025
00-0034855,Baker Mayfield,QB,13,251.3,19.33,8.2,123.5,0.074,1.022
00-0038542,Bijan Robinson,RB,13,246.8,18.98,21.2,122.5,0.188,1.018
00-0033906,Alvin Kamara,RB,13,247.3,19.02,21.7,123.0,0.184,1.005
00-0039338,Brock Bowers,TE,13,249.2,19.17,36.3,125.0,0.292,1.003
00-0033897,Joe Mixon,RB,10,212.1,21.21,38.5,118.2,0.308,0.961
00-0039139,Jahmyr Gibbs,RB,13,236.8,18.22,10.0,114.3,0.09,0.951
00-0033288,George Kittle,TE,11,212.0,19.27,38.2,108.3,0.327,0.905
00-0034869,Sam Darnold,QB,13,238.4,18.34,-6.7,110.8,-0.07,0.893
00-0036322,Justin Jefferson,WR,13,234.2,18.01,11.6,108.6,0.088,0.885
00-0039040,De'Von Achane,RB,13,230.4,17.72,5.4,106.4,0.041,0.866
00-0035700,Joshua Jacobs,RB,13,227.3,17.48,-0.5,102.6,-0.01,0.833
00-0036963,Amon-Ra St. Brown,WR,13,226.2,17.4,4.4,101.4,0.035,0.83
00-0037744,Trey McBride,TE,12,211.3,17.61,19.6,98.9,0.159,0.812
00-0037840,Kyren Williams,RB,13,220.8,16.98,-4.2,96.8,-0.046,0.788
00-0035228,Kyler Murray,QB,13,219.9,16.91,-23.1,92.1,-0.172,0.78
00-0039732,Bo Nix,QB,13,227.3,17.48,-17.5,95.4,-0.161,0.774
00-0035685,David Montgomery,RB,13,213.2,16.4,-13.6,90.7,-0.121,0.746
00-0036358,Cedarian Lamb,WR,13,219.3,16.87,-5.8,92.9,-0.065,0.746
00-0037834,Brock Purdy,QB,12,207.5,17.29,-19.8,88.3,-0.157,0.734
00-0033873,Patrick Mahomes,QB,13,215.6,16.58,-29.5,88.0,-0.241,0.733
00-0033106,Jared Goff,QB,13,218.0,16.77,-25.6,87.7,-0.233,0.701
00-0033908,Cooper Kupp,WR,9,164.7,18.3,9.8,78.7,0.086,0.651
