season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2024,1,00-0033948,Jamaal Williams,RB,12.1,-4.93,2.5,-0.0437,0.0222,31.8,1
2024,1,00-0036389,Jalen Hurts,QB,15.42,-1.56,5.76,-0.0139,0.051,31.8,1
2024,1,00-0033897,Joe Mixon,RB,26.8,9.77,17.2,0.086,0.149,31.8,1
2024,1,00-0036875,Rhamondre Stevenson,RB,20.6,3.57,11.0,0.0316,0.0966,31.8,1
2024,1,00-0033106,Jared Goff,QB,11.38,-5.6,1.72,-0.0496,0.0153,31.8,1
2024,1,00-0039338,Brock Bowers,TE,14.8,1.62,6.1,0.0144,0.054,31.8,1
2024,1,00-0039424,Devaughn Vele,WR,11.9,-4.5,2.4,-0.0398,0.0213,31.8,1
2024,1,00-0035676,Arthur Brown,WR,22.9,6.5,13.4,0.0575,0.1172,31.8,1
2024,1,00-0037545,Rashid Shaheed,WR,16.3,-0.1,6.8,-0.0009,0.0601,31.8,1
2024,1,00-0033537,Derrick Watson,QB,9.66,-7.32,0.0,-0.0647,0.0,31.8,0
2024,1,00-0038977,Nathaniel Dell,WR,8.9,-7.5,-0.6,-0.0662,-0.0053,31.8,0
2024,1,00-0039342,Anthony Legette,WR,7.5,-8.9,-2.0,-0.0784,-0.0177,31.8,0
2024,1,00-0038797,Emanuel Wilson,RB,6.8,-10.23,-2.8,-0.09,-0.0248,31.8,0
2024,1,00-0036425,DeeJay Dallas,RB,6.0,-11.03,-3.6,-0.0969,-0.0319,31.8,0
2024,1,00-0033090,Hunter Henry,TE,4.8,-8.38,-3.9,-0.0739,-0.0346,31.8,0
2024,1,00-0038563,Tre Tucker,WR,4.2,-12.2,-5.3,-0.1069,-0.0469,31.8,0
2024,1,00-0035689,Dawson Knox,TE,3.8,-9.38,-4.9,-0.0826,-0.0434,31.8,0
2024,1,00-0038621,DeMario Douglas,WR,3.2,-13.2,-6.3,-0.1155,-0.0557,31.8,0
2024,1,00-0034115,Jeffery Wilson,RB,2.6,-14.43,-7.0,-0.1259,-0.0619,31.8,0
2024,1,00-0034270,Tyler Conklin,TE,2.1,-11.08,-6.6,-0.0973,-0.0584,31.8,0
2024,1,00-0038115,Daniel Bellinger,TE,1.8,-11.38,-6.9,-0.0999,-0.061,31.8,0
2024,1,00-0031941,Jamison Crowder,WR,1.5,-14.9,-8.0,-0.1298,-0.0706,31.8,0
2024,1,00-0036268,Laviska Shenault,WR,1.1,-15.3,-8.4,-0.1332,-0.0741,31.8,0
2024,1,00-0039325,Carson Steele,RB,0.3,-16.73,-9.3,-0.1451,-0.0819,31.8,0
2024,1,00-0038507,Grant DuBose,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0036646,Simione Fehoko,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0039364,Sione Vaki,RB,0.0,-17.03,-9.6,-0.1476,-0.0845,31.8,0
2024,1,00-0036463,Chris Blair,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0036232,Harrison Bryant,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0032104,Ameer Abdullah,RB,0.0,-17.03,-9.6,-0.1476,-0.0845,31.8,0
2024,1,00-0037156,Irvin Charles,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0034798,Durham Smythe,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0035140,Carey Hardman,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0038976,Marvin Mims,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0036973,Travis Etienne,RB,11.9,-5.13,2.3,-0.0454,0.0204,31.8,1
2024,1,00-0034796,Lamar Jackson,QB,25.12,8.14,15.46,0.0718,0.1345,31.8,1
2024,1,00-0033045,Ezekiel Elliott,RB,12.9,-4.13,3.3,-0.0366,0.0293,31.8,1
2024,1,00-0036251,Zaccheus Moss,RB,14.1,-2.93,4.5,-0.026,0.0399,31.8,1
2024,1,00-0036971,William Lawrence,QB,11.28,-5.7,1.62,-0.0505,0.0144,31.8,1
2024,1,00-0033288,George Kittle,TE,10.0,-3.18,1.3,-0.0282,0.0115,31.8,1
2024,1,00-0039894,Xavier Worthy,WR,20.8,4.4,11.3,0.039,0.0992,31.8,1
2024,1,00-0038117,Wan'Dale Robinson,WR,11.8,-4.6,2.3,-0.0407,0.0204,31.8,1
2024,1,00-0035021,Ashton Dulin,WR,12.4,-4.0,2.9,-0.0354,0.0257,31.8,1
2024,1,00-0039150,Bryce Young,QB,9.64,-7.34,-0.02,-0.0649,-0.0002,31.8,0
2024,1,00-0036894,Patrick Freiermuth,TE,8.7,-4.48,0.0,-0.0396,0.0,31.8,0
2024,1,00-0038555,Cantavious Bigsby,RB,7.3,-9.73,-2.3,-0.0857,-0.0204,31.8,0
2024,1,00-0038996,Tucker Kraft,TE,6.7,-6.48,-2.0,-0.0573,-0.0177,31.8,0
2024,1,00-0035640,DeKaylin Metcalf,WR,5.9,-10.5,-3.6,-0.0923,-0.0319,31.8,0
2024,1,00-0036261,Brandon Aiyuk,WR,4.8,-11.6,-4.7,-0.1018,-0.0416,31.8,0
2024,1,00-0039041,Elijah Higgins,TE,4.2,-8.98,-4.5,-0.0791,-0.0399,31.8,0
2024,1,00-0034184,Augustus Edwards,RB,3.8,-13.23,-5.8,-0.1157,-0.0513,31.8,0
2024,1,00-0037239,Chris Olave,WR,3.1,-13.3,-6.4,-0.1163,-0.0566,31.8,0
2024,1,00-0038396,Eric Gray,RB,2.5,-14.53,-7.1,-0.1267,-0.0627,31.8,0
2024,1,00-0033526,Samaje Perine,RB,2.0,-15.03,-7.6,-0.1309,-0.0671,31.8,0
2024,1,00-0036754,Brock Wright,TE,1.7,-11.48,-7.0,-0.1007,-0.0619,31.8,0
2024,1,00-0033895,Gerald Everett,TE,1.4,-11.78,-7.3,-0.1033,-0.0645,31.8,0
2024,1,00-0036415,Vanchii Jefferson,WR,1.1,-15.3,-8.4,-0.1332,-0.0741,31.8,0
2024,1,00-0038477,Bryce Ford-Wheaton,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0039810,Jermaine Burton,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0038752,Jake Bobo,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0032128,Christian Conley,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0033217,Mohamed Alie-Cox,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0032688,Robert Chosen,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0037317,Nicholas Muse,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0033251,Zachary Pascal,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0037093,Dareke Young,WR,0.0,-16.4,-9.5,-0.1423,-0.0837,31.8,0
2024,1,00-0031690,Eric Tomlinson,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0037112,Jake Tonges,TE,0.0,-13.18,-8.7,-0.1153,-0.0767,31.8,0
2024,1,00-0039165,Zachariah Charbonnet,RB,12.1,-4.93,2.5,-0.0437,0.0222,31.8,1
2024,1,00-0030565,Eugene Smith,QB,17.84,0.86,8.18,0.0076,0.0722,31.8,1
2024,1,00-0035685,David Montgomery,RB,16.3,-0.73,6.7,-0.0065,0.0592,31.8,1
2024,1,00-0033293,Aaron Jones,RB,18.9,1.87,9.3,0.0166,0.0819,31.8,1
2024,1,00-0026498,John Stafford,QB,14.68,-2.3,5.02,-0.0204,0.0445,31.8,1
2024,1,00-0036244,Colby Parkinson,TE,10.7,-2.48,2.0,-0.022,0.0177,31.8,1
2024,1,00-0036554,Nico Collins,WR,17.7,1.3,8.2,0.0116,0.0724,31.8,1
2024,1,00-0037240,Jameson Williams,WR,24.4,8.0,14.9,0.0706,0.1298,31.8,1
2024,1,00-0036900,Ja'Marr Chase,WR,12.2,-4.2,2.7,-0.0372,0.0239,31.8,1
2024,1,00-0039361,Mar'Keise Irving,RB,9.6,-7.43,0.0,-0.0656,0.0,31.8,0
2024,1,00-0023459,Aaron Rodgers,QB,8.58,-8.4,-1.08,-0.0741,-0.0096,31.8,0
2024,1,00-0036550,Rashod Bateman,WR,7.3,-9.1,-2.2,-0.0802,-0.0195,31.8,0
2024,1,00-0039152,Will Levis,QB,6.68,-10.3,-2.98,-0.0906,-0.0264,31.8,0
2024,1,00-0038794,Jaleel McLaughlin,RB,5.8,-11.23,-3.8,-0.0986,-0.0337,31.8,0
2024,1,00-0033009,Tyler Boyd,WR,4.8,-11.6,-4.7,-0.1018,-0.0416,31.8,0
2024,1,00-0037252,Gregory Dulcich,TE,4.2,-8.98,-4.5,-0.0791,-0.0399,31.8,0
2024,1,00-0039875,Re'Mahn Davis,RB,3.7,-13.33,-5.9,-0.1166,-0.0522,31.8,0
2024,1,00-0034272,Marquez Valdes-Scantling,WR,2.9,-13.5,-6.6,-0.118,-0.0584,31.8,0
2024,1,00-0035208,Olamide Zaccheaus,WR,2.5,-13.9,-7.0,-0.1214,-0.0619,31.8,0
2024,1,00-0038558,Darnell Washington,TE,2.0,-11.18,-6.7,-0.0982,-0.0592,31.8,0
2024,1,00-0039384,Tyrone Tracy,RB,1.7,-15.33,-7.9,-0.1335,-0.0697,31.8,0
2024,1,00-0039849,Marvin Harrison,WR,1.4,-15.0,-8.1,-0.1307,-0.0715,31.8,0
