player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0005741,Rich Gannon,QB,LV,2002,16,13,38.62,3.12,0.0,0.0,nan,nan,618,0.6764,7.59,0.0421,0.0162,0.055,0.2044,0.0,36.921,0.3657,0.0777,50,3.12,0.06,0.043,0.2,0.08,0,0,,,,,,,,,,,0,17,0,,,,303.2,,,,,,,,,,,
00-0003739,Daunte Culpepper,QB,MIN,2002,16,13,34.31,6.62,0.0,0.0,nan,nan,549,0.6066,7.02,0.0328,0.0419,0.0789,0.048,0.0,6.225,0.3424,0.0874,106,5.75,0.0943,0.2839,0.434,0.2075,0,0,,,,,,,,,,,3,17,0,,,,285.0,,,,,,,,,,,
00-0020245,Mike Vick,QB,ATL,2002,15,12,28.07,7.53,0.0,0.0,nan,nan,421,0.5487,6.97,0.038,0.019,0.0727,0.074,0.0,21.431,0.3302,0.1045,113,6.88,0.0708,0.208,0.3982,0.2566,0,0,,,,,,,,,,,4,17,0,,,,280.7,,,,,,,,,,,
00-0010346,Peyton Manning,QB,IND,2002,16,13,36.94,2.38,0.0,0.0,nan,nan,591,0.6633,7.11,0.0457,0.0321,0.0375,0.1189,0.0,16.216,0.3604,0.0863,38,3.89,0.0526,0.1429,0.2895,0.1316,0,0,,,,,,,,,,,0,17,0,,,,264.8,,,,,,,,,,,
00-0001823,Aaron Brooks,QB,NO,2002,16,13,33.0,3.88,0.0,0.0,nan,nan,528,0.536,6.77,0.0511,0.0284,0.0638,0.0166,0.0,21.262,0.3125,0.089,62,4.08,0.0323,-0.0004,0.3387,0.1452,0,0,,,,,,,,,,,0,17,0,,,,256.2,,,,,,,,,,,
00-0006355,Trent Green,QB,KC,2002,16,13,29.38,1.94,0.0,0.0,nan,nan,470,0.6106,7.85,0.0553,0.0277,0.0524,0.1849,0.0,11.25,0.3745,0.0979,31,7.26,0.0323,0.469,0.3548,0.1935,0,0,,,,,,,,,,,0,17,0,,,,256.1,,,,,,,,,,,
00-0011024,Steve McNair,QB,TEN,2002,16,13,30.75,5.12,0.0,0.0,nan,nan,492,0.6118,6.88,0.0447,0.0305,0.0409,0.1375,0.0,13.027,0.3618,0.0711,82,5.37,0.0366,0.1264,0.3537,0.2439,0,0,,,,,,,,,,,1,17,0,,,,253.5,,,,,,,,,,,
00-0001361,Drew Bledsoe,QB,BUF,2002,16,13,38.12,1.69,0.0,0.0,nan,nan,610,0.6148,7.15,0.0393,0.0246,0.0813,0.0856,0.0,29.453,0.3574,0.0738,27,2.48,0.0741,0.1868,0.3704,0.0741,0,0,,,,,,,,,,,0,17,0,,,,251.1,,,,,,,,,,,
00-0005755,Jeff Garcia,QB,SF,2002,16,13,33.0,4.56,0.0,0.0,nan,nan,528,0.6212,6.33,0.0398,0.0189,0.0312,0.1479,0.0,13.323,0.3239,0.0587,73,4.84,0.0411,0.1554,0.411,0.1781,0,0,,,,,,,,,,,2,17,0,,,,251.1,,,,,,,,,,,
00-0019596,Tom Brady,QB,NE,2002,16,13,37.56,2.62,0.0,0.0,nan,nan,601,0.6206,6.26,0.0466,0.0233,0.0491,0.021,0.0,15.177,0.3062,0.0616,42,2.62,0.0238,-0.238,0.4762,0.0952,0,0,,,,,,,,,,,2,17,0,,,,245.6,,,,,,,,,,,
00-0011022,Donovan McNabb,QB,PHI,2002,10,10,36.1,6.3,0.1,0.0021,nan,nan,361,0.5845,6.34,0.0471,0.0166,0.072,0.0125,0.0,27.915,0.2992,0.0748,63,7.3,0.0952,0.4108,0.5397,0.2698,1,0,0.0,0.0,,0.0,,,-2.9969,0.0,0.0,0.0,1,17,0,,,,223.6,,,,,,,,,,,
00-0005106,Brett Favre,QB,GB,2002,16,13,34.44,1.56,0.0,0.0,nan,nan,551,0.6189,6.64,0.049,0.029,0.0451,0.0731,0.0,16.552,0.343,0.0708,25,2.92,0.0,-0.1716,0.24,0.12,0,0,,,,,,,,,,,1,17,0,,,,221.6,,,,,,,,,,,
00-0019559,Chad Pennington,QB,NYJ,2002,15,12,26.6,1.93,0.0,0.0,nan,nan,399,0.6892,7.82,0.0551,0.015,0.0523,0.2809,0.0,20.8,0.4185,0.1003,29,1.69,0.069,-0.0579,0.2414,0.0345,0,0,,,,,,,,,,,0,17,0,,,,217.7,,,,,,,,,,,
00-0003292,Kerry Collins,QB,NYG,2002,16,13,34.06,2.75,0.0,0.0,nan,nan,545,0.6147,7.47,0.0349,0.0257,0.0422,0.1976,0.0,22.379,0.3541,0.1119,44,-0.07,0.0,-0.7188,0.0,0.0,0,0,,,,,,,,,,,1,17,0,,,,210.6,,,,,,,,,,,
00-0008442,Brad Johnson,QB,TB,2002,13,12,34.69,1.0,0.0,0.0,nan,nan,451,0.6231,6.76,0.0488,0.0133,0.0445,0.1103,0.0,50.817,0.3149,0.071,13,2.31,0.0,-0.1176,0.3077,0.0,0,0,,,,,,,,,,,0,17,0,,,,201.0,,,,,,,,,,,
00-0020531,Drew Brees,QB,LAC,2002,16,13,32.88,2.38,0.0,0.0,nan,nan,526,0.6084,6.24,0.0323,0.0304,0.0436,0.0096,0.0,12.778,0.3099,0.076,38,3.42,0.0263,0.1571,0.2632,0.2105,0,0,,,,,,,,,,,0,17,0,,,,188.4,,,,,,,,,,,
00-0002110,Mark Brunell,QB,JAX,2002,15,13,27.67,2.87,0.0,0.0,nan,nan,415,0.5904,6.72,0.041,0.0169,0.0757,-0.1916,0.0,26.056,0.3373,0.0675,43,4.81,0.0,-0.0141,0.2558,0.1395,0,0,,,,,,,,,,,1,17,0,,,,186.2,,,,,,,,,,,
00-0007091,Matt Hasselbeck,QB,SEA,2002,13,10,32.23,3.08,0.0,0.0,nan,nan,419,0.6372,7.34,0.0358,0.0239,0.0584,0.1324,0.0,21.354,0.3747,0.0859,40,5.05,0.025,0.1383,0.4,0.15,0,0,,,,,,,,,,,0,17,0,,,,183.2,,,,,,,,,,,
00-0013042,Jake Plummer,QB,ARI,2002,16,13,33.12,2.88,0.06,0.002,nan,nan,530,0.5358,5.61,0.034,0.0377,0.0636,-0.0988,0.0,8.898,0.2736,0.0547,46,6.15,0.0435,0.0826,0.4565,0.2609,1,1,1.0,2.0,2.0,0.0,,0.0,-0.3823,0.0,0.0,0.0,4,17,0,,,,182.4,,,,,,,,,,,
00-0009311,Jon Kitna,QB,CIN,2002,13,10,36.38,1.85,0.0,0.0,nan,nan,473,0.6216,6.72,0.0338,0.0338,0.0483,-0.0354,0.0,13.132,0.3298,0.0613,24,2.38,0.1667,0.0773,0.375,0.0417,0,0,,,,,,,,,,,1,17,0,,,,176.8,,,,,,,,,,,
00-0006423,Brian Griese,QB,DEN,2002,13,11,33.54,2.85,0.0,0.0,nan,nan,436,0.6674,7.37,0.0344,0.0344,0.0723,0.074,0.0,16.827,0.3578,0.0688,37,2.89,0.027,-0.1681,0.2973,0.1081,0,0,,,,,,,,,,,0,17,0,,,,175.3,,,,,,,,,,,
