player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0019596,Tom Brady,QB,NE,2007,16,13,36.12,2.31,0.0,nan,0.0,nan,578,0.6886,8.31,0.0865,0.0138,0.0351,0.4174,7.86,1.013,0.4152,0.0969,37,2.65,0.0541,0.2389,0.3784,0.1081,0,0,,,,,,,,,,,1,17,0,,,,390.0,354.0,395.6,41.6,22.12,0.2569,330.2,23.8,0.0,46.53,52.0,5.47
00-0021678,Tony Romo,QB,DAL,2007,16,13,32.5,1.75,0.0,nan,0.0,nan,520,0.6442,8.1,0.0692,0.0365,0.0459,0.2551,4.925,0.978,0.4135,0.1058,28,4.71,0.0714,0.1645,0.2857,0.1786,0,0,,,,,,,,,,,1,17,0,,,,295.6,271.2,297.2,26.1,16.95,0.2324,257.3,13.8,0.0,29.07,38.0,8.93
00-0010346,Peyton Manning,QB,IND,2007,16,13,32.19,1.25,0.0,nan,0.0,nan,515,0.6544,7.84,0.0602,0.0272,0.0392,0.2882,3.424,0.905,0.3981,0.1029,20,-0.25,0.15,-0.0032,0.2,0.0,0,0,,,,,,,,,,,0,17,0,,,,275.1,289.7,275.1,-14.6,18.11,0.2263,274.7,15.1,0.0,35.44,34.0,-1.44
00-0022924,Ben Roethlisberger,QB,PIT,2007,15,13,27.0,2.33,0.0,nan,0.0,nan,405,0.6543,7.8,0.079,0.0272,0.104,0.1732,6.684,0.808,0.4148,0.0963,35,5.83,0.0571,0.5721,0.4857,0.2,0,0,,,,,,,,,,,0,17,0,,,,260.7,227.6,266.7,39.1,15.17,0.2242,201.1,26.5,0.0,26.31,34.0,7.69
00-0020531,Drew Brees,QB,NO,2007,16,13,40.94,1.5,0.0,nan,0.0,nan,655,0.6763,6.76,0.0427,0.0275,0.0224,0.0777,4.702,0.993,0.3557,0.0718,24,2.17,0.0417,-0.0507,0.3333,0.0,0,2,,,5.0,,,9.5,,,,,0,17,0,,,,259.3,315.9,267.1,-48.7,19.74,0.2304,301.5,11.7,2.7,34.2,29.0,-5.2
00-0023645,Derek Anderson,QB,CLE,2007,16,13,32.94,1.88,0.0,nan,0.0,nan,527,0.5655,7.18,0.055,0.0361,0.0277,0.0803,-1.21,0.901,0.3548,0.1006,30,2.57,0.1,-0.1791,0.4,0.1333,0,0,,,,,,,,,,,1,17,0,,,,253.1,268.7,254.5,-14.1,16.79,0.2285,247.9,20.8,0.0,32.09,32.0,-0.09
00-0007091,Matt Hasselbeck,QB,SEA,2007,16,13,35.12,2.44,0.0,nan,0.0,nan,562,0.6263,7.06,0.0498,0.0214,0.0555,0.1106,2.737,0.853,0.363,0.0854,39,2.49,0.0,-0.413,0.2051,0.0769,0,0,,,,,,,,,,,3,17,0,,,,246.3,272.3,250.3,-22.0,17.02,0.2251,259.3,13.1,0.0,30.12,28.0,-2.12
00-0005106,Brett Favre,QB,GB,2007,16,13,33.44,1.81,0.0,nan,0.0,nan,535,0.6654,7.77,0.0523,0.028,0.0273,0.2092,4.459,1.023,0.3682,0.0916,29,0.41,0.0,-0.6826,0.1034,0.0345,0,0,,,,,,,,,,,2,17,0,,,,243.5,228.4,245.4,17.0,14.27,0.1968,225.1,3.2,0.0,24.37,28.0,3.63
00-0021429,Carson Palmer,QB,CIN,2007,16,13,35.94,1.5,0.0,nan,0.0,nan,575,0.6487,7.18,0.0452,0.0348,0.0287,0.1001,5.384,0.819,0.3704,0.0887,24,0.42,0.0,-0.2778,0.125,0.0417,0,0,,,,,,,,,,,0,17,0,,,,228.2,263.6,230.2,-33.4,16.48,0.2198,259.4,4.2,0.0,28.31,26.0,-2.31
00-0024226,Jay Cutler,QB,DEN,2007,16,13,29.19,2.75,0.0,nan,0.0,nan,467,0.636,7.49,0.0428,0.03,0.0547,0.112,1.999,0.909,0.3747,0.0878,44,4.66,0.0227,-0.0499,0.3409,0.1591,0,0,,,,,,,,,,,2,17,0,,,,210.4,215.4,214.0,-1.4,13.46,0.2005,192.0,23.4,0.0,21.53,21.0,-0.53
