player_id,name,pos,team,season,week,att,cmp,pass_epa,sacks,cpoe,car,tgt,rec,rec_ay,tgt_share,ay_share,team_car,team_rb_touch,fp_ppr,fp_exp,fp_act
00-0000003,Abdul-Karim al-Jabbar,RB,MIA,1999,1,0,0,0.0,0,,16,1,1,0.0,0.0455,,33,31,13.7,,
00-0000003,Abdul-Karim al-Jabbar,RB,MIA,1999,2,0,0,0.0,0,,9,4,3,0.0,0.1176,0.0,31,31,8.1,,
00-0000003,Abdul-Karim al-Jabbar,RB,MIA,1999,4,0,0,0.0,0,,3,1,0,0.0,0.0238,0.0,24,28,0.2,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,7,0,0,0.0,0,,6,2,2,0.0,0.05,0.0,15,20,5.5,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,8,0,0,0.0,0,,13,0,0,0.0,0.0,,21,20,3.9,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,9,0,0,0.0,0,,9,2,1,0.0,0.0625,0.0,20,21,3.5,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,10,0,0,0.0,0,,18,1,1,0.0,0.0357,0.0,21,22,7.3,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,11,0,0,0.0,0,,7,3,2,0.0,0.0682,0.0,19,24,3.3,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,12,0,0,0.0,0,,15,1,1,0.0,0.0286,,24,24,4.6,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,13,0,0,0.0,0,,10,1,1,0.0,0.0345,0.0,16,20,6.0,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,14,0,0,0.0,0,,5,2,2,0.0,0.0526,0.0,11,12,9.7,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,15,0,0,0.0,0,,13,1,1,0.0,0.025,,20,20,5.0,,
00-0000003,Abdul-Karim al-Jabbar,RB,CLE,1999,16,0,0,0.0,0,,19,3,2,0.0,0.1154,,26,27,11.1,,
00-0000007,Rabih Abdullah,RB,TB,1999,1,0,0,0.0,0,,1,0,0,0.0,0.0,0.0,27,19,0.0,,
00-0000007,Rabih Abdullah,RB,TB,1999,8,0,0,0.0,0,,0,2,1,0.0,0.0465,,22,21,1.8,,
00-0000007,Rabih Abdullah,RB,TB,1999,13,0,0,0.0,0,,0,1,1,0.0,0.0526,0.0,27,1,1.3,,
00-0000007,Rabih Abdullah,RB,TB,1999,15,0,0,0.0,0,,4,0,0,0.0,0.0,0.0,19,17,1.2,,
00-0000104,Troy Aikman,QB,DAL,1999,1,49,28,12.899,1,,2,0,0,0.0,0.0,0.0,34,37,28.9,,
00-0000104,Troy Aikman,QB,DAL,1999,2,22,10,-9.173,2,,1,0,0,0.0,0.0,0.0,37,37,0.6,,
00-0000104,Troy Aikman,QB,DAL,1999,4,21,15,12.639,0,,2,0,0,0.0,0.0,,39,36,15.8,,
00-0000104,Troy Aikman,QB,DAL,1999,5,39,21,-6.641,1,,1,0,0,0.0,0.0,0.0,32,37,7.0,,
00-0000104,Troy Aikman,QB,DAL,1999,6,33,20,9.325,3,,1,0,0,0.0,0.0,0.0,25,26,8.6,,
00-0000104,Troy Aikman,QB,DAL,1999,7,32,20,18.277,0,,1,0,0,0.0,0.0,,34,36,23.9,,
00-0000104,Troy Aikman,QB,DAL,1999,8,24,19,-7.357,4,,1,0,0,0.0,0.0,,26,31,4.5,,
00-0000104,Troy Aikman,QB,DAL,1999,9,24,14,-0.418,2,,1,0,0,0.0,0.0,0.0,24,26,5.2,,
00-0000104,Troy Aikman,QB,DAL,1999,12,29,16,4.606,1,,2,0,0,0.0,0.0,,34,32,13.2,,
00-0000104,Troy Aikman,QB,DAL,1999,13,29,20,-5.223,3,,2,0,0,0.0,0.0,,23,24,6.3,,
00-0000104,Troy Aikman,QB,DAL,1999,14,40,22,0.874,1,,4,0,0,0.0,0.0,,31,30,14.3,,
00-0000104,Troy Aikman,QB,DAL,1999,15,28,12,-6.156,1,,0,0,0,0.0,0.0,0.0,31,29,6.3,,
00-0000104,Troy Aikman,QB,DAL,1999,16,39,23,-3.553,0,,0,0,0,0.0,0.0,0.0,26,26,13.8,,
00-0000104,Troy Aikman,QB,DAL,1999,17,32,23,16.144,0,,3,0,0,0.0,0.0,,29,30,19.3,,
00-0000145,Derrick Alexander,WR,KC,1999,1,0,0,0.0,0,,0,10,6,0.0,0.2439,0.0,17,18,27.4,,
00-0000145,Derrick Alexander,WR,KC,1999,2,0,0,0.0,0,,0,7,6,0.0,0.4118,-0.0,41,39,17.7,,
00-0000145,Derrick Alexander,WR,KC,1999,3,0,0,0.0,0,,0,6,3,0.0,0.2069,,35,21,9.9,,
00-0000145,Derrick Alexander,WR,KC,1999,4,0,0,0.0,0,,1,8,1,68,0.2162,0.8395,38,23,2.4,,
00-0000145,Derrick Alexander,WR,KC,1999,5,0,0,0.0,0,,0,5,2,0.0,0.2,0.0,42,20,4.5,,
00-0000145,Derrick Alexander,WR,KC,1999,7,0,0,0.0,0,,0,3,0,0.0,0.1875,,35,21,0.0,,
00-0000145,Derrick Alexander,WR,KC,1999,8,0,0,0.0,0,,0,2,2,0.0,0.1333,,39,20,19.3,,
00-0000145,Derrick Alexander,WR,KC,1999,9,0,0,0.0,0,,0,6,3,0.0,0.1875,,29,15,7.2,,
00-0000145,Derrick Alexander,WR,KC,1999,10,0,0,0.0,0,,0,9,7,0.0,0.2432,0.0,22,13,11.1,,
00-0000145,Derrick Alexander,WR,KC,1999,11,0,0,0.0,0,,0,13,8,4,0.3171,0.0889,25,12,18.1,,
00-0000145,Derrick Alexander,WR,KC,1999,12,0,0,0.0,0,,0,7,3,0.0,0.2593,0.0,28,15,5.6,,
00-0000145,Derrick Alexander,WR,KC,1999,13,0,0,0.0,0,,0,5,3,0.0,0.1724,0.0,38,12,5.9,,
00-0000145,Derrick Alexander,WR,KC,1999,14,0,0,0.0,0,,0,5,3,0.0,0.1724,,40,14,5.1,,
00-0000145,Derrick Alexander,WR,KC,1999,15,0,0,0.0,0,,1,3,2,0.0,0.1429,,32,20,18.2,,
00-0000145,Derrick Alexander,WR,KC,1999,16,0,0,0.0,0,,0,8,4,12,0.1905,0.2609,22,8,8.2,,
00-0000145,Derrick Alexander,WR,KC,1999,17,0,0,0.0,0,,0,8,1,0.0,0.2162,,38,11,2.8,,
00-0000166,Stephen Alexander,TE,WAS,1999,1,0,0,0.0,0,,0,1,1,0.0,0.0303,,30,29,1.5,,
00-0000166,Stephen Alexander,TE,WAS,1999,2,0,0,0.0,0,,0,7,5,0.0,0.25,,41,35,25.6,,
00-0000166,Stephen Alexander,TE,WAS,1999,3,0,0,0.0,0,,0,5,4,0.0,0.1786,,29,29,10.2,,
00-0000166,Stephen Alexander,TE,WAS,1999,4,0,0,0.0,0,,0,2,1,0.0,0.0625,,31,26,1.5,,
00-0000166,Stephen Alexander,TE,WAS,1999,6,0,0,0.0,0,,0,3,2,0.0,0.0769,0.0,34,31,9.8,,
00-0000166,Stephen Alexander,TE,WAS,1999,7,0,0,0.0,0,,0,4,3,0.0,0.1143,,16,22,5.4,,
00-0000166,Stephen Alexander,TE,WAS,1999,8,0,0,0.0,0,,0,2,1,0.0,0.0667,0.0,24,26,1.4,,
00-0000166,Stephen Alexander,TE,WAS,1999,9,0,0,0.0,0,,0,4,2,0.0,0.1111,0.0,13,17,2.9,,
00-0000166,Stephen Alexander,TE,WAS,1999,10,0,0,0.0,0,,0,3,3,0.0,0.0938,0.0,27,28,5.3,,
00-0000166,Stephen Alexander,TE,WAS,1999,11,0,0,0.0,0,,0,3,0,0.0,0.1071,0.0,40,42,0.0,,
00-0000166,Stephen Alexander,TE,WAS,1999,12,0,0,0.0,0,,0,1,1,0.0,0.0278,0.0,32,29,1.4,,
00-0000166,Stephen Alexander,TE,WAS,1999,14,0,0,0.0,0,,0,1,1,0.0,0.0385,0.0,46,44,2.4,,
00-0000166,Stephen Alexander,TE,WAS,1999,15,0,0,0.0,0,,0,2,1,0.0,0.0667,,32,36,3.5,,
00-0000166,Stephen Alexander,TE,WAS,1999,16,0,0,0.0,0,,0,5,2,0.0,0.1064,0.0,17,21,2.7,,
00-0000166,Stephen Alexander,TE,WAS,1999,17,0,0,0.0,0,,0,4,2,0.0,0.2,,30,28,5.8,,
00-0000172,Brian Alford,WR,NYG,1999,15,0,0,0.0,0,,0,1,0,0.0,0.027,0.0,19,22,0.0,,
00-0000172,Brian Alford,WR,NYG,1999,17,0,0,0.0,0,,0,4,1,0.0,0.0889,0.0,18,35,7.7,,
00-0000210,James Allen,RB,CHI,1999,4,0,0,0.0,0,,1,0,0,0.0,0.0,0.0,28,28,0.4,,
00-0000210,James Allen,RB,CHI,1999,5,0,0,0.0,0,,1,0,0,0.0,0.0,,33,33,0.1,,
00-0000210,James Allen,RB,CHI,1999,9,0,0,0.0,0,,4,0,0,0.0,0.0,0.0,29,27,1.7,,
00-0000210,James Allen,RB,CHI,1999,10,0,0,0.0,0,,1,1,1,-2,0.0208,-0.0068,22,27,1.4,,
00-0000210,James Allen,RB,CHI,1999,11,0,0,0.0,0,,5,0,0,0.0,0.0,,28,27,2.1,,
00-0000210,James Allen,RB,CHI,1999,12,0,0,0.0,0,,2,0,0,0.0,0.0,0.0,12,15,0.1,,
00-0000210,James Allen,RB,CHI,1999,16,0,0,0.0,0,,6,5,5,0.0,0.0926,,17,18,14.3,,
00-0000210,James Allen,RB,CHI,1999,17,0,0,0.0,0,,12,5,3,0.0,0.122,0.0,18,15,9.9,,
00-0000232,Terry Allen,RB,NE,1999,1,0,0,0.0,0,,15,1,1,0.0,0.0333,0.0,27,28,11.9,,
00-0000232,Terry Allen,RB,NE,1999,2,0,0,0.0,0,,15,3,2,0.0,0.0667,,27,32,16.2,,
00-0000232,Terry Allen,RB,NE,1999,3,0,0,0.0,0,,20,1,1,0.0,0.037,,29,30,12.0,,
00-0000232,Terry Allen,RB,NE,1999,4,0,0,0.0,0,,21,1,0,0.0,0.0244,,35,32,12.8,,
00-0000232,Terry Allen,RB,NE,1999,5,0,0,0.0,0,,11,3,3,0.0,0.0714,0.0,19,22,10.2,,
00-0000232,Terry Allen,RB,NE,1999,6,0,0,0.0,0,,10,2,2,0.0,0.0556,0.0,14,18,3.7,,
00-0000232,Terry Allen,RB,NE,1999,7,0,0,0.0,0,,17,1,0,0.0,0.0476,,28,30,22.6,,
00-0000232,Terry Allen,RB,NE,1999,8,0,0,0.0,0,,21,1,1,0.0,0.0476,0.0,43,45,13.6,,
00-0000232,Terry Allen,RB,NE,1999,10,0,0,0.0,0,,14,1,1,0.0,0.0286,0.0,20,21,5.1,,
00-0000232,Terry Allen,RB,NE,1999,11,0,0,0.0,0,,13,1,1,0.0,0.0323,0.0,19,22,12.0,,
00-0000232,Terry Allen,RB,NE,1999,12,0,0,0.0,0,,13,0,0,0.0,0.0,0.0,25,29,4.7,,
00-0000232,Terry Allen,RB,NE,1999,13,0,0,0.0,0,,18,0,0,0.0,0.0,0.0,36,32,11.3,,
00-0000232,Terry Allen,RB,NE,1999,14,0,0,0.0,0,,12,0,0,0.0,0.0,0.0,20,22,2.3,,
00-0000232,Terry Allen,RB,NE,1999,15,0,0,0.0,0,,14,2,2,0.0,0.0455,0.0,27,33,4.5,,
00-0000232,Terry Allen,RB,NE,1999,16,0,0,0.0,0,,27,1,0,0.0,0.05,,34,29,16.6,,
00-0000232,Terry Allen,RB,NE,1999,17,0,0,0.0,0,,13,1,0,0.0,0.0385,0.0,22,18,2.6,,
00-0000242,John Allred,TE,CHI,1999,1,0,0,0.0,0,,0,1,1,0.0,0.0217,,28,27,7.1,,
00-0000242,John Allred,TE,CHI,1999,2,0,0,0.0,0,,0,2,2,0.0,0.0455,,30,29,3.7,,
00-0000242,John Allred,TE,CHI,1999,3,0,0,0.0,0,,0,1,1,0.0,0.0286,0.0,16,19,1.3,,
00-0000242,John Allred,TE,CHI,1999,5,0,0,0.0,0,,0,2,2,0.0,0.0476,,33,33,3.6,,
00-0000242,John Allred,TE,CHI,1999,6,0,0,0.0,0,,0,1,1,3,0.0303,0.0088,29,27,1.3,,
00-0000242,John Allred,TE,CHI,1999,7,0,0,0.0,0,,0,2,1,0.0,0.0465,0.0,24,23,1.2,,
00-0000242,John Allred,TE,CHI,1999,8,0,0,0.0,0,,0,2,1,0.0,0.0351,0.0,26,29,1.8,,
00-0000242,John Allred,TE,CHI,1999,9,0,0,0.0,0,,0,2,1,0.0,0.0588,0.0,29,27,1.6,,
00-0000242,John Allred,TE,CHI,1999,10,0,0,0.0,0,,0,1,0,0.0,0.0208,0.0,22,27,0.0,,
00-0000242,John Allred,TE,CHI,1999,15,0,0,0.0,0,,0,1,1,2,0.0278,0.0071,32,23,2.2,,
00-0000242,John Allred,TE,CHI,1999,16,0,0,0.0,0,,0,2,2,0.0,0.037,,17,18,5.4,,
00-0000279,Kimble Anders,RB,KC,1999,1,0,0,0.0,0,,10,5,2,0.0,0.122,0.0,17,18,7.3,,
00-0000279,Kimble Anders,RB,KC,1999,2,0,0,0.0,0,,22,0,0,0.0,0.0,-0.0,41,39,14.2,,
00-0000316,Jamal Anderson,RB,ATL,1999,1,0,0,0.0,0,,16,2,2,0.0,0.0645,,23,21,10.4,,
