player_id,name,pos,team,season,week,att,cmp,pass_epa,sacks,cpoe,car,tgt,rec,rec_ay,tgt_share,ay_share,team_car,team_rb_touch,fp_ppr,fp_exp,fp_act
00-0000003,Abdul-Karim al-Jabbar,RB,IND,2000,1,0,0,0.0,0,,1,0,0,0.0,0.0,0.0,32,35,-0.2,,
00-0000007,Rabih Abdullah,RB,TB,2000,1,0,0,0.0,0,,0,1,1,0.0,0.0417,,38,18,1.3,,
00-0000007,Rabih Abdullah,RB,TB,2000,12,0,0,0.0,0,,2,0,0,0.0,0.0,0.0,33,21,1.8,,
00-0000007,Rabih Abdullah,RB,TB,2000,14,0,0,0.0,0,,10,1,1,0.0,0.0714,,36,35,5.9,,
00-0000007,Rabih Abdullah,RB,TB,2000,15,0,0,0.0,0,,4,0,0,0.0,0.0,0.0,38,38,1.4,,
00-0000104,Troy Aikman,QB,DAL,2000,1,5,0,-16.388,4,,0,0,0,0.0,0.0,0.0,13,12,-2.0,,
00-0000104,Troy Aikman,QB,DAL,2000,4,26,15,-5.81,1,,0,0,0,0.0,0.0,,14,16,7.9,,
00-0000104,Troy Aikman,QB,DAL,2000,5,23,15,-2.6,2,,2,0,0,0.0,0.0,0.0,38,37,3.4,,
00-0000104,Troy Aikman,QB,DAL,2000,7,42,22,-9.821,2,,2,0,0,0.0,0.0,0.0,27,32,3.1,,
00-0000104,Troy Aikman,QB,DAL,2000,8,15,9,9.494,1,,0,0,0,0.0,0.0,,40,35,14.2,,
00-0000104,Troy Aikman,QB,DAL,2000,9,5,4,4.906,0,,0,0,0,0.0,0.0,0.0,32,26,5.7,,
00-0000104,Troy Aikman,QB,DAL,2000,11,37,24,10.679,0,,1,0,0,0.0,0.0,,32,31,16.2,,
00-0000104,Troy Aikman,QB,DAL,2000,12,33,19,-11.095,1,,2,0,0,0.0,0.0,0.0,14,16,-0.5,,
00-0000104,Troy Aikman,QB,DAL,2000,13,43,30,-0.326,0,,2,0,0,0.0,0.0,0.0,24,27,13.3,,
00-0000104,Troy Aikman,QB,DAL,2000,14,30,16,-4.292,2,,0,0,0,0.0,0.0,0.0,28,30,2.3,,
00-0000104,Troy Aikman,QB,DAL,2000,15,3,2,-2.781,0,,1,0,0,0.0,0.0,,43,34,0.8,,
00-0000145,Derrick Alexander,WR,KC,2000,1,0,0,0.0,0,,0,10,5,6,0.2703,1.0,24,5,16.0,,
00-0000145,Derrick Alexander,WR,KC,2000,2,0,0,0.0,0,,0,6,5,0.0,0.2857,,33,16,16.4,,
00-0000145,Derrick Alexander,WR,KC,2000,4,0,0,0.0,0,,0,6,3,24,0.1875,1.0,27,11,12.5,,
00-0000145,Derrick Alexander,WR,KC,2000,5,0,0,0.0,0,,0,8,5,0.0,0.32,,26,15,26.3,,
00-0000145,Derrick Alexander,WR,KC,2000,7,0,0,0.0,0,,0,12,5,0.0,0.3,,19,14,12.8,,
00-0000145,Derrick Alexander,WR,KC,2000,8,0,0,0.0,0,,0,9,5,0.0,0.2647,,22,18,22.7,,
00-0000145,Derrick Alexander,WR,KC,2000,9,0,0,0.0,0,,0,7,4,0.0,0.2,0.0,26,26,29.7,,
00-0000145,Derrick Alexander,WR,KC,2000,10,0,0,0.0,0,,0,15,9,15,0.2941,0.9375,9,2,34.9,,
00-0000145,Derrick Alexander,WR,KC,2000,11,0,0,0.0,0,,0,6,2,22,0.15,1.0,15,6,6.8,,
00-0000145,Derrick Alexander,WR,KC,2000,12,0,0,0.0,0,,1,10,7,0.0,0.2128,0.0,19,6,22.4,,
00-0000145,Derrick Alexander,WR,KC,2000,13,0,0,0.0,0,,0,9,4,0.0,0.2903,,31,19,10.7,,
00-0000145,Derrick Alexander,WR,KC,2000,14,0,0,0.0,0,,0,13,5,0.0,0.2955,0.0,19,7,22.6,,
00-0000145,Derrick Alexander,WR,KC,2000,15,0,0,0.0,0,,1,10,6,38,0.2326,1.0,26,3,16.7,,
00-0000145,Derrick Alexander,WR,KC,2000,16,0,0,0.0,0,,1,8,5,0.0,0.2857,,41,14,14.0,,
00-0000145,Derrick Alexander,WR,KC,2000,17,0,0,0.0,0,,0,7,4,0.0,0.2258,,12,2,8.3,,
00-0000166,Stephen Alexander,TE,WAS,2000,1,0,0,0.0,0,,0,3,2,0.0,0.0857,,31,28,2.9,,
00-0000166,Stephen Alexander,TE,WAS,2000,2,0,0,0.0,0,,0,4,3,37,0.1143,0.5522,23,25,10.9,,
00-0000166,Stephen Alexander,TE,WAS,2000,3,0,0,0.0,0,,0,5,1,0.0,0.1111,0.0,29,39,2.5,,
00-0000166,Stephen Alexander,TE,WAS,2000,4,0,0,0.0,0,,0,2,2,0.0,0.1111,,39,35,4.8,,
00-0000166,Stephen Alexander,TE,WAS,2000,5,0,0,0.0,0,,0,3,3,0.0,0.0968,,32,31,5.8,,
00-0000166,Stephen Alexander,TE,WAS,2000,6,0,0,0.0,0,,0,5,3,0.0,0.1429,0.0,31,29,7.8,,
00-0000166,Stephen Alexander,TE,WAS,2000,7,0,0,0.0,0,,0,4,4,0.0,0.1481,0.0,29,26,7.5,,
00-0000166,Stephen Alexander,TE,WAS,2000,8,0,0,0.0,0,,0,4,3,0.0,0.1667,0.0,30,28,2.7,,
00-0000166,Stephen Alexander,TE,WAS,2000,9,0,0,0.0,0,,0,4,4,0.0,0.1026,0.0,24,22,7.8,,
00-0000166,Stephen Alexander,TE,WAS,2000,10,0,0,0.0,0,,0,7,5,0.0,0.1892,0.0,37,38,10.3,,
00-0000166,Stephen Alexander,TE,WAS,2000,12,0,0,0.0,0,,0,3,2,12,0.0909,1.0,32,29,4.1,,
00-0000166,Stephen Alexander,TE,WAS,2000,13,0,0,0.0,0,,0,10,4,0.0,0.2439,,19,22,13.9,,
00-0000166,Stephen Alexander,TE,WAS,2000,14,0,0,0.0,0,,0,4,2,0.0,0.0851,0.0,13,16,5.2,,
00-0000166,Stephen Alexander,TE,WAS,2000,15,0,0,0.0,0,,0,4,2,0.0,0.1212,0.0,22,18,2.8,,
00-0000166,Stephen Alexander,TE,WAS,2000,16,0,0,0.0,0,,0,6,4,0.0,0.1875,0.0,21,18,10.5,,
00-0000166,Stephen Alexander,TE,WAS,2000,17,0,0,0.0,0,,0,4,3,0.0,0.125,0.0,33,31,6.5,,
00-0000210,James Allen,RB,CHI,2000,1,0,0,0.0,0,,9,2,1,0.0,0.0513,,25,15,8.7,,
00-0000210,James Allen,RB,CHI,2000,2,0,0,0.0,0,,6,5,3,5,0.1786,1.0,22,20,9.1,,
00-0000210,James Allen,RB,CHI,2000,3,0,0,0.0,0,,10,3,1,0.0,0.0857,,17,19,4.9,,
00-0000210,James Allen,RB,CHI,2000,4,0,0,0.0,0,,19,2,1,0.0,0.0571,0.0,31,22,10.5,,
00-0000210,James Allen,RB,CHI,2000,5,0,0,0.0,0,,24,1,0,0.0,0.05,,36,26,7.2,,
00-0000210,James Allen,RB,CHI,2000,6,0,0,0.0,0,,10,2,0,0.0,0.0541,0.0,15,10,2.4,,
