player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0026174,Devin Thomas,WR,1,0.0,0.0,-18.3,-10.5,-0.187,-0.111,,
00-0027445,Jeron Mastrud,TE,1,0.0,0.0,-15.5,-10.0,-0.169,-0.111,,
00-0025549,Brent Celek,TE,12,97.2,8.1,-92.2,-10.5,-1.035,-0.112,,
00-0022725,Michael Clayton,WR,1,0.0,0.0,-17.4,-10.1,-0.188,-0.112,,
00-0027912,Danario Alexander,WR,5,36.3,7.26,-50.4,-9.6,-0.572,-0.113,,
00-0026298,Kellen Davis,TE,2,9.4,4.7,-24.2,-10.8,-0.248,-0.114,,
00-0027470,Brandon James,WR,2,10.0,5.0,-26.3,-11.0,-0.276,-0.119,,
00-0027129,Aaron Brown,RB,3,18.3,6.1,-36.8,-11.0,-0.397,-0.12,,
00-0027308,Jeremy Horne,WR,1,0.0,0.0,-17.3,-10.4,-0.196,-0.122,,
00-0025465,James Jones,WR,13,108.0,8.31,-112.8,-9.0,-1.296,-0.124,,
00-0026620,Devin Moore,RB,1,-2.2,-2.2,-20.3,-11.1,-0.219,-0.124,,
00-0026780,Kevin Ogletree,WR,2,6.4,3.2,-26.0,-10.5,-0.303,-0.125,,
00-0025432,Dwayne Jarrett,WR,2,6.0,3.0,-25.4,-10.5,-0.298,-0.126,,
00-0005106,Brett Favre,QB,12,91.6,7.64,-121.3,-12.7,-1.324,-0.128,,
00-0023612,Oliver Scaife,TE,13,106.8,8.22,-98.9,-11.2,-1.116,-0.131,,
00-0025417,Craig Davis,WR,7,52.9,7.56,-68.0,-11.0,-0.781,-0.135,,
00-0027725,Clayton Harbor,TE,2,7.8,3.9,-23.3,-12.6,-0.249,-0.136,,
00-0027003,Donald Brown,RB,10,78.2,7.82,-97.9,-12.2,-1.092,-0.137,,
00-0025418,Greg Olsen,TE,13,107.7,8.28,-97.3,-10.4,-1.117,-0.14,,
00-0027876,Timothy Tebow,QB,4,24.9,6.23,-45.7,-11.8,-0.517,-0.141,,
00-0027154,Jake O'Connell,TE,2,7.6,3.8,-23.1,-12.5,-0.257,-0.142,,
00-0025463,Jason Hill,WR,3,14.3,4.77,-35.4,-12.5,-0.401,-0.142,,
00-0025479,Trent Edwards,QB,3,15.2,5.08,-37.9,-12.4,-0.428,-0.143,,
00-0027795,David Gettis,WR,11,89.1,8.1,-99.9,-9.4,-1.14,-0.143,,
00-0022811,Jerricho Cotchery,WR,11,86.1,7.83,-98.2,-12.5,-1.128,-0.145,,
00-0025955,Albert Young,RB,2,6.0,3.0,-28.1,-12.3,-0.327,-0.147,,
00-0026373,Justin Forsett,RB,13,106.9,8.22,-118.6,-11.4,-1.353,-0.15,,
00-0027155,Rashad Jennings,RB,9,69.2,7.69,-90.4,-15.1,-0.979,-0.15,,
00-0021756,Will Heller,TE,3,13.6,4.53,-31.1,-13.1,-0.357,-0.151,,
00-0024296,Charlie Whitehurst,QB,2,3.4,1.72,-35.8,-14.7,-0.371,-0.154,,
00-0027088,Shawn Nelson,TE,2,5.0,2.5,-24.8,-14.2,-0.267,-0.155,,
00-0027056,Derrick Williams,WR,2,6.0,3.0,-30.0,-14.5,-0.319,-0.158,,
