player_id,name,pos,team,season,week,att,cmp,pass_epa,sacks,cpoe,car,tgt,rec,rec_ay,tgt_share,ay_share,team_car,team_rb_touch,fp_ppr,fp_exp,fp_act
00-0000007,Rabih Abdullah,RB,TB,2001,15,0,0,0.0,0,,3,0,0,0.0,0.0,,39,20,0.6,,
00-0000007,Rabih Abdullah,RB,TB,2001,17,0,0,0.0,0,,8,2,2,0.0,0.0645,0.0,25,30,8.0,,
00-0000145,Derrick Alexander,WR,KC,2001,1,0,0,0.0,0,,0,6,0,0.0,0.1667,0.0,17,9,0.0,,
00-0000145,Derrick Alexander,WR,KC,2001,3,0,0,0.0,0,,1,5,3,0.0,0.1667,,38,28,9.3,,
00-0000145,Derrick Alexander,WR,KC,2001,4,0,0,0.0,0,,0,8,4,6,0.2051,0.0706,17,24,7.3,,
00-0000145,Derrick Alexander,WR,KC,2001,5,0,0,0.0,0,,0,8,1,0.0,0.25,0.0,24,25,2.0,,
00-0000145,Derrick Alexander,WR,KC,2001,6,0,0,0.0,0,,0,9,4,0.0,0.2195,0.0,20,18,19.9,,
00-0000145,Derrick Alexander,WR,KC,2001,9,0,0,0.0,0,,0,3,1,0.0,0.1,0.0,26,21,3.5,,
00-0000145,Derrick Alexander,WR,KC,2001,11,0,0,0.0,0,,0,3,2,0.0,0.12,,44,34,7.6,,
00-0000145,Derrick Alexander,WR,KC,2001,12,0,0,0.0,0,,0,5,4,0.0,0.1429,0.0,20,26,13.9,,
00-0000145,Derrick Alexander,WR,KC,2001,13,0,0,0.0,0,,1,8,2,0.0,0.25,0.0,36,34,9.5,,
00-0000145,Derrick Alexander,WR,KC,2001,14,0,0,0.0,0,,0,5,4,25,0.25,1.0,33,30,17.2,,
00-0000145,Derrick Alexander,WR,KC,2001,15,0,0,0.0,0,,0,2,1,38,0.0741,0.5067,32,26,1.9,,
00-0000145,Derrick Alexander,WR,KC,2001,16,0,0,0.0,0,,0,2,0,0.0,0.0282,0.0,57,58,0.0,,
00-0000145,Derrick Alexander,WR,KC,2001,17,0,0,0.0,0,,0,4,1,0.0,0.125,0.0,28,29,1.5,,
00-0000166,Stephen Alexander,TE,WAS,2001,1,0,0,0.0,0,,0,6,2,0.0,0.1875,0.0,19,18,4.3,,
00-0000166,Stephen Alexander,TE,WAS,2001,2,0,0,0.0,0,,0,5,2,0.0,0.2083,0.0,15,16,3.7,,
00-0000166,Stephen Alexander,TE,WAS,2001,3,0,0,0.0,0,,0,3,0,0.0,0.1154,0.0,20,17,0.0,,
00-0000166,Stephen Alexander,TE,WAS,2001,4,0,0,0.0,0,,0,9,5,0.0,0.3,0.0,17,13,9.5,,
00-0000210,James Allen,RB,CHI,2001,1,0,0,0.0,0,,21,9,8,0.0,0.2308,0.0,28,32,15.5,,
00-0000210,James Allen,RB,CHI,2001,2,0,0,0.0,0,,15,4,2,0.0,0.1053,0.0,19,18,7.9,,
00-0000210,James Allen,RB,CHI,2001,4,0,0,0.0,0,,12,3,2,0.0,0.1111,0.0,24,25,5.6,,
00-0000210,James Allen,RB,CHI,2001,5,0,0,0.0,0,,18,2,2,0.0,0.0952,0.0,32,31,16.6,,
00-0000210,James Allen,RB,CHI,2001,6,0,0,0.0,0,,7,2,2,0.0,0.0667,,32,31,4.3,,
00-0000210,James Allen,RB,CHI,2001,7,0,0,0.0,0,,1,3,3,0.0,0.0652,0.0,30,33,6.8,,
00-0000210,James Allen,RB,CHI,2001,8,0,0,0.0,0,,1,5,5,0.0,0.1,0.0,32,43,17.8,,
00-0000210,James Allen,RB,CHI,2001,9,0,0,0.0,0,,1,3,2,0.0,0.0638,,24,30,3.7,,
