player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0020536,LaDainian Tomlinson,RB,13,422.4,32.49,198.3,313.4,2.191,3.315,,
00-0022736,Steven Jackson,RB,13,304.9,23.45,82.0,196.0,0.941,2.214,,
00-0021976,Larry Johnson,RB,13,300.1,23.08,76.0,191.1,0.895,2.18,,
00-0021216,Brian Westbrook,RB,12,280.9,23.41,74.6,179.1,0.87,2.038,,
00-0023500,Franklin Gore,RB,13,245.1,18.85,22.2,136.2,0.273,1.595,,
00-0020531,Drew Brees,QB,13,239.6,18.43,32.1,136.5,0.35,1.567,,
00-0010346,Peyton Manning,QB,13,233.7,17.98,25.2,129.2,0.295,1.507,,
00-0022250,Willie Parker,RB,13,240.0,18.46,16.4,130.3,0.197,1.49,,
00-0020337,Stevonne Smith,WR,11,219.0,19.91,38.0,125.7,0.449,1.452,,
00-0020397,Chad Johnson,WR,13,246.1,18.93,33.3,134.4,0.315,1.434,,
00-0022782,Kevin Jones,RB,12,219.9,18.32,16.1,119.1,0.185,1.371,,
00-0021547,Antonio Gates,TE,13,223.8,17.22,34.8,119.8,0.382,1.37,,
00-0022044,Andre Johnson,WR,13,228.3,17.56,15.5,116.6,0.2,1.365,,
00-0007681,Torry Holt,WR,13,231.5,17.81,21.7,120.5,0.23,1.36,,
00-0011022,Donovan McNabb,QB,10,194.7,19.47,34.0,114.9,0.435,1.358,,
00-0020498,Reginald Wayne,WR,13,231.9,17.84,21.6,119.4,0.207,1.338,,
00-0020438,Touraj Houshmandzadeh,WR,11,211.0,19.18,28.2,117.4,0.322,1.337,,
00-0012478,Terrell Owens,WR,13,225.1,17.32,15.7,114.2,0.179,1.331,,
00-0020245,Michael Vick,QB,13,216.4,16.64,6.9,112.1,0.09,1.312,,
00-0024217,Reginald Bush,RB,13,225.1,17.32,2.2,116.2,-0.015,1.287,,
00-0000745,Atiim Barber,RB,13,217.2,16.71,-6.4,107.5,-0.054,1.285,,
00-0004541,Donald Driver,WR,13,225.1,17.32,14.8,112.6,0.146,1.279,,
00-0024466,Marques Colston,WR,10,192.7,19.27,33.1,108.2,0.374,1.242,,
00-0019663,Darrell Jackson,WR,13,217.6,16.74,4.8,105.9,0.05,1.231,,
00-0007024,Marvin Harrison,WR,13,217.4,16.72,7.1,104.9,0.092,1.217,,
00-0006101,Anthony Gonzalez,TE,12,197.9,16.49,23.1,102.8,0.259,1.166,,
00-0021314,Chester Taylor,RB,12,196.4,16.37,-7.3,95.2,-0.067,1.142,,
00-0019599,Marc Bulger,QB,13,197.8,15.22,-9.7,94.8,-0.111,1.114,,
00-0021429,Carson Palmer,QB,13,196.1,15.08,-13.3,91.9,-0.176,1.057,,
00-0022922,Kellen Winslow,TE,13,192.9,14.84,3.9,87.1,0.08,1.053,,
00-0024275,Maurice Jones-Drew,RB,13,201.8,15.52,-21.9,91.4,-0.283,1.033,,
00-0021153,Javon Walker,WR,13,203.3,15.64,-7.3,91.6,-0.113,1.021,,
00-0022909,Roy Williams,WR,13,200.8,15.45,-10.6,89.4,-0.141,1.017,,
00-0018958,Laveranues Coles,WR,13,197.6,15.2,-13.4,86.2,-0.156,1.006,,
00-0019642,Plaxico Burress,WR,12,183.7,15.31,-11.2,80.0,-0.111,0.961,,
00-0022910,Lee Evans,WR,13,198.5,15.27,-12.9,87.1,-0.184,0.957,,
00-0020516,Todd Heap,TE,13,184.2,14.17,-4.5,79.6,-0.058,0.947,,
00-0006305,Ahman Green,RB,11,176.7,16.06,-15.7,81.7,-0.183,0.945,,
00-0022084,Anquan Boldin,WR,13,191.2,14.71,-19.8,79.8,-0.218,0.938,,
00-0020407,Rudi Johnson,RB,13,188.6,14.51,-36.9,78.7,-0.435,0.921,,
00-0020527,Dulymus McAllister,RB,13,183.9,14.15,-39.0,75.0,-0.458,0.901,,
00-0006043,Terry Glenn,WR,12,177.6,14.8,-13.9,76.2,-0.176,0.895,,
00-0021148,Jeremy Shockey,TE,13,181.6,13.97,-9.3,76.9,-0.115,0.89,,
00-0024245,Joseph Addai,RB,13,189.6,14.58,-34.1,79.2,-0.442,0.855,,
00-0017162,Hines Ward,WR,11,168.6,15.33,-7.9,76.0,-0.122,0.854,,
00-0022942,Philip Rivers,QB,13,172.8,13.29,-35.5,69.0,-0.421,0.821,,
00-0016098,Frederick Taylor,RB,13,176.9,13.61,-46.8,66.5,-0.533,0.806,,
00-0019281,Michael Furrey,WR,13,181.7,13.98,-29.7,70.3,-0.369,0.804,,
00-0019641,Thomas Jones,RB,13,175.7,13.52,-47.2,66.8,-0.558,0.793,,
00-0005720,Joseph Galloway,WR,11,159.7,14.52,-20.0,65.2,-0.206,0.792,,
00-0023437,Ronnie Brown,RB,11,155.1,14.1,-30.5,64.4,-0.352,0.782,,
00-0022811,Jerricho Cotchery,WR,13,177.3,13.64,-33.7,65.9,-0.398,0.775,,
00-0019596,Thomas Brady,QB,13,169.0,13.0,-39.5,64.5,-0.464,0.763,,
00-0020471,Travis Henry,RB,11,157.0,14.27,-32.8,64.3,-0.379,0.76,,
00-0022921,Larry Fitzgerald,WR,10,153.3,15.33,-9.1,65.2,-0.118,0.759,,
00-0021179,Clinton Portis,RB,8,128.3,16.04,-4.0,62.8,-0.058,0.738,,
00-0005106,Brett Favre,QB,13,166.6,12.82,-41.9,62.2,-0.512,0.713,,
00-0009311,Jon Kitna,QB,13,163.2,12.55,-43.6,58.7,-0.519,0.71,,
00-0008241,Edgerrin James,RB,13,166.0,12.77,-56.9,56.4,-0.654,0.686,,
00-0022929,Devery Henderson,WR,8,130.8,16.35,0.7,59.6,0.009,0.685,,
00-0020285,Algernon Crumpler,TE,13,166.8,12.83,-24.8,61.1,-0.313,0.681,,
00-0022803,Elisha Manning,QB,13,160.8,12.37,-46.4,56.0,-0.536,0.679,,
00-0024218,Vincent Young,QB,12,155.1,12.92,-36.6,59.8,-0.471,0.668,,
00-0023544,Marion Barber,RB,13,163.3,12.56,-60.8,54.3,-0.713,0.651,,
00-0001477,Marty Booker,WR,12,162.8,13.57,-32.2,58.3,-0.421,0.638,,
00-0023470,Reggie Brown,WR,13,162.6,12.51,-48.4,51.2,-0.558,0.606,,
00-0021147,Donte' Stallworth,WR,9,130.9,14.54,-15.6,51.0,-0.169,0.597,,
00-0021184,Ladell Betts,RB,13,162.9,12.53,-60.1,53.3,-0.75,0.593,,
00-0008561,Keyshawn Johnson,WR,13,160.9,12.38,-50.1,49.5,-0.585,0.593,,
00-0022126,John Smith,TE,12,144.0,12.0,-28.1,48.5,-0.324,0.584,,
00-0022943,Benjamin Watson,TE,13,154.7,11.9,-34.3,48.9,-0.408,0.572,,
00-0021678,Antonio Romo,QB,10,129.0,12.9,-32.4,49.6,-0.382,0.552,,
00-0007091,Matthew Hasselbeck,QB,9,121.5,13.5,-25.0,48.0,-0.301,0.549,,
00-0007744,Joseph Horn,WR,10,130.9,13.09,-28.5,47.5,-0.349,0.547,,
00-0022178,Willis McGahee,RB,11,137.9,12.54,-50.2,45.7,-0.611,0.539,,
00-0022807,Bernard Berrian,WR,11,134.7,12.25,-40.6,41.8,-0.467,0.515,,
00-0022924,Benjamin Roethlisberger,QB,12,140.8,11.73,-51.8,44.4,-0.617,0.509,,
00-0002099,Isaac Bruce,WR,13,154.6,11.89,-55.2,43.6,-0.669,0.506,,
00-0004640,Warrick Dunn,RB,13,151.2,11.63,-74.3,41.3,-0.868,0.499,,
00-0023438,Braylon Edwards,WR,13,155.3,11.95,-55.0,42.8,-0.661,0.496,,
00-0023457,Mark Clayton,WR,13,154.4,11.88,-55.4,43.4,-0.674,0.487,,
00-0022738,Christopher Cooley,TE,13,146.3,11.25,-38.7,40.6,-0.463,0.482,,
00-0020494,Santana Moss,WR,11,137.3,12.48,-41.8,42.5,-0.495,0.479,,
00-0011024,Steve McNair,QB,13,146.0,11.23,-61.5,43.0,-0.76,0.479,,
00-0022121,Rex Grossman,QB,13,142.0,10.92,-65.5,39.0,-0.739,0.475,,
00-0022893,Tatum Bell,RB,10,124.4,12.44,-45.1,39.4,-0.538,0.463,,
00-0020446,Chris Chambers,WR,13,148.9,11.45,-62.5,37.5,-0.734,0.461,,
00-0007835,Damon Huard,QB,9,105.3,11.7,-39.3,36.7,-0.463,0.454,,
00-0021141,John Harrington,QB,9,112.0,12.44,-29.7,39.1,-0.367,0.454,,
00-0004161,Jake Delhomme,QB,12,133.4,11.12,-58.9,37.5,-0.709,0.443,,
00-0019693,Jamal Lewis,RB,13,147.4,11.34,-75.5,38.5,-0.909,0.436,,
00-0022840,Julius Jones,RB,13,142.5,10.96,-81.6,33.5,-0.952,0.414,,
00-0011795,Muhsin Muhammad,WR,13,146.7,11.28,-63.1,35.7,-0.752,0.414,,
00-0023518,Christopher Henry,WR,9,116.1,12.9,-30.0,36.4,-0.363,0.411,,
