player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0005092,Marshall Faulk,RB,12,288.4,24.03,106.1,199.1,1.328,2.396,,
00-0007024,Marvin Harrison,WR,13,297.1,22.85,94.9,197.5,1.169,2.355,,
00-0008241,Edgerrin James,RB,13,290.7,22.36,91.9,194.2,1.116,2.303,,
00-0004052,Stephen Davis,RB,13,267.6,20.58,68.4,171.0,0.858,2.073,,
00-0005883,Edward George,RB,13,260.0,20.0,60.9,163.7,0.727,1.96,,
00-0017200,Kurtis Warner,QB,12,243.3,20.28,54.4,153.6,0.702,1.91,,
00-0002721,Christopher Carter,WR,13,259.8,19.98,56.2,160.7,0.67,1.894,,
00-0015218,Jimmy Smith,WR,13,251.3,19.33,46.9,152.0,0.564,1.813,,
00-0002099,Isaac Bruce,WR,12,226.0,18.83,40.5,134.8,0.5,1.644,,
00-0011754,Randy Moss,WR,13,231.6,17.82,28.0,132.5,0.365,1.611,,
00-0010346,Peyton Manning,QB,13,217.6,16.74,11.6,120.4,0.179,1.535,,
00-0009829,Herbert Levens,RB,11,197.7,17.97,32.7,118.3,0.412,1.478,,
00-0001218,Stephen Beuerlein,QB,13,212.9,16.38,8.0,115.9,0.099,1.441,,
00-0008561,Keyshawn Johnson,WR,13,222.9,17.15,19.0,123.3,0.173,1.439,,
00-0002058,Timothy Brown,WR,13,214.0,16.46,10.3,115.1,0.139,1.419,,
00-0003700,Germane Crowell,WR,13,218.2,16.78,16.0,118.6,0.168,1.402,,
00-0011795,Muhsin Muhammad,WR,12,200.7,16.72,14.4,109.6,0.219,1.396,,
00-0005779,Charles Garner,RB,13,209.6,16.12,12.4,112.5,0.14,1.383,,
00-0005741,Richard Gannon,QB,13,209.2,16.09,3.3,111.4,0.048,1.381,,
00-0017109,Charles Walls,TE,13,202.6,15.58,34.2,107.2,0.441,1.354,,
00-0008060,Raghib Ismail,WR,13,204.1,15.7,-1.0,105.1,-0.024,1.289,,
00-0015165,Emmitt Smith,RB,12,190.6,15.88,9.4,101.8,0.146,1.276,,
00-0006101,Anthony Gonzalez,TE,12,188.9,15.74,34.7,103.1,0.436,1.274,,
00-0017470,Michael Westbrook,WR,13,205.1,15.78,2.4,105.8,-0.0,1.257,,
00-0013888,Marcus Robinson,WR,13,201.3,15.48,-1.2,103.2,0.002,1.255,,
00-0015523,Duce Staley,RB,14,202.6,14.47,-9.6,99.0,-0.137,1.23,,
00-0015698,James Stewart,RB,13,193.7,14.9,-5.4,97.4,-0.072,1.194,,
00-0006043,Terry Glenn,WR,13,197.0,15.15,-6.7,98.1,-0.091,1.189,,
00-0017322,Richard Watters,RB,13,193.4,14.88,-5.8,96.8,-0.09,1.165,,
00-0005363,Douglas Flutie,QB,13,185.5,14.27,-16.6,90.3,-0.209,1.154,,
00-0010442,Curtis Martin,RB,13,185.4,14.26,-11.8,88.3,-0.132,1.132,,
00-0008560,Kevin Johnson,WR,14,197.7,14.12,-20.9,91.2,-0.268,1.129,,
00-0010650,Edward McCaffrey,WR,12,182.9,15.24,-4.3,92.2,-0.059,1.125,,
00-0004304,Corey Dillon,RB,14,200.3,14.31,-11.9,96.7,-0.24,1.095,,
00-0014544,Darnay Scott,WR,14,194.8,13.91,-23.8,88.3,-0.319,1.083,,
00-0004916,Curtis Enis,RB,13,182.0,14.0,-12.8,86.1,-0.192,1.069,,
00-0005562,Antonio Freeman,WR,13,189.0,14.54,-13.2,89.4,-0.188,1.066,,
00-0008442,James Johnson,QB,13,182.0,14.0,-22.9,85.0,-0.272,1.065,,
00-0001361,Drew Bledsoe,QB,13,179.6,13.82,-26.3,81.8,-0.31,1.028,,
00-0003378,Gene Connell,WR,13,180.7,13.9,-22.0,81.4,-0.259,1.019,,
00-0001335,Jeffery Blake,QB,12,175.4,14.62,-16.2,85.8,-0.246,1.015,,
00-0016550,Amani Toomer,WR,13,184.1,14.16,-19.6,85.2,-0.298,0.998,,
00-0009288,Terry Kirby,RB,14,179.3,12.81,-32.9,75.7,-0.393,0.974,,
00-0005106,Brett Favre,QB,13,176.3,13.56,-29.7,79.1,-0.381,0.971,,
00-0011770,Eric Moulds,WR,11,158.9,14.45,-12.9,75.9,-0.165,0.951,,
00-0005816,Olandis Gary,RB,9,140.5,15.61,3.2,73.5,0.057,0.941,,
00-0010539,Terance Mathis,WR,13,173.7,13.36,-28.0,74.5,-0.347,0.926,,
00-0005885,Jeffrey George,QB,9,139.0,15.45,-4.5,70.8,-0.045,0.887,,
00-0013622,Errict Rhett,RB,11,147.6,13.42,-18.0,67.1,-0.21,0.863,,
00-0004640,Warrick Dunn,RB,12,153.2,12.77,-28.4,66.5,-0.344,0.859,,
00-0010599,Derrick Mayes,WR,13,165.7,12.75,-37.0,66.4,-0.447,0.833,,
00-0015290,Roderick Smith,WR,12,155.8,12.98,-31.6,64.7,-0.395,0.822,,
00-0011024,Steve McNair,QB,8,128.9,16.11,-1.6,68.1,-0.018,0.815,,
00-0002110,Mark Brunell,QB,13,162.7,12.52,-42.4,65.7,-0.547,0.804,,
00-0011727,Johnnie Morton,WR,13,161.4,12.42,-40.8,61.8,-0.496,0.796,,
00-0010477,Tony Martin,WR,13,161.3,12.41,-43.8,62.3,-0.537,0.76,,
00-0008059,Qadry Ismail,WR,12,160.6,13.38,-26.1,69.4,-0.425,0.748,,
00-0001224,Tshimanga Biakabutuka,RB,10,137.2,13.72,-17.1,61.4,-0.213,0.744,,
00-0008300,Patrick Jeffers,WR,11,146.9,13.35,-26.4,61.7,-0.334,0.733,,
00-0014489,William Schroeder,WR,13,155.3,11.95,-46.9,55.7,-0.592,0.709,,
00-0007468,Isaac Hilliard,WR,13,155.8,11.98,-47.9,56.9,-0.617,0.704,,
00-0004077,Sean Dawkins,WR,13,155.8,11.98,-46.9,56.5,-0.604,0.686,,
00-0009311,Jon Kitna,QB,12,143.2,11.93,-46.4,53.1,-0.576,0.677,,
00-0010668,Keenan McCardell,WR,13,150.5,11.58,-53.9,51.2,-0.677,0.637,,
00-0008749,Freddie Jones,TE,13,140.8,10.83,-26.7,47.5,-0.309,0.629,,
00-0001215,Jerome Bettis,RB,13,144.2,11.1,-52.9,47.1,-0.644,0.62,,
00-0016214,Yancey Thigpen,WR,8,106.1,13.26,-19.3,47.4,-0.241,0.593,,
00-0017915,Errick Williams,RB,10,118.2,11.82,-28.6,46.9,-0.376,0.588,,
00-0004673,Timothy Dwight,WR,8,106.3,13.29,-15.1,45.2,-0.202,0.572,,
00-0012478,Terrell Owens,WR,11,130.5,11.86,-45.6,45.3,-0.57,0.554,,
00-0000865,Charles Batch,QB,8,101.0,12.62,-23.1,43.3,-0.316,0.553,,
00-0005589,Gustave Frerotte,QB,7,99.1,14.15,-11.7,45.6,-0.152,0.552,,
00-0006300,Elvis Grbac,QB,13,138.9,10.69,-69.1,42.0,-0.856,0.549,,
