player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0010346,Peyton Manning,QB,IND,2006,16,13,34.81,1.44,0.0,nan,0.0,nan,557,0.6499,7.89,0.0557,0.0162,0.0245,0.3199,4.78,0.825,0.4327,0.0952,23,1.57,0.1739,0.1276,0.3043,0.087,0,0,,,,,,,,,,,0,17,0,,,,309.5,321.1,311.5,-9.7,20.07,0.2444,299.4,21.7,0.0,39.0,35.0,-4.0
00-0020245,Mike Vick,QB,ATL,2006,16,13,24.31,7.69,0.0,nan,0.0,nan,389,0.527,6.36,0.0514,0.0334,0.1037,-0.1544,-4.008,0.554,0.3162,0.0771,123,8.45,0.0163,0.4306,0.4472,0.3577,0,1,,,1.0,,,9.0,,,,,2,17,0,,,,264.0,283.7,265.8,-17.8,17.73,0.2779,188.4,93.6,1.6,26.74,22.0,-4.74
00-0020531,Drew Brees,QB,NO,2006,16,13,34.69,2.56,0.0,nan,0.0,nan,555,0.6432,7.97,0.0468,0.0198,0.0314,0.2205,1.711,1.15,0.364,0.1099,41,0.78,0.0,-0.4935,0.0976,0.0244,0,0,,,,,,,,,,,1,17,0,,,,260.2,242.4,264.2,21.7,15.15,0.1988,231.8,10.6,0.0,23.66,26.0,2.34
00-0019599,Marc Bulger,QB,LA,2006,16,13,36.75,1.12,0.0,nan,0.0,nan,588,0.6293,7.31,0.0408,0.0136,0.0769,0.0868,1.612,0.813,0.3588,0.102,18,2.44,0.0,-0.4126,0.2778,0.1667,0,0,,,,,,,,,,,1,17,0,,,,252.4,282.7,256.4,-26.3,17.67,0.2257,275.5,7.2,0.0,30.97,24.0,-6.97
00-0021429,Carson Palmer,QB,CIN,2006,16,13,32.5,1.62,0.0,nan,0.0,nan,520,0.6231,7.76,0.0538,0.025,0.0647,0.1119,5.317,0.797,0.3846,0.1,26,1.35,0.0,-0.0667,0.2308,0.0385,0,0,,,,,,,,,,,0,17,0,,,,236.9,255.7,250.9,-4.8,15.98,0.2264,247.2,8.6,0.0,27.27,28.0,0.73
00-0019596,Tom Brady,QB,NE,2006,16,13,32.31,3.06,0.0,nan,0.0,nan,517,0.619,6.83,0.0464,0.0232,0.0479,0.1285,1.017,0.847,0.3404,0.089,49,2.08,0.0,-0.0717,0.2653,0.0408,0,0,,,,,,,,,,,1,17,0,,,,219.5,236.9,225.5,-11.4,14.81,0.2122,219.7,17.2,0.0,25.9,24.0,-1.9
00-0009311,Jon Kitna,QB,DET,2006,16,13,37.25,2.12,0.0,nan,0.0,nan,596,0.6242,7.06,0.0352,0.0369,0.0956,-0.053,0.136,0.835,0.349,0.099,34,4.59,0.0588,0.0032,0.2647,0.1765,0,0,,,,,,,,,,,2,17,0,,,,217.9,264.1,231.9,-32.2,16.51,0.2243,240.9,23.2,0.0,24.01,23.0,-1.01
00-0022942,Philip Rivers,QB,LAC,2006,16,13,28.75,2.94,0.0,nan,0.0,nan,460,0.6174,7.36,0.0478,0.0196,0.0574,0.1775,1.707,0.824,0.363,0.0891,47,1.13,0.0,-0.3131,0.1702,0.0213,0,0,,,,,,,,,,,0,17,0,,,,208.8,212.5,212.8,0.3,13.28,0.1991,194.9,17.6,0.0,20.25,22.0,1.75
00-0024218,Vince Young,QB,TEN,2006,15,12,23.73,5.47,0.0,nan,0.0,nan,356,0.5169,6.18,0.0337,0.0365,0.0681,-0.1233,-5.031,0.637,0.3006,0.0927,82,6.74,0.0854,0.2721,0.378,0.2561,0,0,,,,,,,,,,,2,17,0,,,,203.3,200.7,205.3,4.6,13.38,0.2296,130.8,69.9,0.0,17.93,19.0,1.07
00-0011022,Donovan McNabb,QB,PHI,2006,10,10,31.6,3.2,0.0,nan,0.0,nan,316,0.5696,8.27,0.0538,0.019,0.0623,0.1089,-2.336,0.936,0.3576,0.1392,32,6.62,0.0938,0.2084,0.4375,0.3125,0,0,,,,,,,,,,,1,0,11,,,,195.7,171.4,197.7,26.2,17.14,0.2249,149.4,22.1,0.0,17.14,20.0,2.86
00-0005106,Brett Favre,QB,GB,2006,16,13,38.31,1.44,0.0,nan,0.0,nan,613,0.5595,6.34,0.0294,0.0294,0.0331,-0.0041,-5.315,0.732,0.2969,0.0799,23,1.22,0.0435,-1.4589,0.1739,0.1304,0,0,,,,,,,,,,,1,17,0,,,,190.2,252.4,191.0,-61.5,15.78,0.2066,245.8,6.6,0.0,27.32,19.0,-8.32
00-0022803,Eli Manning,QB,NYG,2006,16,13,32.62,1.56,0.0,nan,0.0,nan,522,0.5766,6.21,0.046,0.0345,0.0457,-0.0138,-3.884,0.744,0.3123,0.0632,25,0.84,0.0,-0.8079,0.2,0.0,0,0,,,,,,,,,,,1,17,0,,,,187.9,224.8,187.9,-37.0,14.05,0.2042,219.2,5.6,0.0,22.69,24.0,1.31
00-0022924,Ben Roethlisberger,QB,PIT,2006,15,12,31.33,2.13,0.0,nan,0.0,nan,470,0.5979,7.51,0.0383,0.0489,0.0891,0.0181,1.649,0.812,0.3809,0.0894,32,3.06,0.0625,-0.0126,0.3438,0.0938,0,0,,,,,,,,,,,1,17,0,,,,184.9,214.5,186.9,-27.6,14.3,0.2062,187.3,27.1,0.0,23.38,20.0,-3.38
00-0011024,Steve McNair,QB,BAL,2006,16,13,29.25,2.81,0.0,nan,0.0,nan,468,0.6303,6.52,0.0342,0.0256,0.029,0.0802,3.572,0.878,0.3397,0.0705,45,2.64,0.0222,-0.1834,0.3556,0.1556,0,0,,,,,,,,,,,1,17,0,,,,177.9,186.6,177.9,-8.7,11.66,0.1802,173.9,12.7,0.0,17.79,17.0,-0.79
00-0022912,J.P. Losman,QB,BUF,2006,16,13,26.88,2.38,0.0,nan,0.0,nan,430,0.6256,7.09,0.0442,0.0326,0.0985,-0.0529,3.371,0.799,0.307,0.0814,38,3.68,0.0263,-0.1976,0.3684,0.1842,0,0,,,,,,,,,,,1,17,0,,,,176.0,168.9,187.9,19.0,10.56,0.1993,143.1,25.8,0.0,13.85,20.0,6.15
00-0021678,Tony Romo,QB,DAL,2006,13,10,25.92,2.62,0.0,nan,0.0,nan,337,0.6528,8.61,0.0564,0.0386,0.0587,0.2325,7.784,0.844,0.4243,0.1246,34,3.0,0.0,-0.177,0.2647,0.1176,0,0,,,,,,,,,,,0,17,0,,,,174.3,180.9,180.3,-0.6,13.92,0.1939,164.3,16.7,0.0,18.98,19.0,0.02
00-0019559,Chad Pennington,QB,NYJ,2006,16,13,30.31,2.25,0.0,nan,0.0,nan,485,0.6454,6.91,0.0351,0.033,0.0564,0.0481,2.787,0.916,0.332,0.0784,36,3.08,0.0,0.1695,0.3333,0.0833,0,0,,,,,,,,,,,0,17,0,,,,173.9,202.9,180.2,-22.8,12.68,0.1974,188.5,14.4,0.0,20.21,17.0,-3.21
00-0022121,Rex Grossman,QB,CHI,2006,16,13,30.0,1.5,0.0,nan,0.0,nan,480,0.5458,6.66,0.0479,0.0417,0.0419,-0.054,-3.548,0.741,0.3125,0.0979,24,0.08,0.0,-0.1839,0.1667,0.0417,0,1,,,-4.0,,,9.0,,,,,2,17,0,,,,170.7,213.7,176.7,-37.0,13.36,0.1934,212.4,0.5,0.9,23.42,23.0,-0.42
00-0023436,Alex Smith,QB,SF,2006,16,13,27.69,2.56,0.0,nan,0.0,nan,443,0.5847,6.55,0.0361,0.0339,0.0771,-0.0701,-0.49,0.84,0.298,0.0767,41,3.68,0.0488,0.1096,0.2927,0.0976,0,0,,,,,,,,,,,2,17,0,,,,169.1,208.4,173.1,-35.3,13.03,0.2184,176.7,31.7,0.0,22.85,18.0,-4.85
00-0004161,Jake Delhomme,QB,CAR,2006,13,12,33.15,1.38,0.0,nan,0.0,nan,431,0.6102,6.51,0.0394,0.0255,0.0486,-0.0041,1.086,0.819,0.297,0.0696,18,0.67,0.0,-0.3267,0.1111,0.1111,0,0,,,,,,,,,,,0,17,0,,,,151.4,174.4,159.4,-15.0,13.41,0.198,172.5,1.9,0.0,17.16,17.0,-0.16
00-0020608,David Carr,QB,HOU,2006,16,13,27.62,3.38,0.0,nan,0.0,nan,442,0.6833,6.26,0.0249,0.0271,0.083,-0.0933,3.567,1.152,0.319,0.0566,54,3.57,0.037,-0.1357,0.2963,0.1296,0,0,,,,,,,,,,,2,17,0,,,,149.9,192.3,159.9,-32.4,12.02,0.1965,157.1,35.1,0.0,16.39,13.0,-3.39
00-0007091,Matt Hasselbeck,QB,SEA,2006,12,9,30.92,1.5,0.0,nan,0.0,nan,371,0.566,6.58,0.0485,0.0404,0.084,-0.0213,-2.362,0.656,0.3369,0.0809,18,6.11,0.0,0.3511,0.3889,0.2778,0,0,,,,,,,,,,,0,17,0,,,,148.7,181.5,152.7,-28.8,15.12,0.2087,172.6,8.9,0.0,19.38,18.0,-1.38
00-0024225,Matt Leinart,QB,ARI,2006,12,10,31.33,1.92,0.0,nan,0.0,nan,376,0.5665,6.76,0.0293,0.0319,0.0505,0.007,-4.719,0.848,0.3298,0.0931,23,1.91,0.087,-0.319,0.2609,0.087,0,0,,,,,,,,,,,1,17,0,,,,134.1,152.2,136.1,-16.2,12.69,0.188,136.2,16.1,0.0,13.5,13.0,-0.5
00-0023502,Charlie Frye,QB,CLE,2006,13,12,30.08,3.62,0.0,nan,0.0,nan,391,0.6419,6.26,0.0256,0.0435,0.1011,-0.195,5.044,0.847,0.2967,0.0614,47,4.57,0.0638,0.1152,0.3617,0.1915,0,0,,,,,,,,,,,2,17,0,,,,129.5,167.0,139.5,-27.6,12.85,0.2164,128.3,38.7,0.0,15.84,13.0,-2.84
